Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 39.37094524 Degree
Longitude: -81.16770317 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,12,14,16,17,19,20,22,23
10-min:, 13,16,19,21,24,26,28,30,32,34
15-min:, 16,19,23,26,30,32,35,37,40,43
30-min:, 21,26,32,36,42,46,50,54,60,64
60-min:, 26,32,40,46,54,61,67,74,83,90
2-hr:, 30,37,46,53,64,71,79,88,99,108
3-hr:, 32,39,49,57,68,76,85,94,107,117
6-hr:, 39,46,58,67,79,90,101,112,128,141
12-hr:, 45,54,67,77,92,104,116,130,149,164
24-hr:, 54,65,78,90,105,118,131,145,164,179
2-day:, 64,76,91,103,120,134,147,162,181,196
3-day:, 68,81,97,109,126,140,154,167,186,200
4-day:, 73,87,103,116,133,146,160,173,191,205
7-day:, 89,105,123,137,155,169,183,196,213,226
10-day:, 102,121,140,155,174,188,201,215,231,243
20-day:, 144,169,193,212,234,251,267,281,299,312
30-day:, 182,213,241,261,287,305,322,338,357,370
45-day:, 233,272,304,328,357,377,396,412,432,445
60-day:, 281,326,362,388,420,442,462,480,500,514

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,14,15,17,19,21,22,24,26
10-min:, 15,18,21,24,27,29,31,33,36,37
15-min:, 18,21,26,29,33,36,38,41,44,47
30-min:, 24,29,35,40,46,51,56,60,66,70
60-min:, 29,35,44,51,60,67,74,81,91,99
2-hr:, 34,41,51,59,70,79,88,97,109,119
3-hr:, 36,43,54,63,75,84,94,104,117,128
6-hr:, 43,52,64,74,88,99,110,123,140,154
12-hr:, 50,60,74,85,101,114,128,142,162,179
24-hr:, 58,69,84,96,113,126,140,154,174,190
2-day:, 68,81,97,110,128,142,157,172,192,208
3-day:, 73,87,104,117,135,149,163,178,197,213
4-day:, 78,92,110,123,141,155,169,184,202,217
7-day:, 95,112,131,146,165,179,193,207,225,239
10-day:, 108,128,148,163,183,198,213,226,244,256
20-day:, 152,178,204,223,247,264,280,296,315,328
30-day:, 191,223,252,273,300,319,337,353,373,387
45-day:, 244,284,317,342,372,393,413,430,451,465
60-day:, 292,339,377,404,437,460,481,499,520,535

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,9,11,12,14,15,17,18,19,20
10-min:, 12,14,17,19,21,23,25,26,28,30
15-min:, 14,17,21,23,26,29,31,33,35,37
30-min:, 19,23,28,32,37,41,45,48,53,56
60-min:, 23,28,36,41,48,54,60,65,73,78
2-hr:, 27,33,42,48,57,63,70,77,87,94
3-hr:, 29,35,44,51,60,68,75,83,93,101
6-hr:, 35,42,52,60,72,80,90,99,112,123
12-hr:, 41,49,61,70,83,93,104,115,131,143
24-hr:, 51,60,73,83,98,109,121,133,150,163
2-day:, 60,71,85,96,112,124,136,149,166,179
3-day:, 64,76,91,102,118,130,143,155,171,184
4-day:, 69,81,97,108,124,136,149,161,177,189
7-day:, 84,99,116,129,146,159,171,183,199,210
10-day:, 97,114,132,146,164,177,189,202,217,228
20-day:, 137,161,184,201,222,238,253,266,283,294
30-day:, 174,203,230,250,274,291,307,322,339,351
45-day:, 224,260,291,314,341,361,378,394,412,424
60-day:, 270,313,348,373,403,424,443,459,479,491

Date/time (GMT):  Thu Feb 29 23:15:45 2024
pyRunTime:  0.03783679008483887
