Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 37.14259351 Degree
Longitude: -76.35798148 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,12,14,16,18,20,21,23,25,27
10-min:, 17,20,22,26,29,32,34,37,40,42
15-min:, 21,25,28,32,36,40,43,46,50,53
30-min:, 29,34,40,47,54,60,66,72,79,86
60-min:, 36,43,52,61,72,82,91,101,114,126
2-hr:, 42,51,63,75,90,104,118,132,152,170
3-hr:, 46,55,67,81,99,115,131,149,173,197
6-hr:, 55,66,81,98,120,140,161,184,215,246
12-hr:, 65,78,96,117,144,170,197,227,270,312
24-hr:, 74,90,117,140,174,204,238,275,331,379
2-day:, 86,105,135,162,201,236,274,318,383,440
3-day:, 91,111,142,169,209,244,282,325,389,445
4-day:, 96,117,149,177,217,252,290,332,395,451
7-day:, 113,136,171,201,244,281,321,364,428,481
10-day:, 128,154,191,222,267,304,343,386,447,500
20-day:, 174,207,251,287,338,379,422,467,530,580
30-day:, 215,256,306,346,401,445,490,536,598,646
45-day:, 269,318,376,422,485,534,585,636,705,758
60-day:, 321,378,442,491,556,606,656,704,768,816

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 12,14,15,18,20,22,24,26,28,30
10-min:, 19,22,25,28,32,35,38,41,44,47
15-min:, 23,27,31,36,40,44,48,51,55,59
30-min:, 32,38,45,52,60,67,73,80,88,96
60-min:, 40,47,57,68,79,90,101,112,126,140
2-hr:, 47,56,69,83,99,115,130,146,168,189
3-hr:, 51,61,75,91,110,127,145,165,192,218
6-hr:, 62,74,91,110,134,156,179,204,240,275
12-hr:, 74,89,109,133,163,192,223,256,305,352
24-hr:, 81,99,129,153,191,223,259,299,360,413
2-day:, 95,115,149,177,221,258,300,348,420,484
3-day:, 100,122,156,185,229,266,308,355,426,489
4-day:, 105,128,164,193,237,275,316,362,432,494
7-day:, 122,147,186,217,264,304,347,394,464,524
10-day:, 138,166,206,239,287,327,370,416,483,542
20-day:, 187,223,270,308,362,406,453,502,571,627
30-day:, 230,273,327,370,429,475,524,573,642,696
45-day:, 286,338,400,449,516,568,622,677,753,813
60-day:, 340,401,469,521,591,644,697,750,821,875

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,14,16,18,19,20,22,23
10-min:, 15,18,20,23,26,28,30,32,35,37
15-min:, 19,22,26,29,33,36,39,41,44,46
30-min:, 26,31,37,42,49,54,59,64,70,75
60-min:, 32,39,47,55,65,73,81,90,100,110
2-hr:, 38,46,56,68,81,93,104,116,132,147
3-hr:, 41,49,61,73,88,101,115,130,150,168
6-hr:, 50,59,73,88,106,123,140,159,184,208
12-hr:, 58,69,85,104,126,148,170,194,227,258
24-hr:, 68,83,108,128,159,184,212,243,288,326
2-day:, 79,96,124,148,183,213,245,281,333,377
3-day:, 84,102,131,155,190,220,253,288,339,384
4-day:, 88,107,137,162,198,228,260,295,346,390
7-day:, 104,126,158,185,224,256,290,326,378,421
10-day:, 119,143,177,206,246,278,312,348,399,442
20-day:, 163,194,235,267,313,350,387,425,478,518
30-day:, 202,240,288,325,375,415,455,494,548,588
45-day:, 253,299,353,396,454,499,543,587,646,690
60-day:, 303,357,417,463,523,569,613,656,711,751

Date/time (GMT):  Thu Feb 29 23:15:49 2024
pyRunTime:  0.007370471954345703
