Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 36.85914825 Degree
Longitude: -76.35971629 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 11,13,14,16,19,20,22,24,26,28
10-min:, 17,20,23,26,30,32,35,37,41,43
15-min:, 21,25,29,33,37,41,44,47,51,54
30-min:, 29,35,42,48,55,62,68,74,81,88
60-min:, 37,44,53,63,74,84,93,103,117,129
2-hr:, 43,52,64,77,92,106,120,135,155,174
3-hr:, 46,56,69,83,101,117,134,152,178,202
6-hr:, 56,67,83,100,122,142,164,187,220,251
12-hr:, 66,79,98,119,146,172,199,230,273,314
24-hr:, 75,92,118,141,175,203,235,271,323,368
2-day:, 87,106,136,161,200,234,272,314,377,431
3-day:, 92,112,143,170,209,242,279,320,381,436
4-day:, 98,118,151,178,217,250,286,326,386,440
7-day:, 114,137,173,202,245,280,318,360,419,469
10-day:, 130,155,193,224,268,305,344,386,446,496
20-day:, 176,209,254,291,343,385,430,477,543,596
30-day:, 217,258,309,351,408,453,500,547,612,663
45-day:, 269,319,380,430,499,555,613,672,755,821
60-day:, 322,380,447,501,574,631,688,745,823,882

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 12,14,16,18,20,22,24,26,28,31
10-min:, 19,22,25,29,32,36,39,41,45,48
15-min:, 24,28,32,37,41,45,49,52,56,60
30-min:, 32,39,46,53,61,68,75,81,90,98
60-min:, 40,49,59,69,81,92,103,114,129,143
2-hr:, 48,57,71,84,101,117,132,149,171,192
3-hr:, 52,62,77,92,112,130,148,168,197,224
6-hr:, 63,75,93,112,136,159,182,208,244,279
12-hr:, 74,89,111,134,164,193,223,257,305,351
24-hr:, 82,100,129,154,190,221,256,294,352,402
2-day:, 96,116,149,177,219,256,297,344,415,476
3-day:, 101,122,156,185,227,264,304,349,418,480
4-day:, 106,129,164,193,236,272,311,355,422,484
7-day:, 123,149,187,218,264,302,344,389,456,512
10-day:, 139,167,207,240,288,327,370,415,483,540
20-day:, 188,224,272,311,367,413,461,512,586,647
30-day:, 231,275,330,374,435,484,534,586,659,716
45-day:, 287,339,404,457,530,591,653,718,810,884
60-day:, 342,403,475,531,609,669,731,794,881,948

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,12,13,15,17,18,20,21,23,24
10-min:, 16,18,21,24,27,29,31,33,36,38
15-min:, 20,23,27,30,34,37,39,42,45,47
30-min:, 27,32,38,44,50,55,60,65,72,77
60-min:, 33,40,48,57,66,75,83,92,103,112
2-hr:, 39,47,58,69,82,94,106,119,135,151
3-hr:, 42,50,62,74,90,104,118,133,154,173
6-hr:, 50,60,74,89,108,125,143,162,188,212
12-hr:, 59,70,87,105,128,150,172,196,230,261
24-hr:, 69,84,109,129,159,184,211,240,281,316
2-day:, 80,97,125,148,182,211,242,276,326,367
3-day:, 85,103,132,156,190,219,250,283,332,374
4-day:, 90,109,139,163,198,227,257,290,337,380
7-day:, 106,128,160,187,225,255,288,322,370,408
10-day:, 121,145,179,207,247,280,313,348,397,436
20-day:, 164,196,238,271,318,356,394,434,487,529
30-day:, 204,242,291,329,381,422,463,503,558,599
45-day:, 254,300,357,403,467,516,566,618,686,739
60-day:, 305,360,423,473,540,591,642,691,756,805

Date/time (GMT):  Thu Feb 29 23:15:51 2024
pyRunTime:  0.00754857063293457
