Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 41.74469661 Degree
Longitude: -77.89567714 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,9,10,12,14,15,17,19,21,24
10-min:, 11,13,16,18,21,23,26,28,32,34
15-min:, 14,16,20,23,26,29,32,35,39,43
30-min:, 18,22,27,31,37,41,46,51,58,64
60-min:, 22,27,34,40,48,55,62,69,81,90
2-hr:, 26,31,39,46,56,65,75,87,104,120
3-hr:, 28,34,43,50,61,70,81,94,113,130
6-hr:, 35,42,52,61,74,85,98,113,136,156
12-hr:, 43,52,64,74,91,105,121,140,170,196
24-hr:, 52,62,77,89,109,126,147,171,209,244
2-day:, 60,72,88,103,126,147,172,201,248,291
3-day:, 64,76,93,109,132,154,180,211,260,306
4-day:, 68,81,98,114,139,162,189,221,272,320
7-day:, 81,96,115,131,156,178,205,236,285,331
10-day:, 94,111,131,148,176,200,228,261,312,358
20-day:, 131,153,178,198,229,256,285,318,369,412
30-day:, 164,192,218,241,275,303,334,368,419,462
45-day:, 212,247,278,304,342,373,406,441,492,534
60-day:, 256,297,332,362,404,439,476,515,571,617

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,12,13,15,17,19,21,24,26
10-min:, 12,15,18,20,23,26,28,31,35,38
15-min:, 15,18,22,25,29,32,35,39,43,47
30-min:, 20,24,30,35,41,46,51,56,64,70
60-min:, 25,30,38,44,53,60,68,76,89,99
2-hr:, 28,35,44,51,62,72,82,95,114,130
3-hr:, 31,38,47,55,67,77,88,102,123,141
6-hr:, 39,47,58,67,81,93,107,123,148,170
12-hr:, 49,58,72,83,100,116,134,154,186,215
24-hr:, 59,70,86,100,122,141,163,189,231,269
2-day:, 68,81,99,115,141,164,191,223,275,323
3-day:, 72,86,105,122,148,172,200,234,289,340
4-day:, 76,91,110,128,155,180,210,245,303,356
7-day:, 90,106,126,144,171,196,224,258,313,363
10-day:, 103,122,143,162,192,218,249,284,340,391
20-day:, 142,166,193,215,248,277,309,345,400,448
30-day:, 176,205,234,258,293,324,357,394,449,496
45-day:, 225,262,296,323,363,396,432,470,525,571
60-day:, 272,316,354,385,430,467,506,548,609,660

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,8,9,11,12,14,15,17,19,20
10-min:, 10,12,15,16,19,21,23,25,27,29
15-min:, 12,15,18,20,23,26,28,31,34,37
30-min:, 16,20,25,28,33,37,41,45,51,55
60-min:, 20,24,31,36,43,48,55,61,70,78
2-hr:, 23,28,35,42,50,58,66,76,90,102
3-hr:, 26,31,39,45,55,63,72,82,98,112
6-hr:, 32,39,48,55,67,76,87,100,118,135
12-hr:, 39,47,58,67,81,93,107,122,146,167
24-hr:, 47,57,69,80,97,112,129,149,179,206
2-day:, 54,65,80,93,113,130,151,174,211,244
3-day:, 58,69,85,98,118,137,158,183,222,256
4-day:, 62,73,89,103,124,144,166,191,232,269
7-day:, 75,88,105,119,141,161,183,209,249,285
10-day:, 87,102,120,136,160,182,205,232,274,311
20-day:, 122,143,165,184,212,235,261,290,332,368
30-day:, 154,180,205,226,257,282,310,340,383,419
45-day:, 200,233,262,287,321,350,380,411,456,492
60-day:, 241,280,314,341,380,412,445,480,529,569

Date/time (GMT):  Thu Feb 29 23:15:53 2024
pyRunTime:  0.09879279136657715
