Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 37.55016038 Degree
Longitude: -77.91267882 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,12,14,16,17,18,20,21,22
10-min:, 15,17,20,23,25,27,29,31,33,34
15-min:, 18,22,25,28,32,35,37,39,41,43
30-min:, 25,30,36,41,47,52,57,61,66,70
60-min:, 31,37,46,54,63,71,78,85,95,102
2-hr:, 37,44,54,64,77,87,97,108,122,133
3-hr:, 39,47,59,70,83,94,105,117,132,144
6-hr:, 48,57,71,84,101,116,131,147,169,189
12-hr:, 58,69,86,103,125,145,166,189,221,250
24-hr:, 69,83,106,126,155,180,207,237,282,320
2-day:, 80,97,124,146,177,204,233,264,309,347
3-day:, 85,103,130,153,187,214,244,277,324,363
4-day:, 89,108,137,161,196,225,256,290,339,380
7-day:, 102,123,153,179,215,245,277,312,362,402
10-day:, 115,138,171,197,234,265,297,331,379,417
20-day:, 155,185,224,254,296,328,361,395,440,476
30-day:, 192,228,269,301,343,374,405,435,474,503
45-day:, 242,286,334,370,417,451,484,516,556,585
60-day:, 287,338,390,429,479,515,550,583,624,654

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,12,14,16,18,19,20,22,23,24
10-min:, 16,19,22,25,28,30,32,34,36,38
15-min:, 20,24,28,32,35,38,41,43,46,48
30-min:, 28,33,40,46,52,58,63,67,73,78
60-min:, 35,42,51,60,70,78,86,94,105,113
2-hr:, 41,49,61,72,86,97,108,120,136,149
3-hr:, 45,53,66,78,93,105,118,131,148,162
6-hr:, 55,65,81,96,115,131,149,167,191,213
12-hr:, 66,79,98,117,141,164,187,212,248,280
24-hr:, 76,92,118,139,171,198,227,260,309,351
2-day:, 89,108,137,161,195,224,256,290,341,382
3-day:, 93,113,143,168,204,235,267,303,355,399
4-day:, 97,118,150,176,214,245,279,316,370,415
7-day:, 111,134,167,195,234,266,302,339,394,440
10-day:, 125,150,185,213,253,286,321,358,411,454
20-day:, 166,199,240,272,316,351,386,423,473,512
30-day:, 205,242,287,320,364,398,430,463,505,538
45-day:, 257,304,355,393,442,479,514,548,592,624
60-day:, 305,358,413,454,507,546,583,618,664,696

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,11,13,14,15,16,17,18,19
10-min:, 13,15,18,20,23,24,26,27,29,30
15-min:, 16,19,23,26,28,31,33,34,36,37
30-min:, 22,27,32,37,42,46,50,53,58,61
60-min:, 28,34,41,48,56,63,69,75,83,89
2-hr:, 33,39,48,57,68,76,85,94,105,114
3-hr:, 35,42,52,62,73,82,92,101,113,123
6-hr:, 43,51,63,74,88,101,113,126,143,157
12-hr:, 52,61,76,91,109,126,142,160,184,205
24-hr:, 63,76,96,114,139,160,183,208,243,273
2-day:, 74,89,113,132,161,184,208,234,270,300
3-day:, 78,94,119,140,169,194,219,246,285,316
4-day:, 82,99,126,147,178,204,230,259,299,332
7-day:, 94,113,141,164,197,223,251,280,322,355
10-day:, 107,128,158,182,216,243,271,301,341,373
20-day:, 145,173,209,237,275,304,333,363,402,431
30-day:, 180,213,252,282,320,349,376,403,437,462
45-day:, 227,268,313,347,389,421,450,478,513,538
60-day:, 271,319,368,404,450,483,515,544,580,605

Date/time (GMT):  Thu Feb 29 23:15:55 2024
pyRunTime:  0.009549617767333984
