Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 39.46770987 Degree
Longitude: -79.66712803 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,9,11,13,14,16,18,19,21,23
10-min:, 12,14,17,19,22,24,26,29,31,34
15-min:, 15,18,21,24,27,30,33,36,39,42
30-min:, 20,24,29,33,39,43,47,52,58,63
60-min:, 24,29,36,42,50,57,63,70,80,88
2-hr:, 29,34,42,50,60,69,77,87,100,112
3-hr:, 31,37,45,53,64,74,83,94,108,121
6-hr:, 38,45,54,64,76,88,99,112,129,145
12-hr:, 46,54,65,76,91,105,119,134,156,176
24-hr:, 55,65,79,91,107,120,134,149,170,186
2-day:, 65,77,93,105,123,137,152,167,188,204
3-day:, 70,83,100,113,131,145,160,175,196,211
4-day:, 76,90,107,120,139,154,168,183,204,219
7-day:, 92,109,128,143,163,178,193,207,227,241
10-day:, 107,127,147,163,184,199,214,229,247,261
20-day:, 154,180,206,226,251,269,286,302,323,337
30-day:, 196,229,259,281,309,330,348,366,387,402
45-day:, 252,294,329,355,386,409,430,449,471,486
60-day:, 306,355,395,424,459,483,506,526,549,564

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,10,12,14,16,18,19,21,23,25
10-min:, 14,16,19,21,24,27,29,31,34,37
15-min:, 17,20,23,26,30,33,36,39,43,46
30-min:, 22,26,32,37,42,47,52,57,63,69
60-min:, 27,32,40,46,55,62,69,77,88,97
2-hr:, 32,38,47,55,66,75,85,95,109,122
3-hr:, 35,41,51,59,71,81,91,103,118,133
6-hr:, 42,50,61,71,85,97,109,123,142,158
12-hr:, 52,60,73,85,102,116,132,148,172,193
24-hr:, 59,70,85,98,115,129,144,160,182,199
2-day:, 70,83,100,113,132,147,163,179,202,219
3-day:, 75,89,107,121,140,155,171,187,209,226
4-day:, 81,96,114,128,148,163,179,195,217,234
7-day:, 98,116,136,152,172,189,204,220,241,256
10-day:, 113,134,156,172,194,210,226,242,262,277
20-day:, 162,189,217,238,264,283,301,319,340,356
30-day:, 205,239,271,295,324,345,365,383,406,422
45-day:, 263,307,343,371,404,428,450,470,493,510
60-day:, 319,370,411,442,478,504,528,549,574,591

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,8,10,11,13,14,16,17,19,20
10-min:, 11,13,15,18,20,22,24,25,27,29
15-min:, 14,16,19,22,25,27,29,31,34,36
30-min:, 18,22,26,30,35,38,42,46,51,55
60-min:, 22,26,33,38,45,51,56,62,70,77
2-hr:, 26,31,38,45,54,61,69,76,87,96
3-hr:, 28,33,41,48,58,66,74,83,94,105
6-hr:, 34,40,49,57,68,78,88,98,112,124
12-hr:, 41,48,59,69,82,93,105,117,135,150
24-hr:, 51,61,74,84,99,111,123,136,154,168
2-day:, 60,72,86,98,113,126,139,152,170,184
3-day:, 66,78,93,105,122,135,148,161,179,192
4-day:, 71,84,100,113,130,143,156,170,187,200
7-day:, 87,103,121,135,153,167,180,193,210,223
10-day:, 102,120,139,154,173,188,201,214,231,243
20-day:, 146,171,196,214,238,255,271,285,304,316
30-day:, 187,218,246,268,294,313,331,347,366,379
45-day:, 242,281,314,339,369,391,410,428,448,462
60-day:, 293,340,378,406,439,462,483,502,523,537

Date/time (GMT):  Thu Feb 29 23:15:57 2024
pyRunTime:  0.012401342391967773
