Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 37.22553089 Degree
Longitude: -78.43593963 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,14,16,17,18,20,21,22
10-min:, 15,17,20,23,25,28,29,31,33,34
15-min:, 18,22,26,29,32,35,37,39,42,43
30-min:, 25,30,36,42,48,52,57,61,66,70
60-min:, 31,38,47,54,64,71,78,86,95,102
2-hr:, 37,45,55,65,78,88,98,109,123,134
3-hr:, 40,48,60,70,83,95,106,117,132,144
6-hr:, 49,58,73,86,103,118,133,150,172,191
12-hr:, 59,71,88,105,128,148,170,193,226,256
24-hr:, 69,84,108,127,157,181,209,239,284,322
2-day:, 81,99,126,148,180,206,235,266,312,349
3-day:, 86,105,133,156,190,218,248,281,328,368
4-day:, 91,110,140,165,200,230,261,296,345,387
7-day:, 105,126,158,184,221,251,284,320,370,412
10-day:, 119,143,177,204,242,274,307,342,391,431
20-day:, 161,192,232,263,306,340,374,408,455,492
30-day:, 199,235,278,311,354,386,417,448,488,518
45-day:, 249,294,344,381,428,464,497,530,571,601
60-day:, 296,348,402,442,493,531,567,601,643,673

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,12,14,16,18,19,20,22,23,24
10-min:, 16,19,23,25,28,30,33,34,37,38
15-min:, 20,24,28,32,36,39,41,43,46,48
30-min:, 28,33,40,46,53,58,63,68,73,78
60-min:, 35,42,52,60,71,79,87,95,105,114
2-hr:, 42,50,62,73,87,98,109,121,137,150
3-hr:, 45,54,67,79,94,106,118,131,147,161
6-hr:, 55,66,82,97,116,133,150,168,193,214
12-hr:, 67,80,100,119,144,166,189,214,251,284
24-hr:, 77,93,119,141,172,200,229,262,312,354
2-day:, 90,108,138,162,196,226,257,291,341,383
3-day:, 95,115,146,171,207,238,271,307,359,404
4-day:, 100,121,153,180,218,250,285,323,378,424
7-day:, 114,138,172,200,240,273,309,347,403,449
10-day:, 129,155,191,221,262,296,332,370,424,468
20-day:, 173,206,249,283,328,364,400,438,489,529
30-day:, 211,250,296,330,375,409,443,476,520,553
45-day:, 264,312,364,403,454,491,527,562,608,641
60-day:, 313,368,425,467,521,561,599,636,682,716

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,11,13,14,15,16,17,18,19
10-min:, 13,16,18,20,23,24,26,27,29,30
15-min:, 16,20,23,26,29,31,33,34,36,37
30-min:, 22,27,33,37,43,47,50,54,58,61
60-min:, 28,34,42,49,57,63,69,75,83,89
2-hr:, 33,40,49,58,68,77,85,94,105,114
3-hr:, 35,43,53,62,74,83,92,101,113,122
6-hr:, 43,52,64,76,90,103,115,128,145,160
12-hr:, 53,63,79,94,113,129,147,165,190,211
24-hr:, 63,77,98,116,141,163,186,211,247,276
2-day:, 75,91,115,135,163,186,211,237,274,304
3-day:, 79,96,122,143,172,197,223,250,289,321
4-day:, 84,101,129,151,182,208,235,264,304,337
7-day:, 97,117,145,169,202,229,257,287,329,362
10-day:, 110,133,163,188,223,251,279,309,350,383
20-day:, 150,179,216,245,284,314,344,374,414,444
30-day:, 187,221,262,292,331,360,389,416,450,476
45-day:, 235,278,324,359,403,435,466,495,531,557
60-day:, 280,329,380,417,465,500,532,563,601,627

Date/time (GMT):  Thu Feb 29 23:16:00 2024
pyRunTime:  0.007448673248291016
