Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 38.83070039 Degree
Longitude: -76.8496441 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,14,16,17,19,20,22,23
10-min:, 14,17,20,23,26,28,30,32,35,36
15-min:, 18,22,26,29,33,35,38,40,43,46
30-min:, 24,30,37,42,48,53,58,63,69,74
60-min:, 31,37,47,54,64,72,80,88,99,108
2-hr:, 36,44,55,64,77,87,98,109,125,138
3-hr:, 39,47,59,69,84,95,108,121,140,155
6-hr:, 47,57,73,85,103,119,136,154,181,204
12-hr:, 57,69,88,104,129,150,174,201,242,277
24-hr:, 67,81,104,124,155,183,214,250,305,353
2-day:, 77,94,120,143,178,208,241,279,336,385
3-day:, 82,99,127,151,187,218,253,292,350,401
4-day:, 86,104,133,158,196,228,264,304,365,417
7-day:, 100,120,152,179,219,254,293,335,399,453
10-day:, 113,136,170,199,240,274,311,352,410,459
20-day:, 153,182,220,251,294,329,365,403,455,496
30-day:, 189,224,266,300,347,385,423,462,515,557
45-day:, 238,280,328,364,412,449,485,520,566,599
60-day:, 283,333,385,424,474,512,547,581,625,656

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,12,14,16,18,19,21,22,24,26
10-min:, 16,19,22,25,28,31,33,36,39,41
15-min:, 20,24,28,32,36,39,42,45,49,51
30-min:, 27,33,40,46,53,59,64,70,77,83
60-min:, 34,41,52,60,71,79,88,98,111,122
2-hr:, 39,48,61,71,85,96,108,121,140,155
3-hr:, 43,52,66,77,92,105,119,134,156,174
6-hr:, 53,64,80,94,114,132,151,172,204,231
12-hr:, 65,78,99,117,144,169,196,227,275,317
24-hr:, 74,90,116,138,171,201,235,273,331,383
2-day:, 86,104,133,159,196,229,266,307,370,424
3-day:, 90,110,140,166,206,240,278,320,385,441
4-day:, 95,115,147,174,215,250,290,334,400,457
7-day:, 110,132,167,196,240,278,320,366,436,496
10-day:, 124,149,186,217,261,298,339,382,447,500
20-day:, 165,196,237,271,317,354,393,433,490,535
30-day:, 203,240,286,322,372,412,453,495,553,598
45-day:, 253,298,348,387,438,477,515,553,603,640
60-day:, 301,353,408,449,503,542,580,617,664,698

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,12,13,14,16,17,18,19,20
10-min:, 13,16,18,21,23,25,27,28,30,32
15-min:, 16,20,23,26,29,31,34,36,38,40
30-min:, 22,27,33,38,43,47,52,55,60,64
60-min:, 28,34,43,49,58,64,71,78,87,94
2-hr:, 32,40,50,58,69,78,87,96,109,119
3-hr:, 35,43,54,63,75,85,95,106,120,132
6-hr:, 43,52,66,77,92,105,119,134,154,171
12-hr:, 52,62,79,93,113,131,150,171,201,226
24-hr:, 61,73,94,112,139,163,189,218,261,298
2-day:, 70,85,109,130,160,186,214,245,290,328
3-day:, 74,90,115,137,168,195,224,257,304,343
4-day:, 78,95,121,144,176,205,235,269,318,359
7-day:, 91,110,139,163,199,229,262,298,350,393
10-day:, 105,126,157,182,219,249,281,315,364,404
20-day:, 143,170,205,233,272,303,335,368,412,446
30-day:, 176,209,248,279,322,356,390,424,470,505
45-day:, 223,264,308,342,387,420,453,485,525,554
60-day:, 266,313,362,399,445,480,512,543,581,608

Date/time (GMT):  Thu Feb 29 23:16:04 2024
pyRunTime:  0.009648323059082031
