Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 37.1854013 Degree
Longitude: -77.22950752 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,12,14,15,17,19,20,21,23,24
10-min:, 16,19,22,24,27,30,32,34,36,38
15-min:, 20,23,27,31,35,38,40,43,46,48
30-min:, 27,32,39,45,51,57,62,67,73,78
60-min:, 34,41,50,58,68,77,85,93,105,114
2-hr:, 40,48,60,71,85,96,109,121,139,154
3-hr:, 43,52,65,77,92,105,119,134,154,172
6-hr:, 52,62,77,92,112,129,147,166,194,218
12-hr:, 62,74,93,111,136,158,182,208,246,280
24-hr:, 71,86,111,132,162,188,217,248,294,333
2-day:, 83,100,128,151,185,214,245,279,328,369
3-day:, 88,106,136,160,195,224,256,291,341,383
4-day:, 93,112,143,168,204,234,267,303,354,398
7-day:, 107,129,162,189,227,259,293,329,381,424
10-day:, 123,147,182,210,250,282,316,352,402,443
20-day:, 166,198,239,272,317,353,390,427,479,519
30-day:, 206,244,290,326,373,409,445,481,529,565
45-day:, 258,305,358,398,451,491,530,569,620,659
60-day:, 307,362,420,464,521,563,604,644,695,733

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 11,13,15,17,19,21,22,24,26,27
10-min:, 18,21,24,27,30,33,35,38,40,43
15-min:, 22,26,31,34,38,42,45,48,51,54
30-min:, 30,36,43,50,57,63,69,74,81,87
60-min:, 38,45,56,65,76,85,94,104,116,127
2-hr:, 45,54,67,79,94,107,120,134,154,170
3-hr:, 48,58,72,86,103,117,133,149,172,191
6-hr:, 59,70,87,104,125,144,164,186,216,244
12-hr:, 70,84,105,125,153,178,204,233,275,313
24-hr:, 78,95,122,145,178,206,237,271,322,364
2-day:, 91,110,141,166,203,234,268,305,360,406
3-day:, 96,117,148,175,213,245,280,318,374,421
4-day:, 101,123,156,183,223,256,291,330,387,436
7-day:, 117,141,176,206,247,282,319,359,417,465
10-day:, 133,160,197,228,270,305,343,382,438,484
20-day:, 178,212,257,292,340,379,419,460,517,562
30-day:, 219,260,309,347,397,436,474,514,566,607
45-day:, 273,323,379,422,478,521,563,606,661,704
60-day:, 325,382,443,490,549,594,638,681,737,779

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,12,14,15,17,18,19,20,21
10-min:, 14,17,20,22,24,26,28,30,32,33
15-min:, 18,21,25,28,31,34,36,38,40,42
30-min:, 24,29,35,40,46,51,55,59,64,68
60-min:, 30,37,45,52,61,68,75,82,92,99
2-hr:, 36,43,54,63,75,85,95,106,120,132
3-hr:, 39,46,58,68,81,93,104,116,133,146
6-hr:, 46,56,69,82,98,113,128,143,165,183
12-hr:, 55,66,82,98,119,137,157,177,206,232
24-hr:, 65,79,102,120,147,170,194,219,257,288
2-day:, 76,92,118,139,168,193,219,248,288,321
3-day:, 81,98,125,146,177,203,230,259,301,334
4-day:, 86,104,132,154,187,213,241,271,313,348
7-day:, 99,119,150,174,208,236,265,296,339,373
10-day:, 114,137,169,195,230,259,288,319,361,395
20-day:, 155,185,223,254,295,327,359,392,436,470
30-day:, 194,230,273,305,349,382,414,446,487,518
45-day:, 243,287,337,374,423,460,495,530,574,607
60-day:, 291,343,397,438,491,530,567,603,648,681

Date/time (GMT):  Thu Feb 29 23:16:02 2024
pyRunTime:  0.00961756706237793
