Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 38.70915944 Degree
Longitude: -77.48713401 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,10,12,14,16,17,18,20,21,23
10-min:, 14,16,20,22,25,27,29,31,34,36
15-min:, 17,21,25,28,31,34,37,39,43,45
30-min:, 24,29,35,40,47,52,56,61,68,73
60-min:, 29,36,45,52,62,70,78,86,97,106
2-hr:, 34,42,53,62,75,85,96,107,124,137
3-hr:, 37,45,57,67,80,92,104,117,135,150
6-hr:, 46,55,70,82,99,114,130,147,173,194
12-hr:, 56,67,85,100,123,143,165,189,226,257
24-hr:, 63,76,98,117,146,172,202,235,286,330
2-day:, 74,89,114,136,168,196,228,263,316,361
3-day:, 78,94,121,143,177,207,240,277,332,379
4-day:, 82,100,127,151,187,218,252,290,348,397
7-day:, 95,115,145,171,209,242,279,319,379,430
10-day:, 109,130,163,190,229,262,298,336,391,437
20-day:, 147,175,211,240,282,315,349,385,434,474
30-day:, 180,213,253,286,330,366,402,439,490,529
45-day:, 226,267,311,346,392,426,460,493,536,567
60-day:, 269,316,365,402,450,485,519,551,592,621

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,11,14,15,17,19,20,22,24,25
10-min:, 15,18,22,24,27,30,32,34,38,40
15-min:, 19,23,28,31,35,38,41,44,47,50
30-min:, 26,32,39,45,52,57,62,68,75,81
60-min:, 33,40,50,58,69,77,86,95,108,118
2-hr:, 38,46,59,69,83,94,106,119,137,152
3-hr:, 41,50,64,74,90,102,116,130,151,168
6-hr:, 52,62,78,92,111,128,145,165,194,218
12-hr:, 63,75,95,112,138,160,185,212,254,290
24-hr:, 72,87,112,133,166,194,227,263,319,367
2-day:, 83,101,129,153,189,220,255,293,352,403
3-day:, 88,106,135,161,198,231,267,307,367,420
4-day:, 92,111,142,168,207,241,279,320,383,437
7-day:, 106,128,161,190,232,268,308,351,418,474
10-day:, 120,144,180,209,252,288,326,368,429,479
20-day:, 161,191,231,263,307,344,381,421,475,518
30-day:, 195,230,274,309,356,395,434,474,529,572
45-day:, 241,285,332,369,418,455,491,526,573,608
60-day:, 286,337,389,428,479,517,553,588,632,664

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,9,11,12,14,15,16,17,19,20
10-min:, 12,15,18,20,22,24,26,27,29,31
15-min:, 15,19,22,25,28,30,33,35,37,39
30-min:, 21,26,32,36,42,46,50,54,59,63
60-min:, 26,32,41,47,55,62,69,75,85,92
2-hr:, 31,38,48,56,67,75,84,94,107,117
3-hr:, 33,40,51,59,71,81,91,101,115,126
6-hr:, 41,50,62,73,88,100,113,127,147,162
12-hr:, 50,60,76,89,108,125,142,161,189,212
24-hr:, 56,68,87,104,129,151,175,202,242,276
2-day:, 66,80,102,121,149,173,199,227,269,304
3-day:, 70,85,108,128,158,183,210,240,284,320
4-day:, 74,90,114,135,166,193,222,253,299,337
7-day:, 86,103,131,153,187,216,246,280,328,368
10-day:, 99,118,148,172,206,235,265,297,343,380
20-day:, 135,160,194,220,257,287,317,347,389,421
30-day:, 167,198,235,264,305,337,369,401,444,477
45-day:, 212,249,291,323,365,397,428,458,496,523
60-day:, 252,296,342,377,421,453,483,512,548,573

Date/time (GMT):  Thu Feb 29 23:16:06 2024
pyRunTime:  0.009551525115966797
