Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 37.06474963 Degree
Longitude: -80.71229738 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,8,10,11,13,14,15,16,18,19
10-min:, 11,13,16,18,21,23,24,26,28,29
15-min:, 14,17,21,23,26,29,31,33,35,37
30-min:, 19,23,29,34,39,43,47,51,56,60
60-min:, 24,29,38,44,52,58,65,72,80,87
2-hr:, 27,33,43,50,61,69,77,85,96,104
3-hr:, 29,35,45,53,63,72,80,89,101,110
6-hr:, 34,41,52,61,73,83,94,105,120,131
12-hr:, 41,49,61,72,86,99,112,125,145,161
24-hr:, 49,60,76,89,107,123,139,156,180,200
2-day:, 59,71,89,104,125,142,160,178,204,225
3-day:, 63,76,95,111,132,150,169,188,214,235
4-day:, 67,80,101,117,140,158,177,197,225,246
7-day:, 79,95,117,135,159,178,198,219,246,267
10-day:, 91,109,133,152,176,195,214,233,258,277
20-day:, 126,150,179,202,232,256,279,302,333,356
30-day:, 158,186,218,242,273,297,320,341,369,389
45-day:, 200,235,271,298,332,357,381,403,430,449
60-day:, 243,284,323,352,388,414,437,459,485,502

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,9,11,13,14,16,17,18,20,21
10-min:, 13,15,18,20,23,25,27,29,32,34
15-min:, 16,19,23,26,29,32,34,37,40,42
30-min:, 21,26,32,37,43,48,53,57,64,68
60-min:, 27,33,42,48,58,65,72,80,91,100
2-hr:, 30,37,47,56,67,76,85,95,109,120
3-hr:, 32,39,50,58,70,79,89,100,114,126
6-hr:, 38,45,57,67,80,91,103,116,134,149
12-hr:, 44,53,66,78,93,107,122,138,162,181
24-hr:, 54,65,81,95,115,131,148,167,193,214
2-day:, 64,77,96,112,134,153,172,191,219,242
3-day:, 68,82,102,119,142,161,181,201,230,253
4-day:, 72,87,108,125,150,169,190,211,241,264
7-day:, 85,102,126,145,170,191,213,235,265,288
10-day:, 98,117,142,162,188,208,228,249,276,296
20-day:, 134,159,189,213,245,270,296,321,355,380
30-day:, 166,196,229,254,287,312,336,360,390,412
45-day:, 211,248,285,314,349,375,400,424,454,475
60-day:, 255,298,339,369,407,434,459,482,510,529

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 6,8,9,10,12,13,13,14,15,16
10-min:, 10,12,15,16,19,20,21,23,24,25
15-min:, 13,15,19,21,24,25,27,28,30,31
30-min:, 18,21,26,30,35,38,41,44,48,50
60-min:, 22,26,34,39,46,52,57,62,69,73
2-hr:, 25,30,39,45,54,61,67,74,82,88
3-hr:, 27,32,41,48,57,64,71,78,86,92
6-hr:, 32,38,48,56,67,75,83,92,102,110
12-hr:, 38,45,57,66,79,89,99,110,124,135
24-hr:, 46,56,70,82,99,112,127,141,162,178
2-day:, 55,66,83,96,115,130,146,162,184,201
3-day:, 59,71,88,103,122,138,154,171,193,211
4-day:, 62,75,94,109,129,146,163,180,203,220
7-day:, 74,89,109,125,148,165,182,200,223,241
10-day:, 86,103,125,142,165,182,199,216,237,253
20-day:, 119,141,169,190,218,240,261,281,308,328
30-day:, 150,176,206,229,258,280,300,320,344,362
45-day:, 190,223,257,283,315,338,359,379,403,420
60-day:, 231,270,308,335,369,393,414,434,458,473

Date/time (GMT):  Thu Feb 29 23:16:08 2024
pyRunTime:  0.009178400039672852
