Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 38.50782345 Degree
Longitude: -81.9082131 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,10,12,14,16,17,19,20,22,23
10-min:, 14,16,19,21,24,26,28,30,32,33
15-min:, 17,20,24,26,30,32,35,37,40,42
30-min:, 22,26,32,37,42,46,50,54,59,63
60-min:, 27,32,41,47,55,61,67,74,82,88
2-hr:, 31,37,47,54,64,71,79,87,97,105
3-hr:, 32,39,49,56,67,75,83,92,103,112
6-hr:, 38,46,57,66,78,88,98,108,122,134
12-hr:, 45,54,66,75,89,101,112,125,142,155
24-hr:, 55,66,79,91,106,119,132,146,164,179
2-day:, 66,78,94,106,123,137,151,165,184,199
3-day:, 71,84,100,113,131,144,158,172,191,206
4-day:, 76,90,107,120,138,152,166,180,199,213
7-day:, 91,108,126,141,159,174,187,201,218,231
10-day:, 105,124,144,159,178,193,206,220,237,249
20-day:, 146,171,195,213,236,253,269,284,302,314
30-day:, 183,213,241,262,287,306,322,338,356,369
45-day:, 233,271,303,327,355,376,394,411,430,443
60-day:, 280,325,361,387,418,441,460,477,498,511

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,11,14,15,17,19,20,22,24,25
10-min:, 15,18,21,24,27,29,31,32,35,36
15-min:, 18,22,26,29,33,35,38,40,43,45
30-min:, 24,29,36,40,46,51,55,59,64,68
60-min:, 29,36,45,51,60,67,73,80,89,95
2-hr:, 34,41,51,59,69,77,86,94,105,114
3-hr:, 36,43,54,62,73,81,90,99,112,121
6-hr:, 42,50,62,71,84,95,105,116,131,143
12-hr:, 49,58,71,81,96,108,120,133,150,164
24-hr:, 59,70,84,96,113,126,139,154,173,189
2-day:, 70,83,99,112,130,145,159,174,195,210
3-day:, 75,89,106,120,138,153,167,182,202,217
4-day:, 80,95,113,127,146,160,175,189,209,223
7-day:, 97,114,134,149,168,183,197,212,230,243
10-day:, 110,130,151,166,187,202,216,230,248,261
20-day:, 152,179,204,223,247,265,281,297,316,329
30-day:, 190,222,251,273,299,319,336,353,372,386
45-day:, 242,282,316,340,370,391,410,428,448,461
60-day:, 291,338,375,402,434,457,477,496,516,530

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,9,11,13,14,16,17,18,19,20
10-min:, 12,15,17,20,22,24,25,27,28,30
15-min:, 15,18,21,24,27,29,31,33,35,37
30-min:, 20,24,29,33,38,42,45,49,53,55
60-min:, 24,29,37,42,50,55,61,66,73,78
2-hr:, 28,34,43,49,57,64,71,77,86,93
3-hr:, 30,36,45,51,61,68,75,82,92,99
6-hr:, 36,43,52,60,71,80,88,97,109,118
12-hr:, 42,50,61,70,82,92,103,113,127,138
24-hr:, 52,62,75,85,100,111,123,136,152,165
2-day:, 62,74,89,100,116,129,141,154,171,185
3-day:, 67,80,95,107,123,136,149,161,178,191
4-day:, 72,85,101,114,130,143,156,169,185,198
7-day:, 87,102,120,133,151,164,176,189,205,216
10-day:, 100,118,137,151,169,183,196,208,223,235
20-day:, 139,163,187,204,226,242,256,270,286,298
30-day:, 175,204,231,251,275,293,309,323,341,353
45-day:, 224,261,291,314,341,361,378,394,412,424
60-day:, 270,313,347,373,402,423,442,459,477,490

Date/time (GMT):  Thu Feb 29 23:16:10 2024
pyRunTime:  0.06089186668395996
