Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 39.06198912 Degree
Longitude: -76.03530977 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,14,16,17,18,20,21,22
10-min:, 14,17,20,22,25,27,29,31,34,35
15-min:, 18,21,26,28,32,35,37,39,42,44
30-min:, 24,29,36,41,47,52,57,61,67,72
60-min:, 30,37,46,54,63,71,78,86,97,105
2-hr:, 36,44,56,65,78,88,98,109,125,137
3-hr:, 39,48,61,71,85,97,109,122,140,156
6-hr:, 48,59,74,87,105,121,138,156,183,205
12-hr:, 58,70,89,106,130,152,176,203,243,278
24-hr:, 68,82,107,128,160,189,221,257,312,360
2-day:, 78,95,123,148,185,217,253,294,355,408
3-day:, 82,100,129,154,192,225,261,302,363,416
4-day:, 87,105,135,161,199,233,269,310,371,423
7-day:, 100,121,153,180,221,255,293,335,397,449
10-day:, 113,136,169,197,237,271,307,345,401,452
20-day:, 153,181,219,250,293,328,364,401,453,495
30-day:, 189,224,267,301,348,385,422,460,511,551
45-day:, 238,281,330,366,415,452,488,523,569,602
60-day:, 285,335,388,427,477,514,549,582,624,653

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,12,14,16,18,19,21,22,24,25
10-min:, 16,19,22,25,28,30,33,35,38,40
15-min:, 20,24,28,31,36,38,41,44,48,50
30-min:, 27,33,40,46,53,58,63,69,76,81
60-min:, 34,41,52,59,70,79,87,96,109,119
2-hr:, 40,49,62,72,86,97,109,122,140,155
3-hr:, 44,53,67,78,94,107,121,135,157,175
6-hr:, 54,65,82,96,117,134,153,174,206,233
12-hr:, 66,80,101,119,147,171,199,230,278,320
24-hr:, 75,92,119,142,177,208,243,282,341,394
2-day:, 87,105,137,163,203,238,277,321,387,446
3-day:, 91,111,143,170,211,246,286,330,396,454
4-day:, 96,116,149,177,219,255,295,339,405,462
7-day:, 110,133,168,198,241,279,320,365,432,488
10-day:, 124,149,185,215,258,294,332,374,435,490
20-day:, 165,196,237,270,316,353,391,432,488,533
30-day:, 203,240,286,322,372,411,450,491,546,589
45-day:, 254,300,351,391,442,481,519,557,606,642
60-day:, 302,355,411,452,505,544,581,616,661,693

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,11,13,14,15,16,17,18,19
10-min:, 13,15,18,20,23,24,26,27,29,30
15-min:, 16,19,23,25,29,31,33,35,37,38
30-min:, 22,26,33,37,42,46,50,54,58,62
60-min:, 27,33,42,48,56,63,69,76,84,90
2-hr:, 33,40,50,58,69,78,87,96,108,117
3-hr:, 36,43,55,64,76,86,96,106,121,132
6-hr:, 44,53,67,78,94,107,121,135,155,172
12-hr:, 52,63,80,94,114,132,151,171,201,226
24-hr:, 61,74,97,115,143,168,195,224,269,306
2-day:, 71,86,112,133,166,193,224,257,306,348
3-day:, 75,91,118,140,173,201,232,266,316,358
4-day:, 79,96,124,147,181,209,241,275,326,368
7-day:, 91,110,140,164,200,230,262,297,348,389
10-day:, 104,125,156,181,217,246,277,310,357,399
20-day:, 141,168,203,232,271,302,334,366,411,445
30-day:, 176,209,249,280,323,356,389,423,468,501
45-day:, 224,264,309,343,388,422,454,486,525,553
60-day:, 268,316,365,401,448,482,514,544,581,607

Date/time (GMT):  Thu Feb 29 23:16:12 2024
pyRunTime:  0.011876821517944336
