Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 37.1227897 Degree
Longitude: -80.55856502 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,8,10,11,13,14,15,16,17,18
10-min:, 11,13,16,18,21,22,24,26,27,29
15-min:, 14,17,21,23,26,28,30,32,35,36
30-min:, 19,23,29,33,39,43,47,50,55,58
60-min:, 24,29,37,43,52,58,64,70,79,85
2-hr:, 27,33,42,49,59,67,75,82,92,100
3-hr:, 29,34,44,52,62,70,78,86,97,104
6-hr:, 34,41,51,60,72,82,92,102,116,126
12-hr:, 40,48,60,70,85,97,109,123,141,156
24-hr:, 49,60,76,89,108,123,140,157,182,201
2-day:, 59,71,89,104,125,142,160,179,205,226
3-day:, 62,75,95,110,132,150,169,189,216,237
4-day:, 66,80,100,117,140,158,178,198,226,248
7-day:, 78,94,117,134,159,179,199,220,247,269
10-day:, 91,109,133,151,176,195,214,234,258,277
20-day:, 124,148,177,200,230,254,277,301,331,354
30-day:, 155,184,215,240,271,295,318,340,367,387
45-day:, 197,232,268,295,329,354,378,400,426,445
60-day:, 239,280,319,347,383,409,432,453,479,495

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,9,11,13,14,16,17,18,20,21
10-min:, 13,15,18,20,23,25,27,29,31,33
15-min:, 16,19,23,26,29,31,34,36,39,41
30-min:, 21,26,32,37,43,47,52,56,62,66
60-min:, 27,32,41,48,57,64,71,79,89,97
2-hr:, 30,36,47,55,66,74,83,92,105,114
3-hr:, 32,38,49,57,68,77,86,96,109,119
6-hr:, 37,45,56,66,79,89,100,112,129,141
12-hr:, 44,52,65,76,92,105,119,134,156,174
24-hr:, 54,65,82,96,116,133,150,169,196,217
2-day:, 64,77,97,113,136,154,173,193,222,244
3-day:, 68,82,103,120,143,162,183,204,233,256
4-day:, 72,87,109,126,151,171,192,214,244,267
7-day:, 85,102,126,145,172,193,215,237,267,291
10-day:, 97,117,142,162,188,209,229,250,277,297
20-day:, 132,157,188,212,245,270,295,321,354,379
30-day:, 164,194,228,253,286,311,335,359,389,411
45-day:, 208,245,283,311,347,373,398,421,450,471
60-day:, 251,294,335,365,403,430,455,478,505,523

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 6,8,9,10,12,12,13,14,15,15
10-min:, 10,12,15,16,18,20,21,22,23,24
15-min:, 13,15,19,21,23,25,27,28,30,30
30-min:, 18,21,26,30,35,38,41,44,47,49
60-min:, 22,26,34,39,46,51,56,61,67,72
2-hr:, 25,30,38,45,53,59,66,71,79,84
3-hr:, 26,31,40,47,55,62,69,75,82,88
6-hr:, 31,37,47,55,65,73,81,89,99,106
12-hr:, 37,44,55,65,77,87,97,107,121,130
24-hr:, 46,55,70,81,98,112,126,141,162,178
2-day:, 54,65,82,95,114,130,145,161,183,200
3-day:, 58,70,87,102,121,137,154,170,193,210
4-day:, 61,74,93,108,128,145,162,179,203,220
7-day:, 73,87,108,124,147,164,182,199,223,240
10-day:, 85,101,124,141,163,181,198,214,236,251
20-day:, 117,139,166,187,215,237,258,279,305,324
30-day:, 147,173,203,226,255,276,297,317,341,358
45-day:, 186,219,253,278,310,333,354,374,398,414
60-day:, 227,266,302,330,363,387,408,428,451,465

Date/time (GMT):  Thu Feb 29 23:16:14 2024
pyRunTime:  0.008721351623535156
