Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 37.76962964 Degree
Longitude: -81.24551863 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,9,11,13,14,15,17,18,19,20
10-min:, 12,15,18,20,22,24,25,27,29,30
15-min:, 15,18,22,25,28,30,32,34,36,37
30-min:, 21,25,31,35,40,44,47,51,55,58
60-min:, 26,31,39,45,52,58,64,70,77,83
2-hr:, 29,36,44,51,60,67,74,81,90,97
3-hr:, 31,38,47,54,63,71,78,86,96,104
6-hr:, 37,44,54,63,74,83,92,101,114,124
12-hr:, 44,52,63,72,85,96,107,118,134,147
24-hr:, 53,63,76,86,101,113,125,138,155,168
2-day:, 64,75,90,102,118,130,143,156,174,187
3-day:, 69,81,97,109,125,138,151,164,181,194
4-day:, 74,87,103,116,132,145,158,171,188,200
7-day:, 88,103,121,134,152,165,178,190,206,217
10-day:, 102,120,139,154,173,187,200,213,229,241
20-day:, 143,167,192,210,233,249,265,280,298,311
30-day:, 180,210,237,258,283,302,318,334,353,366
45-day:, 229,266,298,322,351,371,390,407,427,441
60-day:, 277,321,357,383,414,436,455,473,493,507

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,10,12,14,16,17,18,20,21,22
10-min:, 14,17,20,22,24,26,28,30,32,33
15-min:, 17,20,24,27,31,33,35,37,40,42
30-min:, 23,28,34,38,44,48,52,56,61,65
60-min:, 28,34,43,49,58,64,71,78,86,93
2-hr:, 32,39,49,56,66,73,81,89,100,108
3-hr:, 34,41,51,59,69,77,86,94,106,115
6-hr:, 41,49,60,68,80,90,100,111,125,137
12-hr:, 47,56,68,78,92,104,116,128,146,160
24-hr:, 57,67,81,92,108,120,133,146,164,178
2-day:, 68,80,96,108,125,138,152,166,185,199
3-day:, 73,86,103,115,133,146,160,173,192,205
4-day:, 78,92,109,123,140,154,167,181,199,212
7-day:, 93,109,128,142,161,175,188,201,218,230
10-day:, 108,127,147,163,182,197,211,225,242,255
20-day:, 150,176,202,221,245,262,279,295,315,329
30-day:, 188,220,248,270,296,316,333,350,370,384
45-day:, 239,278,311,336,366,388,408,426,448,463
60-day:, 288,335,372,399,431,454,475,493,515,529

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,9,10,11,13,14,15,15,16,17
10-min:, 11,13,16,18,20,21,22,24,25,26
15-min:, 14,17,20,22,25,26,28,30,31,32
30-min:, 19,23,28,31,36,39,42,44,48,50
60-min:, 23,28,35,40,47,52,56,61,67,71
2-hr:, 27,32,40,46,54,60,65,71,78,84
3-hr:, 29,34,43,49,57,64,70,76,84,90
6-hr:, 34,41,50,57,67,75,82,90,100,107
12-hr:, 41,48,59,67,78,87,96,105,118,127
24-hr:, 50,59,71,81,94,105,116,127,142,154
2-day:, 60,71,85,96,110,122,134,145,161,173
3-day:, 65,77,91,102,118,129,141,153,168,179
4-day:, 69,82,97,109,125,137,148,160,175,186
7-day:, 83,97,114,127,143,155,167,178,192,202
10-day:, 96,113,132,146,163,176,188,200,215,225
20-day:, 136,159,182,199,221,236,251,264,281,293
30-day:, 172,200,227,246,270,287,303,317,334,346
45-day:, 219,255,285,308,335,355,372,388,407,419
60-day:, 265,308,342,367,397,418,436,453,472,484

Date/time (GMT):  Thu Feb 29 23:16:16 2024
pyRunTime:  0.1590116024017334
