Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 38.68296748 Degree
Longitude: -78.15827001 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,15,17,19,20,22,25,27
10-min:, 14,17,21,23,26,29,32,34,38,41
15-min:, 18,22,26,29,33,36,40,43,48,51
30-min:, 24,30,36,42,48,54,60,65,74,81
60-min:, 30,37,46,54,64,72,81,91,105,116
2-hr:, 35,43,55,64,78,89,102,115,135,152
3-hr:, 38,47,59,69,84,96,109,124,146,166
6-hr:, 47,58,72,85,103,118,135,153,181,205
12-hr:, 58,71,89,104,127,147,169,194,232,265
24-hr:, 69,84,106,125,154,178,205,234,278,315
2-day:, 80,97,123,145,176,203,232,263,309,348
3-day:, 86,104,131,154,187,215,245,278,325,365
4-day:, 91,110,139,163,198,227,258,292,342,383
7-day:, 106,128,160,186,223,253,286,321,371,412
10-day:, 121,145,179,206,243,273,304,336,381,418
20-day:, 161,191,229,260,301,333,366,400,445,481
30-day:, 196,232,274,306,349,382,414,447,489,522
45-day:, 246,289,336,371,416,450,482,513,552,581
60-day:, 290,341,390,427,473,507,538,568,605,631

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,12,14,16,19,20,22,24,27,29
10-min:, 16,19,23,26,29,32,35,38,42,45
15-min:, 20,24,29,32,37,40,44,47,52,56
30-min:, 27,33,40,46,53,59,66,72,81,89
60-min:, 33,41,51,59,71,80,89,100,115,128
2-hr:, 39,48,61,72,87,99,112,127,149,169
3-hr:, 43,53,66,78,94,107,122,138,163,184
6-hr:, 54,65,82,95,115,132,150,171,202,229
12-hr:, 66,80,100,117,142,164,188,215,258,294
24-hr:, 76,92,117,138,169,195,223,255,303,344
2-day:, 88,107,135,159,193,222,253,287,338,381
3-day:, 94,114,144,169,204,234,267,303,355,400
4-day:, 100,121,153,179,216,247,281,318,373,419
7-day:, 116,140,175,203,243,276,312,350,405,451
10-day:, 133,159,196,225,265,297,331,367,416,458
20-day:, 174,208,249,282,326,361,397,433,483,522
30-day:, 211,250,295,330,375,410,446,481,528,564
45-day:, 262,309,358,396,444,480,515,549,591,624
60-day:, 308,362,414,454,502,538,572,605,645,675

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,12,13,15,16,18,19,21,23
10-min:, 13,16,19,21,24,26,28,30,33,35
15-min:, 16,19,23,26,30,32,35,38,41,44
30-min:, 22,27,33,37,43,48,52,57,64,69
60-min:, 27,33,42,48,57,64,72,79,91,99
2-hr:, 32,39,49,57,69,79,89,100,116,130
3-hr:, 34,42,53,61,74,84,95,107,125,140
6-hr:, 43,52,65,75,90,103,117,132,154,172
12-hr:, 52,63,80,93,112,128,146,166,195,220
24-hr:, 63,76,97,114,139,160,182,207,242,272
2-day:, 73,89,112,132,159,182,207,233,271,301
3-day:, 78,95,120,140,169,193,219,246,285,317
4-day:, 83,101,127,149,179,204,231,259,300,332
7-day:, 97,117,146,169,202,229,257,286,327,360
10-day:, 111,133,164,188,221,247,274,301,338,368
20-day:, 148,177,212,240,277,305,334,363,402,431
30-day:, 183,217,255,284,323,352,382,410,446,473
45-day:, 230,271,314,346,388,418,446,474,508,532
60-day:, 274,321,368,402,444,475,504,530,563,585

Date/time (GMT):  Thu Feb 29 23:16:21 2024
pyRunTime:  0.01409459114074707
