Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 10 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Northeastern States
Location name (ESRI Maps): None
Station Name: None
Latitude: 40.58582155 Degree
Longitude: -74.14808598 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,11,14,17,20,23,26,29,33,36
10-min:, 14,16,20,24,29,32,36,40,46,51
15-min:, 16,19,24,28,34,38,43,48,55,60
30-min:, 22,26,33,39,47,53,59,65,75,83
60-min:, 28,33,42,49,59,67,75,83,96,105
2-hr:, 37,43,54,63,75,84,94,104,118,130
3-hr:, 42,50,62,72,86,97,108,120,137,150
6-hr:, 52,62,79,93,112,126,141,158,182,202
12-hr:, 62,76,99,118,145,164,185,210,246,277
24-hr:, 72,90,119,143,176,201,227,259,307,349
2-day:, 83,103,136,163,200,227,257,293,347,393
3-day:, 91,112,146,174,213,242,273,310,366,413
4-day:, 98,119,154,183,223,252,284,322,379,427
7-day:, 116,138,175,205,247,278,311,350,408,456
10-day:, 133,156,194,226,269,302,336,375,433,480
20-day:, 185,211,253,288,336,372,410,450,506,550
30-day:, 230,257,302,339,391,430,470,510,564,605
45-day:, 285,314,363,403,458,501,543,583,635,672
60-day:, 331,362,413,455,513,559,602,642,692,726

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 13,15,19,22,28,32,37,43,50,57
10-min:, 18,21,27,32,40,46,53,60,72,80
15-min:, 21,25,32,37,47,54,62,71,84,95
30-min:, 29,34,44,51,64,74,85,98,116,130
60-min:, 37,44,55,65,82,94,109,124,147,166
2-hr:, 48,56,71,83,103,118,135,154,181,203
3-hr:, 55,65,81,95,118,135,155,177,208,233
6-hr:, 68,81,103,121,152,175,203,232,276,312
12-hr:, 80,98,128,154,197,228,267,306,372,426
24-hr:, 93,115,153,185,239,278,327,376,461,532
2-day:, 106,131,174,209,269,313,367,422,516,595
3-day:, 116,142,186,223,285,331,388,445,543,624
4-day:, 124,151,196,234,298,345,403,462,561,644
7-day:, 146,175,222,261,328,377,438,499,600,684
10-day:, 167,197,245,287,356,407,469,533,634,717
20-day:, 232,264,318,364,439,496,563,634,736,815
30-day:, 286,321,378,427,508,569,640,716,817,894
45-day:, 354,391,453,505,592,658,732,815,915,989
60-day:, 411,450,515,570,661,731,807,895,995,1065

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,9,11,13,15,16,18,19,21,23
10-min:, 10,12,15,18,21,23,25,27,30,32
15-min:, 12,14,18,21,25,27,30,32,35,38
30-min:, 17,20,25,29,34,38,41,44,49,52
60-min:, 21,25,32,37,43,48,52,56,62,67
2-hr:, 28,33,41,47,55,61,66,70,77,82
3-hr:, 32,38,47,55,64,70,76,81,89,95
6-hr:, 40,48,60,71,83,92,100,107,119,129
12-hr:, 48,59,76,91,108,120,133,142,161,178
24-hr:, 56,70,92,110,132,148,164,176,201,224
2-day:, 65,80,105,125,150,168,186,199,228,253
3-day:, 71,87,114,135,160,179,198,211,241,267
4-day:, 77,93,120,142,168,187,206,220,250,276
7-day:, 91,109,137,160,187,207,226,240,270,295
10-day:, 105,123,152,176,204,225,244,258,287,311
20-day:, 147,167,200,226,255,277,296,311,337,357
30-day:, 182,204,239,267,298,321,339,354,377,394
45-day:, 227,250,288,318,349,374,391,405,425,438
60-day:, 265,289,328,360,392,417,434,447,464,474

Date/time (GMT):  Thu Feb 29 23:16:23 2024
pyRunTime:  0.011963605880737305
