Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 37.53255773 Degree
Longitude: -77.47966921 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,15,17,18,19,20,22,23
10-min:, 15,18,21,24,26,29,31,32,34,36
15-min:, 19,23,27,30,33,36,39,41,43,45
30-min:, 26,31,38,43,50,54,59,63,69,73
60-min:, 32,39,49,56,66,74,81,89,99,107
2-hr:, 39,47,58,68,82,92,104,115,131,143
3-hr:, 42,50,63,74,88,100,113,125,143,157
6-hr:, 50,61,76,90,108,124,140,158,183,204
12-hr:, 60,73,91,109,133,154,176,201,237,268
24-hr:, 70,85,109,129,159,185,214,246,293,334
2-day:, 82,99,126,149,182,210,240,273,321,362
3-day:, 86,105,133,157,191,220,252,286,336,378
4-day:, 91,110,140,165,201,231,264,300,352,395
7-day:, 105,126,158,184,222,254,288,324,377,421
10-day:, 119,143,177,204,243,275,309,345,396,437
20-day:, 160,191,231,262,305,339,374,409,457,495
30-day:, 199,235,279,312,356,390,423,456,499,531
45-day:, 250,295,345,383,431,468,502,536,579,610
60-day:, 296,349,403,444,495,534,570,604,648,679

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 11,12,15,16,18,20,21,22,24,25
10-min:, 17,20,23,26,29,32,34,36,38,40
15-min:, 21,25,30,33,37,40,43,45,48,50
30-min:, 29,35,42,48,55,60,65,70,76,81
60-min:, 36,43,54,62,73,81,90,98,109,118
2-hr:, 43,52,65,76,91,103,115,127,145,159
3-hr:, 47,57,71,83,99,112,125,139,159,175
6-hr:, 57,69,86,101,121,139,157,177,204,228
12-hr:, 68,82,104,123,149,173,197,224,264,299
24-hr:, 78,94,121,143,176,204,235,269,322,366
2-day:, 90,109,139,164,200,231,264,300,354,398
3-day:, 95,115,147,173,210,242,277,314,369,416
4-day:, 100,121,154,181,220,253,289,328,385,434
7-day:, 115,138,173,202,243,277,315,355,414,463
10-day:, 130,156,193,223,265,300,337,377,433,479
20-day:, 173,206,250,283,330,367,404,443,496,538
30-day:, 213,253,299,335,382,419,455,490,537,573
45-day:, 267,316,369,409,461,500,537,573,621,656
60-day:, 315,370,428,470,525,565,604,642,689,724

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,10,12,13,15,16,17,18,19,20
10-min:, 14,16,19,21,24,26,27,29,30,31
15-min:, 17,20,24,27,30,32,34,36,38,39
30-min:, 23,28,34,39,44,49,53,56,61,64
60-min:, 29,35,44,51,59,66,72,79,87,93
2-hr:, 35,42,52,61,73,82,91,100,113,123
3-hr:, 37,45,56,66,78,88,99,109,123,134
6-hr:, 45,54,67,79,95,108,122,136,155,171
12-hr:, 54,65,82,96,117,134,152,171,198,221
24-hr:, 64,77,99,117,143,165,189,215,254,285
2-day:, 74,90,115,135,163,187,213,240,279,311
3-day:, 79,95,121,142,173,198,225,253,294,327
4-day:, 83,100,128,150,182,208,236,266,308,343
7-day:, 96,115,144,168,202,229,259,290,333,369
10-day:, 109,131,162,187,222,250,280,311,353,387
20-day:, 148,177,213,242,281,311,341,372,413,444
30-day:, 185,219,259,290,330,360,390,418,456,483
45-day:, 233,275,322,356,401,434,466,495,533,560
60-day:, 278,327,378,415,463,498,531,563,600,627

Date/time (GMT):  Thu Feb 29 23:16:27 2024
pyRunTime:  0.008779764175415039
