Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 39.18096898 Degree
Longitude: -81.06357214 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,12,14,16,17,18,20,22,23
10-min:, 13,16,19,21,24,26,28,29,32,33
15-min:, 16,19,23,26,29,32,34,37,39,42
30-min:, 21,26,32,36,42,46,50,53,58,62
60-min:, 26,32,40,46,54,60,66,73,81,87
2-hr:, 30,37,46,53,63,70,78,86,97,105
3-hr:, 32,39,49,56,67,75,84,92,104,114
6-hr:, 39,46,57,66,79,89,99,110,125,137
12-hr:, 45,54,66,76,91,102,114,127,145,160
24-hr:, 54,65,79,90,105,118,131,145,164,179
2-day:, 64,76,91,103,120,133,147,161,180,195
3-day:, 69,82,97,110,127,140,154,167,186,200
4-day:, 74,87,104,116,134,147,161,174,192,205
7-day:, 90,106,124,138,156,170,184,197,214,227
10-day:, 103,121,141,156,175,189,203,216,232,245
20-day:, 146,171,195,214,237,253,269,284,302,315
30-day:, 184,215,243,264,290,308,325,341,360,373
45-day:, 236,275,308,332,361,381,400,417,437,450
60-day:, 285,331,367,394,426,448,468,486,506,520

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,15,17,19,20,22,24,25
10-min:, 15,17,21,23,26,28,30,32,35,36
15-min:, 18,21,26,29,32,35,38,40,43,45
30-min:, 24,29,35,40,46,50,54,59,64,68
60-min:, 29,35,44,50,59,66,73,79,88,95
2-hr:, 34,41,51,59,69,77,86,94,106,115
3-hr:, 36,43,54,62,73,82,92,101,114,124
6-hr:, 42,51,63,73,86,97,108,119,135,148
12-hr:, 50,60,73,84,99,111,124,138,157,172
24-hr:, 58,70,84,96,113,126,140,154,174,189
2-day:, 68,81,97,110,128,142,156,171,190,206
3-day:, 73,87,104,117,135,149,163,177,197,212
4-day:, 78,93,110,124,142,156,170,184,203,217
7-day:, 95,112,131,146,165,180,194,208,226,239
10-day:, 109,128,148,164,184,199,213,226,244,257
20-day:, 153,180,205,224,249,266,283,298,317,331
30-day:, 193,225,255,276,303,323,341,357,377,390
45-day:, 247,287,321,346,377,398,418,435,456,470
60-day:, 297,344,382,410,443,466,487,506,527,541

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,9,11,12,14,15,16,18,19,20
10-min:, 12,14,17,19,21,23,25,26,28,29
15-min:, 15,17,21,23,26,29,31,33,35,37
30-min:, 19,23,29,33,37,41,44,48,52,55
60-min:, 24,29,36,41,48,54,59,65,72,77
2-hr:, 28,33,42,48,57,63,70,77,86,93
3-hr:, 29,35,44,51,60,67,75,82,92,100
6-hr:, 35,42,52,60,71,80,89,98,110,120
12-hr:, 42,50,61,70,82,92,103,114,128,140
24-hr:, 51,61,73,84,98,109,121,133,150,163
2-day:, 60,71,85,97,112,124,136,149,166,179
3-day:, 65,77,91,103,119,131,143,156,172,184
4-day:, 69,82,98,109,125,138,150,162,178,190
7-day:, 85,100,117,130,147,160,173,185,200,212
10-day:, 98,115,134,148,165,179,191,204,219,230
20-day:, 138,162,186,203,225,241,255,269,285,297
30-day:, 176,205,232,252,276,294,310,325,342,354
45-day:, 226,263,294,317,345,364,382,398,416,428
60-day:, 273,317,352,377,407,429,447,464,483,496

Date/time (GMT):  Thu Feb 29 23:16:29 2024
pyRunTime:  0.012017965316772461
