Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 38.71622686 Degree
Longitude: -81.35243568 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,10,12,14,16,17,18,20,21,23
10-min:, 13,16,19,21,24,26,28,29,32,33
15-min:, 16,19,23,26,30,32,34,37,39,41
30-min:, 22,26,32,36,42,46,50,53,58,62
60-min:, 26,32,40,46,54,60,66,73,81,87
2-hr:, 31,37,47,54,63,71,79,86,97,105
3-hr:, 33,39,49,57,67,75,84,93,105,114
6-hr:, 39,47,58,67,79,89,99,110,125,137
12-hr:, 46,55,67,77,91,103,115,127,145,159
24-hr:, 55,65,79,90,106,119,132,146,164,179
2-day:, 65,78,93,105,122,136,150,164,183,198
3-day:, 71,84,100,113,130,144,157,172,190,205
4-day:, 76,90,107,120,138,151,165,179,198,212
7-day:, 92,108,127,141,160,174,188,202,219,232
10-day:, 106,124,144,160,179,194,208,221,238,251
20-day:, 149,174,199,218,242,259,275,290,308,322
30-day:, 188,219,248,269,296,315,332,348,367,381
45-day:, 241,280,313,338,367,388,407,424,445,458
60-day:, 290,337,374,401,433,456,476,494,515,529

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,15,17,19,20,22,23,25
10-min:, 15,18,21,23,26,28,30,32,34,36
15-min:, 18,21,26,29,32,35,38,40,43,45
30-min:, 24,29,35,40,46,50,54,58,64,67
60-min:, 29,35,44,51,59,66,73,79,88,95
2-hr:, 34,41,51,59,69,77,85,94,105,114
3-hr:, 36,43,54,62,73,82,91,100,113,123
6-hr:, 43,51,63,72,85,96,107,118,134,146
12-hr:, 50,59,72,83,98,110,123,136,154,169
24-hr:, 59,70,85,97,113,126,140,155,174,190
2-day:, 70,83,99,112,130,144,159,174,194,210
3-day:, 75,89,106,119,138,152,167,181,201,217
4-day:, 80,95,113,127,145,160,174,189,208,223
7-day:, 97,114,134,149,168,183,198,212,230,244
10-day:, 111,131,152,168,188,203,218,232,250,263
20-day:, 156,183,209,229,254,272,289,305,324,338
30-day:, 197,230,260,282,310,330,348,365,385,400
45-day:, 252,293,328,353,384,406,426,444,466,480
60-day:, 303,352,390,419,452,476,497,516,538,553

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,9,11,12,14,15,17,18,19,20
10-min:, 12,15,17,19,22,23,25,26,28,29
15-min:, 15,18,21,24,27,29,31,33,35,37
30-min:, 20,24,29,33,38,41,45,48,52,55
60-min:, 24,29,36,42,49,54,60,65,72,77
2-hr:, 28,34,43,49,57,64,71,77,86,93
3-hr:, 30,36,45,52,61,68,76,83,93,101
6-hr:, 36,43,53,61,72,81,90,99,112,121
12-hr:, 43,51,62,71,84,94,104,115,130,141
24-hr:, 52,62,74,85,99,111,123,135,152,165
2-day:, 62,73,87,99,114,127,139,152,169,182
3-day:, 67,79,94,106,122,135,147,160,177,189
4-day:, 72,85,101,113,130,142,155,168,184,197
7-day:, 87,103,120,134,151,165,177,190,206,218
10-day:, 100,118,137,152,170,184,197,209,225,236
20-day:, 142,166,190,208,230,246,261,275,292,304
30-day:, 179,210,237,257,282,300,316,331,349,361
45-day:, 230,268,300,323,351,371,389,405,424,437
60-day:, 278,322,358,384,414,436,455,472,492,505

Date/time (GMT):  Thu Feb 29 23:16:31 2024
pyRunTime:  0.0821373462677002
