Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 37.81185333 Degree
Longitude: -79.44585965 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,9,11,12,14,15,16,17,18,19
10-min:, 12,14,17,19,22,24,26,27,29,31
15-min:, 15,18,22,24,28,30,32,34,37,38
30-min:, 20,25,31,35,41,45,50,54,59,62
60-min:, 25,31,40,46,55,62,68,75,84,91
2-hr:, 29,36,46,54,65,73,81,90,101,109
3-hr:, 32,39,49,58,69,78,87,96,108,118
6-hr:, 40,48,61,71,85,97,109,122,140,154
12-hr:, 49,59,74,87,106,121,138,157,183,205
24-hr:, 61,74,94,110,134,154,175,198,230,257
2-day:, 72,87,109,128,154,176,199,223,257,285
3-day:, 77,93,117,136,164,186,210,235,270,299
4-day:, 82,98,124,144,173,196,221,247,283,313
7-day:, 94,114,141,163,193,218,243,269,304,332
10-day:, 108,130,159,181,211,235,259,282,314,339
20-day:, 145,173,207,234,270,298,326,354,391,419
30-day:, 180,212,250,278,314,342,369,395,428,453
45-day:, 227,267,309,340,380,409,437,464,496,519
60-day:, 271,318,362,395,436,465,492,517,547,567

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,12,13,15,17,18,19,21,22
10-min:, 13,16,19,21,24,26,28,30,33,35
15-min:, 16,20,24,27,31,33,36,38,41,44
30-min:, 23,27,34,39,46,50,55,60,66,71
60-min:, 28,34,44,51,61,68,76,84,94,103
2-hr:, 33,40,51,60,72,81,90,100,113,124
3-hr:, 35,43,55,64,76,86,97,108,122,134
6-hr:, 45,54,68,79,95,108,122,137,158,176
12-hr:, 56,67,84,99,119,137,157,178,211,238
24-hr:, 66,80,102,119,145,166,189,213,248,277
2-day:, 77,94,118,138,166,189,214,240,278,308
3-day:, 83,100,126,147,176,201,226,254,292,324
4-day:, 88,107,134,156,187,212,239,267,307,339
7-day:, 101,122,152,175,207,234,261,289,328,359
10-day:, 116,139,170,193,225,250,276,301,336,363
20-day:, 154,184,220,249,287,317,347,378,418,450
30-day:, 190,224,263,293,332,361,390,418,455,482
45-day:, 238,280,324,356,398,429,459,487,522,548
60-day:, 284,332,379,413,456,487,516,543,575,597

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,8,10,11,12,13,14,15,16,16
10-min:, 11,13,15,17,20,21,22,24,25,26
15-min:, 13,16,20,22,25,27,28,30,32,33
30-min:, 18,22,28,32,37,40,43,47,50,53
60-min:, 23,28,36,41,49,54,60,65,72,77
2-hr:, 27,32,42,49,58,65,72,78,87,93
3-hr:, 29,35,45,52,62,69,77,84,93,100
6-hr:, 36,43,55,64,76,86,96,105,118,128
12-hr:, 44,53,67,78,93,106,119,133,151,166
24-hr:, 57,69,87,102,123,140,159,178,205,226
2-day:, 67,80,101,118,142,161,181,201,230,252
3-day:, 71,86,108,125,150,170,191,212,241,264
4-day:, 75,91,114,133,159,179,201,223,253,276
7-day:, 88,106,131,151,178,200,222,244,274,297
10-day:, 101,121,148,169,196,218,239,259,286,307
20-day:, 137,163,195,220,252,278,303,327,359,382
30-day:, 170,201,236,262,296,322,346,369,398,419
45-day:, 216,254,294,323,360,387,412,436,464,484
60-day:, 259,304,346,377,416,443,468,491,517,535

Date/time (GMT):  Thu Feb 29 23:16:37 2024
pyRunTime:  0.0077817440032958984
