Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 38.50786076 Degree
Longitude: -78.87099376 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,9,11,12,14,16,17,19,21,22
10-min:, 12,14,17,19,22,24,27,29,31,33
15-min:, 15,18,22,24,28,31,33,36,39,42
30-min:, 20,24,30,35,40,45,50,54,60,65
60-min:, 24,30,38,45,53,60,67,75,85,93
2-hr:, 29,35,45,53,65,74,84,94,109,121
3-hr:, 31,38,48,57,68,78,89,100,116,130
6-hr:, 39,47,59,69,83,96,109,124,145,163
12-hr:, 48,57,72,85,103,120,138,158,188,214
24-hr:, 56,67,84,99,120,138,158,180,211,237
2-day:, 65,78,97,114,137,157,178,200,233,259
3-day:, 68,82,102,119,144,164,185,208,240,267
4-day:, 72,86,107,125,150,170,192,215,248,275
7-day:, 83,99,122,141,166,187,208,231,261,286
10-day:, 96,114,138,157,182,202,223,243,271,294
20-day:, 130,153,181,203,232,255,277,299,328,349
30-day:, 159,187,217,241,271,294,316,337,363,382
45-day:, 198,232,266,292,324,348,371,392,417,435
60-day:, 238,278,315,342,376,401,423,444,468,484

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,12,14,16,17,19,21,23,25
10-min:, 13,16,19,22,25,27,29,32,35,37
15-min:, 16,20,24,27,31,34,37,40,44,47
30-min:, 22,27,33,38,45,50,55,60,67,73
60-min:, 27,33,42,49,59,67,75,83,95,104
2-hr:, 33,40,51,59,72,82,93,105,122,136
3-hr:, 35,42,54,63,76,87,99,112,130,146
6-hr:, 44,52,66,77,93,107,122,138,163,183
12-hr:, 54,65,81,95,116,134,154,177,212,242
24-hr:, 61,74,93,109,132,152,173,197,232,262
2-day:, 71,85,106,124,150,171,194,219,256,286
3-day:, 74,89,112,130,156,178,201,226,263,293
4-day:, 78,94,117,135,162,185,209,234,270,301
7-day:, 90,107,132,152,179,202,225,250,284,312
10-day:, 103,122,148,168,196,217,239,262,292,318
20-day:, 138,164,193,216,247,272,296,320,352,376
30-day:, 169,198,230,255,287,311,335,358,388,409
45-day:, 209,245,281,308,342,367,392,414,442,462
60-day:, 251,293,331,360,396,422,446,468,494,512

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,8,10,11,13,14,15,16,18,19
10-min:, 11,13,16,17,20,22,23,25,27,28
15-min:, 13,16,19,22,25,27,29,31,34,35
30-min:, 18,22,27,31,36,40,43,47,52,55
60-min:, 22,27,34,40,47,53,59,65,73,79
2-hr:, 26,32,41,48,57,65,73,82,93,103
3-hr:, 28,34,43,51,61,69,78,87,100,110
6-hr:, 35,42,53,62,74,84,95,107,123,136
12-hr:, 43,52,65,76,91,105,119,135,157,175
24-hr:, 51,61,77,90,109,124,141,158,183,203
2-day:, 60,72,90,104,125,142,159,178,203,223
3-day:, 63,76,94,110,131,149,167,185,211,232
4-day:, 67,80,99,115,137,155,174,193,220,241
7-day:, 77,92,113,130,153,171,190,209,234,254
10-day:, 89,106,129,146,169,187,204,222,245,265
20-day:, 122,144,170,190,216,237,257,276,300,318
30-day:, 151,177,206,227,255,276,296,315,338,354
45-day:, 188,221,253,277,307,329,349,368,391,406
60-day:, 226,264,299,325,357,380,400,419,440,455

Date/time (GMT):  Thu Feb 29 23:16:40 2024
pyRunTime:  0.12131762504577637
