Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 36.9302832 Degree
Longitude: -82.10095486 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,9,11,12,14,15,17,18,20,22
10-min:, 12,14,17,19,22,24,27,29,32,35
15-min:, 15,18,21,24,28,31,34,37,41,44
30-min:, 21,25,31,35,41,46,52,57,65,71
60-min:, 26,31,39,46,55,63,71,80,93,104
2-hr:, 30,35,44,52,64,74,85,98,117,134
3-hr:, 32,38,47,55,67,78,89,102,122,139
6-hr:, 38,45,55,64,77,89,101,115,136,153
12-hr:, 46,54,66,76,91,103,117,131,153,171
24-hr:, 55,66,80,91,108,121,136,151,173,192
2-day:, 67,79,95,109,127,143,159,176,200,220
3-day:, 72,86,103,117,136,152,169,186,210,229
4-day:, 78,92,110,125,145,162,179,196,220,239
7-day:, 94,112,132,148,169,185,201,216,237,256
10-day:, 110,130,151,167,188,204,218,233,253,272
20-day:, 154,181,208,228,253,271,289,305,324,338
30-day:, 192,224,253,275,302,322,339,356,375,389
45-day:, 245,285,319,343,373,393,412,428,447,460
60-day:, 296,344,384,412,446,470,490,509,531,545

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,12,13,15,17,19,20,23,25
10-min:, 14,16,19,21,24,27,29,32,36,39
15-min:, 17,20,24,27,31,34,37,41,45,49
30-min:, 23,28,34,39,46,51,57,63,72,79
60-min:, 29,35,43,50,61,69,79,89,103,116
2-hr:, 33,39,49,58,71,82,95,109,131,150
3-hr:, 35,42,53,61,75,86,99,114,136,156
6-hr:, 42,50,61,71,86,98,112,128,151,171
12-hr:, 50,60,73,84,100,114,128,145,169,189
24-hr:, 60,72,87,99,117,132,148,165,191,212
2-day:, 72,85,103,117,138,155,173,193,221,245
3-day:, 78,92,111,126,148,165,184,204,232,255
4-day:, 84,99,119,135,157,175,194,214,242,265
7-day:, 101,120,142,160,182,200,217,235,260,281
10-day:, 118,139,162,179,201,218,235,251,275,297
20-day:, 163,192,221,242,269,289,308,326,349,366
30-day:, 202,236,267,291,319,340,360,379,401,418
45-day:, 257,300,335,361,392,415,435,453,475,490
60-day:, 310,361,402,432,468,494,517,538,562,579

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,8,10,11,12,13,15,16,18,19
10-min:, 11,13,15,17,20,21,23,25,28,30
15-min:, 14,16,19,22,25,27,30,32,35,37
30-min:, 19,23,27,31,37,41,45,50,56,60
60-min:, 23,28,35,41,49,55,62,70,80,88
2-hr:, 27,32,40,47,57,65,75,85,100,113
3-hr:, 29,34,42,49,60,69,78,89,104,117
6-hr:, 35,41,50,58,69,79,89,101,117,130
12-hr:, 42,49,60,69,82,93,104,116,134,148
24-hr:, 51,61,73,84,99,110,122,135,152,166
2-day:, 62,74,88,101,117,131,144,158,177,191
3-day:, 67,80,96,108,126,140,154,168,186,201
4-day:, 72,86,103,116,134,149,163,177,196,211
7-day:, 88,104,124,138,157,171,184,197,215,230
10-day:, 104,122,142,157,176,189,202,214,232,247
20-day:, 145,170,196,215,238,254,270,284,300,312
30-day:, 182,212,240,261,286,303,319,334,351,362
45-day:, 233,271,303,326,353,372,389,404,420,431
60-day:, 282,328,366,393,424,446,465,481,500,512

Date/time (GMT):  Thu Feb 29 23:16:42 2024
pyRunTime:  0.08604145050048828
