Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 39.58717304 Degree
Longitude: -75.34691254 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,12,14,16,17,18,19,20,21
10-min:, 14,17,20,22,25,27,29,30,32,34
15-min:, 18,21,25,28,31,34,36,38,40,42
30-min:, 24,29,36,41,46,51,55,59,64,68
60-min:, 31,37,46,53,62,69,76,83,92,100
2-hr:, 37,44,55,64,76,85,95,104,117,127
3-hr:, 40,48,60,70,83,94,105,117,132,145
6-hr:, 49,59,74,86,104,118,134,150,173,192
12-hr:, 60,72,90,106,129,149,171,195,230,261
24-hr:, 68,83,107,128,159,186,217,252,304,349
2-day:, 79,96,123,147,183,214,248,286,344,393
3-day:, 83,101,130,154,191,222,257,296,353,403
4-day:, 88,106,136,162,199,231,266,305,363,413
7-day:, 101,122,153,180,219,253,289,329,388,437
10-day:, 114,136,169,196,235,267,302,339,394,440
20-day:, 153,183,220,251,293,327,362,398,448,487
30-day:, 190,226,268,301,346,382,417,454,503,540
45-day:, 242,286,334,370,418,454,489,523,567,599
60-day:, 290,341,394,433,483,519,554,586,627,657

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,12,14,15,17,19,20,21,23,24
10-min:, 16,19,22,25,27,30,32,34,36,38
15-min:, 20,24,28,31,35,37,40,42,45,48
30-min:, 27,33,40,45,51,56,61,66,72,77
60-min:, 34,41,51,59,69,76,85,93,104,113
2-hr:, 41,50,62,72,85,96,107,118,133,146
3-hr:, 45,54,67,79,93,106,118,131,149,164
6-hr:, 56,67,83,98,117,133,151,170,197,220
12-hr:, 68,81,102,120,146,169,195,222,264,300
24-hr:, 76,93,120,142,177,207,240,277,334,383
2-day:, 88,107,138,164,203,237,274,316,379,434
3-day:, 92,112,144,171,211,245,283,325,388,443
4-day:, 97,117,150,178,218,253,291,333,397,452
7-day:, 111,133,168,197,240,276,315,358,422,477
10-day:, 124,149,185,214,256,291,328,368,428,479
20-day:, 166,197,237,270,315,352,389,428,482,525
30-day:, 205,242,287,323,371,409,447,486,539,580
45-day:, 258,305,356,394,445,483,520,557,604,640
60-day:, 308,362,418,459,512,551,587,622,667,699

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,11,12,14,15,16,17,18,18
10-min:, 13,15,18,20,22,24,25,27,28,29
15-min:, 16,19,23,25,28,30,32,34,35,36
30-min:, 22,27,32,36,42,45,49,52,56,59
60-min:, 27,33,41,47,55,61,67,73,80,86
2-hr:, 33,39,49,57,67,75,83,90,100,108
3-hr:, 36,43,54,62,74,83,92,101,112,122
6-hr:, 44,53,66,77,91,103,115,128,145,158
12-hr:, 53,64,79,93,113,129,147,164,189,210
24-hr:, 61,74,96,114,141,164,190,218,260,295
2-day:, 71,86,111,132,163,189,218,249,296,334
3-day:, 75,91,117,139,171,198,227,259,307,346
4-day:, 80,97,124,146,179,207,237,270,318,357
7-day:, 92,111,140,164,199,228,260,293,342,382
10-day:, 104,125,155,180,214,243,272,304,350,388
20-day:, 142,169,204,231,270,300,331,362,405,438
30-day:, 178,210,249,280,322,354,386,418,460,492
45-day:, 227,268,312,346,390,423,455,485,525,553
60-day:, 273,321,370,407,453,487,518,547,584,610

Date/time (GMT):  Thu Feb 29 23:16:44 2024
pyRunTime:  0.010753631591796875
