Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 37.2836193 Degree
Longitude: -80.06219455 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,9,11,13,14,15,17,18,19,20
10-min:, 12,15,18,20,23,25,26,28,30,31
15-min:, 15,19,23,25,29,31,33,35,38,39
30-min:, 21,26,32,37,43,47,51,55,60,64
60-min:, 26,32,41,48,57,63,70,77,86,93
2-hr:, 31,38,48,57,68,76,85,94,106,115
3-hr:, 33,40,52,60,72,82,91,101,114,125
6-hr:, 41,50,63,74,89,101,114,128,147,162
12-hr:, 50,61,77,90,109,125,143,163,191,215
24-hr:, 63,76,97,114,138,159,181,205,240,269
2-day:, 74,90,114,133,160,183,207,233,270,300
3-day:, 79,96,121,141,170,193,218,245,283,314
4-day:, 84,101,128,149,179,203,229,257,296,328
7-day:, 97,117,145,168,199,225,251,279,317,348
10-day:, 111,133,163,186,217,242,266,292,326,353
20-day:, 149,177,213,240,277,306,335,364,403,433
30-day:, 184,218,256,285,322,351,379,406,441,467
45-day:, 232,273,316,349,390,420,448,476,510,535
60-day:, 278,325,371,405,447,478,506,532,564,586

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,10,12,14,16,17,18,20,21,23
10-min:, 14,16,20,22,25,27,29,31,34,36
15-min:, 17,21,25,28,32,34,37,39,42,45
30-min:, 23,28,36,41,47,52,57,61,67,72
60-min:, 29,36,46,53,63,70,78,86,97,105
2-hr:, 34,42,54,63,75,84,94,105,119,131
3-hr:, 37,45,57,67,80,90,101,112,128,142
6-hr:, 46,55,70,82,98,112,126,142,165,184
12-hr:, 56,67,85,99,120,138,159,181,215,244
24-hr:, 69,83,105,124,150,172,196,222,260,292
2-day:, 81,98,123,144,174,198,224,252,293,327
3-day:, 86,104,131,152,183,209,236,265,307,342
4-day:, 91,110,138,161,193,220,248,278,321,356
7-day:, 105,126,157,181,215,242,271,301,343,377
10-day:, 119,143,175,199,232,258,285,313,350,380
20-day:, 158,188,226,255,294,325,356,388,431,464
30-day:, 194,230,270,301,341,371,401,430,468,497
45-day:, 244,288,333,366,410,442,472,502,540,567
60-day:, 292,342,390,426,470,503,533,561,595,619

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,8,10,11,13,14,15,15,16,17
10-min:, 11,13,16,18,20,22,23,24,26,27
15-min:, 14,17,20,23,26,28,29,31,32,33
30-min:, 19,23,29,33,38,42,45,48,52,54
60-min:, 24,29,37,43,51,56,62,67,74,79
2-hr:, 28,34,44,51,61,68,75,82,91,98
3-hr:, 30,37,47,55,65,73,81,88,98,106
6-hr:, 38,46,58,67,80,90,101,111,125,136
12-hr:, 46,56,70,82,98,111,125,140,160,175
24-hr:, 58,70,89,104,126,144,163,183,212,235
2-day:, 69,83,105,122,147,167,188,210,240,264
3-day:, 73,89,112,130,156,176,198,221,252,277
4-day:, 78,94,118,137,164,186,208,232,264,290
7-day:, 90,109,135,156,184,207,230,253,286,311
10-day:, 104,124,152,173,202,224,246,268,296,319
20-day:, 140,167,200,225,259,285,311,336,369,394
30-day:, 174,206,242,269,303,329,354,378,409,431
45-day:, 220,259,300,330,369,396,422,447,478,499
60-day:, 265,311,354,387,426,455,481,504,533,552

Date/time (GMT):  Thu Feb 29 23:16:46 2024
pyRunTime:  0.007735729217529297
