Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 10 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Northeastern States
Location name (ESRI Maps): None
Station Name: None
Latitude: 42.58831742 Degree
Longitude: -74.4433903 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,9,11,13,16,18,20,23,27,30
10-min:, 10,13,16,19,23,26,29,33,38,42
15-min:, 12,15,19,22,27,30,34,38,45,50
30-min:, 16,20,25,30,36,41,46,52,60,67
60-min:, 21,25,32,38,46,51,58,65,76,84
2-hr:, 27,32,40,47,56,63,70,79,93,105
3-hr:, 31,37,46,53,63,71,79,90,106,120
6-hr:, 39,46,57,67,80,89,99,113,133,151
12-hr:, 48,57,72,84,101,113,127,143,169,191
24-hr:, 57,68,87,102,123,138,155,175,205,230
2-day:, 67,80,101,118,142,160,179,201,233,260
3-day:, 74,88,109,128,153,171,191,214,246,274
4-day:, 80,94,116,135,160,180,200,223,256,283
7-day:, 95,110,133,153,180,200,221,244,277,303
10-day:, 110,125,149,170,198,219,241,264,296,322
20-day:, 156,172,200,222,253,278,301,325,355,378
30-day:, 194,212,242,267,301,327,353,377,407,427
45-day:, 242,262,295,322,360,390,418,443,473,492
60-day:, 281,303,339,369,410,443,474,500,530,549

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,14,17,21,25,29,33,40,45
10-min:, 13,16,20,24,30,35,41,47,56,64
15-min:, 15,18,24,28,35,41,48,55,66,75
30-min:, 20,25,32,38,48,55,64,74,89,101
60-min:, 26,31,40,47,60,69,81,93,112,127
2-hr:, 34,40,50,58,73,84,98,112,137,157
3-hr:, 39,45,57,66,83,95,111,126,154,178
6-hr:, 48,57,71,83,103,119,138,158,193,223
12-hr:, 58,69,87,103,130,149,174,199,243,280
24-hr:, 69,82,105,124,157,181,211,241,292,334
2-day:, 81,96,122,143,180,207,240,274,329,375
3-day:, 89,105,131,154,192,220,254,290,346,392
4-day:, 96,112,139,162,201,230,265,301,357,403
7-day:, 113,130,158,183,223,253,290,328,384,429
10-day:, 130,147,177,202,244,276,313,353,409,453
20-day:, 182,202,235,263,310,345,385,430,486,527
30-day:, 227,248,284,314,365,404,447,496,553,593
45-day:, 281,305,345,379,435,479,526,580,639,680
60-day:, 326,352,395,432,493,541,592,651,714,755

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 6,7,9,10,12,13,15,16,17,19
10-min:, 8,10,13,15,17,19,21,22,25,27
15-min:, 10,12,15,17,20,23,24,26,29,31
30-min:, 13,16,20,23,27,30,33,35,39,42
60-min:, 16,20,25,29,34,38,41,44,49,53
2-hr:, 22,25,32,37,43,47,51,54,61,67
3-hr:, 25,29,36,42,49,53,58,61,69,76
6-hr:, 32,37,46,53,61,67,73,77,87,96
12-hr:, 39,46,58,67,78,86,93,98,111,122
24-hr:, 46,55,70,82,95,105,114,120,135,148
2-day:, 55,66,82,96,111,122,132,139,154,168
3-day:, 61,72,90,104,120,131,141,148,163,177
4-day:, 66,77,95,110,126,138,148,155,170,183
7-day:, 79,91,110,125,142,154,164,170,185,196
10-day:, 91,104,124,140,156,169,178,185,198,209
20-day:, 131,144,166,184,201,214,223,229,239,246
30-day:, 163,179,203,222,240,253,261,266,274,278
45-day:, 204,221,248,269,288,303,310,314,319,321
60-day:, 239,257,286,309,329,345,351,355,359,361

Date/time (GMT):  Thu Feb 29 23:16:48 2024
pyRunTime:  0.0075075626373291016
