Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 10 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Northeastern States
Location name (ESRI Maps): None
Station Name: None
Latitude: 42.39184015 Degree
Longitude: -76.8773299 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,9,12,14,17,19,21,24,28,31
10-min:, 10,13,16,19,24,27,30,34,39,44
15-min:, 12,15,19,23,28,31,35,40,46,52
30-min:, 17,20,26,31,38,43,48,54,63,70
60-min:, 21,25,33,39,47,54,61,68,79,88
2-hr:, 26,31,40,47,57,65,73,82,97,110
3-hr:, 29,35,44,53,64,72,81,92,109,124
6-hr:, 35,42,54,63,77,87,98,111,133,151
12-hr:, 42,51,65,77,93,106,119,135,161,183
24-hr:, 49,60,77,91,111,126,142,161,192,218
2-day:, 56,69,89,105,128,145,164,187,222,253
3-day:, 62,75,96,114,138,156,176,201,239,272
4-day:, 66,80,102,121,146,165,185,211,250,284
7-day:, 79,94,117,137,164,184,205,231,272,306
10-day:, 92,107,131,152,179,200,222,249,289,322
20-day:, 131,147,174,196,226,249,273,299,336,366
30-day:, 163,180,209,233,265,290,316,342,377,404
45-day:, 203,222,253,279,315,343,370,397,432,457
60-day:, 236,256,290,318,357,387,417,445,480,505

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,12,15,18,23,26,31,35,42,48
10-min:, 14,17,22,26,32,38,44,50,60,68
15-min:, 16,20,25,30,38,44,51,59,70,80
30-min:, 22,27,34,41,52,60,69,79,95,108
60-min:, 28,34,43,52,65,75,88,100,120,136
2-hr:, 34,41,52,62,79,91,106,121,146,168
3-hr:, 37,45,58,69,87,101,117,134,164,189
6-hr:, 45,54,70,83,105,121,141,161,198,230
12-hr:, 54,65,84,100,127,146,171,195,239,277
24-hr:, 63,76,99,118,150,173,203,232,284,328
2-day:, 72,87,113,135,172,199,233,266,327,379
3-day:, 78,95,122,145,185,213,250,285,350,405
4-day:, 84,101,129,154,194,224,262,299,365,422
7-day:, 100,118,148,173,216,248,287,327,395,453
10-day:, 115,134,165,191,236,268,309,350,418,475
20-day:, 163,183,217,245,293,329,372,417,484,536
30-day:, 202,224,260,291,342,381,426,475,541,591
45-day:, 250,274,314,347,404,447,495,549,616,666
60-day:, 290,316,359,395,456,503,555,613,683,733

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 6,7,9,10,12,14,15,16,18,20
10-min:, 8,10,12,15,17,19,21,23,25,28
15-min:, 9,11,15,17,20,23,25,27,30,33
30-min:, 13,15,20,23,28,31,34,36,40,44
60-min:, 16,19,25,29,35,39,42,45,51,56
2-hr:, 20,24,30,36,42,47,52,55,63,70
3-hr:, 22,26,34,40,47,52,58,62,71,79
6-hr:, 27,32,41,48,57,64,70,75,86,96
12-hr:, 32,39,50,59,70,78,86,91,105,117
24-hr:, 38,46,59,70,83,93,103,109,126,140
2-day:, 44,53,69,81,97,108,119,127,146,163
3-day:, 48,58,75,88,105,116,128,137,157,175
4-day:, 52,63,80,94,110,123,135,144,165,183
7-day:, 62,74,92,107,124,137,150,159,180,198
10-day:, 73,84,103,118,136,149,162,171,191,209
20-day:, 104,116,137,154,172,186,198,207,224,238
30-day:, 129,143,165,183,202,217,228,237,252,264
45-day:, 162,177,201,220,241,256,267,276,289,298
60-day:, 188,205,231,252,273,290,301,310,322,330

Date/time (GMT):  Thu Feb 29 23:16:50 2024
pyRunTime:  0.029224872589111328
