Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 40.70494737 Degree
Longitude: -76.21477951 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,14,16,17,19,20,22,24
10-min:, 15,17,20,22,25,27,29,31,33,35
15-min:, 18,21,25,28,31,33,36,38,42,44
30-min:, 24,29,34,39,44,48,52,56,62,67
60-min:, 29,35,43,49,57,63,70,77,87,95
2-hr:, 35,43,53,61,73,84,95,109,130,148
3-hr:, 39,47,58,68,82,94,109,125,150,173
6-hr:, 48,58,72,84,101,117,135,155,188,217
12-hr:, 61,73,91,105,129,149,174,202,246,287
24-hr:, 72,86,107,125,154,180,212,249,310,366
2-day:, 84,101,125,146,180,210,246,287,355,417
3-day:, 88,106,130,152,186,217,253,295,363,426
4-day:, 92,110,136,158,192,224,260,303,371,434
7-day:, 110,131,160,185,224,259,300,347,422,490
10-day:, 127,151,182,209,250,286,327,374,447,512
20-day:, 172,203,238,268,312,351,393,440,512,574
30-day:, 213,251,289,321,368,408,451,499,569,628
45-day:, 269,314,357,392,442,484,529,577,647,704
60-day:, 324,377,425,465,521,568,617,670,746,808

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,12,14,16,18,19,21,23,25,27
10-min:, 16,19,22,25,27,29,32,34,37,40
15-min:, 20,24,28,30,34,36,39,42,46,49
30-min:, 26,32,38,42,48,53,57,62,69,75
60-min:, 32,39,48,54,63,70,77,85,96,106
2-hr:, 39,47,58,68,81,93,106,121,145,167
3-hr:, 44,53,66,76,92,105,121,140,169,196
6-hr:, 54,66,81,94,113,131,151,174,212,246
12-hr:, 68,82,101,118,143,166,194,225,276,324
24-hr:, 78,94,117,137,167,195,229,268,332,391
2-day:, 92,110,137,159,195,227,265,310,382,448
3-day:, 96,115,142,166,202,234,273,318,390,457
4-day:, 101,120,148,172,208,242,281,326,399,466
7-day:, 120,143,174,201,243,280,323,374,453,526
10-day:, 137,164,197,226,269,307,351,401,479,548
20-day:, 184,217,255,286,333,374,418,469,545,611
30-day:, 227,267,308,342,391,433,478,528,603,666
45-day:, 285,333,378,415,468,512,559,610,684,745
60-day:, 342,398,448,490,549,598,650,706,786,853

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,12,13,15,16,17,18,20,21
10-min:, 13,16,18,20,22,24,26,27,29,31
15-min:, 16,19,23,25,28,30,32,34,37,39
30-min:, 22,26,31,35,39,43,46,50,55,59
60-min:, 26,32,39,44,51,57,62,68,76,83
2-hr:, 32,39,48,55,65,74,84,95,112,127
3-hr:, 35,43,52,61,73,83,95,108,128,146
6-hr:, 43,53,65,75,90,103,118,134,160,182
12-hr:, 54,66,81,94,114,131,151,173,208,239
24-hr:, 66,79,98,114,139,162,189,219,269,313
2-day:, 77,93,115,134,163,189,219,253,308,357
3-day:, 81,97,120,139,169,196,226,262,317,367
4-day:, 85,102,125,145,175,203,234,270,326,377
7-day:, 101,121,148,170,205,235,270,310,372,426
10-day:, 118,140,169,193,229,261,296,336,398,451
20-day:, 161,190,223,250,290,324,362,403,464,517
30-day:, 200,235,271,301,344,380,419,461,522,573
45-day:, 254,297,337,370,417,456,496,539,601,651
60-day:, 307,358,404,441,494,537,582,630,698,753

Date/time (GMT):  Thu Feb 29 23:16:52 2024
pyRunTime:  0.011457681655883789
