Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 36.71466456 Degree
Longitude: -82.60171704 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,9,11,12,14,15,17,18,20,22
10-min:, 12,14,17,19,22,24,26,29,32,34
15-min:, 15,18,21,24,28,30,33,36,40,43
30-min:, 21,25,30,35,41,46,51,56,64,70
60-min:, 26,31,39,45,54,62,70,79,92,102
2-hr:, 30,36,44,52,63,73,84,96,113,129
3-hr:, 32,38,47,55,66,76,87,99,117,133
6-hr:, 38,46,56,64,77,88,99,112,131,147
12-hr:, 46,55,67,77,91,103,116,130,150,167
24-hr:, 59,70,84,95,111,124,138,152,172,189
2-day:, 71,84,100,113,131,146,162,178,201,219
3-day:, 76,90,107,121,140,155,171,187,210,228
4-day:, 81,96,114,129,148,164,180,197,219,237
7-day:, 99,117,139,155,177,194,210,227,249,267
10-day:, 115,135,157,175,197,215,232,248,270,289
20-day:, 160,188,215,236,262,281,300,317,339,355
30-day:, 198,231,260,283,310,330,349,367,388,403
45-day:, 252,292,326,350,381,402,421,439,459,474
60-day:, 303,352,390,419,453,477,499,518,540,555

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,10,12,13,15,17,18,20,22,24
10-min:, 14,16,19,21,24,27,29,32,35,38
15-min:, 17,20,24,27,31,34,37,40,44,48
30-min:, 23,28,34,39,45,51,56,62,70,77
60-min:, 29,35,43,50,60,69,77,87,101,113
2-hr:, 33,40,49,57,70,80,92,105,125,142
3-hr:, 35,42,52,61,73,84,96,110,129,146
6-hr:, 42,50,61,71,84,96,109,123,144,161
12-hr:, 51,60,73,84,99,112,126,142,164,182
24-hr:, 63,75,90,102,120,134,148,165,188,207
2-day:, 76,90,107,121,141,158,175,194,221,243
3-day:, 81,96,115,130,150,167,185,204,231,253
4-day:, 87,103,122,138,159,177,195,214,241,263
7-day:, 106,126,148,166,190,208,227,245,272,293
10-day:, 122,144,167,186,210,229,248,267,293,314
20-day:, 169,198,227,249,277,299,319,338,364,382
30-day:, 208,243,274,297,326,348,369,388,412,430
45-day:, 264,306,341,367,399,422,443,463,487,504
60-day:, 317,368,409,439,475,501,524,546,571,590

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,8,10,11,12,13,15,16,17,19
10-min:, 11,13,15,17,19,21,23,25,28,29
15-min:, 14,16,19,22,25,27,29,32,35,37
30-min:, 19,23,27,31,37,41,45,49,55,60
60-min:, 24,28,35,41,49,55,62,69,79,87
2-hr:, 27,33,40,47,57,65,74,84,98,110
3-hr:, 29,35,43,50,60,68,77,87,101,113
6-hr:, 35,42,51,59,70,79,89,100,115,127
12-hr:, 43,51,61,70,83,93,104,116,133,146
24-hr:, 55,65,78,89,103,114,125,137,153,166
2-day:, 66,78,93,105,122,135,148,161,179,193
3-day:, 71,84,100,113,130,143,157,170,188,202
4-day:, 76,90,107,120,138,152,165,179,197,211
7-day:, 93,110,130,145,165,180,194,208,226,240
10-day:, 108,127,148,164,185,200,214,228,246,261
20-day:, 152,178,204,223,247,264,280,295,314,326
30-day:, 189,220,248,269,294,312,329,344,362,374
45-day:, 241,279,311,334,362,382,399,415,433,445
60-day:, 290,337,374,400,432,455,474,491,510,523

Date/time (GMT):  Thu Feb 29 23:16:54 2024
pyRunTime:  0.04719281196594238
