Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 38.85901952 Degree
Longitude: -78.56817553 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,12,13,16,17,19,21,24,26
10-min:, 13,15,18,21,24,26,29,32,35,38
15-min:, 15,19,23,26,30,33,36,39,44,48
30-min:, 21,25,31,36,42,47,52,58,65,72
60-min:, 25,31,39,45,54,62,70,78,91,101
2-hr:, 30,37,47,55,67,78,89,102,121,137
3-hr:, 32,39,50,59,72,83,95,109,129,147
6-hr:, 40,49,61,72,87,101,116,132,158,179
12-hr:, 49,58,73,86,105,122,141,162,194,223
24-hr:, 58,70,88,103,125,143,164,186,218,245
2-day:, 67,81,101,118,143,163,186,210,246,275
3-day:, 72,86,107,125,150,172,195,219,254,284
4-day:, 76,91,114,132,158,180,203,228,263,292
7-day:, 88,106,130,149,176,198,221,244,277,303
10-day:, 101,121,146,166,193,214,236,258,289,315
20-day:, 137,162,190,213,242,265,288,310,338,359
30-day:, 168,197,228,252,283,306,329,350,377,397
45-day:, 209,245,280,306,339,362,385,405,431,448
60-day:, 250,292,330,358,392,417,439,459,483,499

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,15,17,19,21,23,26,29
10-min:, 14,17,20,23,27,29,32,35,39,42
15-min:, 17,21,25,28,33,36,40,43,49,53
30-min:, 23,28,34,39,46,52,57,64,72,79
60-min:, 28,34,43,50,60,68,77,86,100,111
2-hr:, 33,41,52,61,74,86,98,112,133,151
3-hr:, 36,44,55,65,79,91,104,119,142,162
6-hr:, 45,54,68,80,97,111,128,146,174,198
12-hr:, 55,65,82,96,117,135,156,179,215,247
24-hr:, 64,77,96,112,136,156,178,202,237,267
2-day:, 73,88,110,129,155,178,202,229,268,301
3-day:, 78,94,117,136,163,186,211,238,277,310
4-day:, 83,100,124,143,172,195,220,248,287,320
7-day:, 96,115,141,162,191,215,240,265,301,331
10-day:, 109,130,157,179,208,231,255,279,313,342
20-day:, 147,173,204,228,259,284,308,332,364,387
30-day:, 178,209,242,267,300,325,349,372,402,424
45-day:, 221,258,295,322,357,382,406,428,456,475
60-day:, 264,308,348,377,413,439,463,484,510,528

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,9,11,12,14,15,17,18,21,22
10-min:, 11,14,16,19,21,23,25,28,30,33
15-min:, 14,17,20,23,26,29,32,34,38,41
30-min:, 18,22,28,32,37,41,46,50,56,61
60-min:, 23,27,35,40,48,55,61,68,78,86
2-hr:, 27,33,42,50,60,69,79,89,104,117
3-hr:, 29,35,45,53,64,73,84,95,111,125
6-hr:, 37,44,55,64,78,89,102,115,135,152
12-hr:, 44,53,66,77,93,107,123,140,165,187
24-hr:, 54,65,81,94,114,130,147,166,192,213
2-day:, 62,75,93,108,130,148,167,188,216,240
3-day:, 66,80,99,115,138,156,176,196,225,248
4-day:, 70,84,105,121,145,164,184,204,233,256
7-day:, 82,98,120,138,162,181,201,220,247,269
10-day:, 94,112,136,154,178,197,217,236,262,283
20-day:, 128,152,178,199,226,247,267,286,311,328
30-day:, 159,186,215,238,266,288,308,327,351,367
45-day:, 198,232,265,290,320,342,363,381,404,419
60-day:, 238,278,314,340,372,395,415,434,455,469

Date/time (GMT):  Thu Feb 29 23:16:56 2024
pyRunTime:  0.024602174758911133
