Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 36.84455636 Degree
Longitude: -81.53344948 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,9,10,12,13,15,16,18,20,22
10-min:, 12,14,17,19,21,24,26,28,32,34
15-min:, 15,18,21,24,27,30,33,36,40,43
30-min:, 20,24,30,34,40,45,50,56,64,70
60-min:, 25,31,38,45,54,61,70,78,91,102
2-hr:, 29,34,43,51,62,72,83,94,112,126
3-hr:, 31,37,46,54,66,76,87,100,118,133
6-hr:, 38,45,55,64,77,88,100,112,130,145
12-hr:, 46,55,66,76,89,99,110,120,136,148
24-hr:, 57,67,80,91,105,116,127,138,152,162
2-day:, 68,80,95,108,124,137,149,162,179,192
3-day:, 74,87,103,116,133,147,160,174,191,204
4-day:, 79,94,111,124,143,157,171,185,203,217
7-day:, 94,111,131,146,167,183,199,215,236,252
10-day:, 109,128,150,167,190,208,225,243,266,285
20-day:, 152,178,204,224,250,270,289,307,330,347
30-day:, 189,221,249,270,298,319,338,356,378,394
45-day:, 241,280,312,336,367,389,410,429,452,468
60-day:, 291,337,374,402,436,460,482,502,526,542

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,12,13,15,17,19,21,23,26
10-min:, 13,16,19,21,24,27,30,33,37,41
15-min:, 17,20,23,26,31,34,38,41,47,51
30-min:, 23,27,33,38,45,51,58,64,74,83
60-min:, 29,34,43,50,60,69,79,90,107,121
2-hr:, 32,38,48,56,69,81,94,108,131,150
3-hr:, 34,41,51,60,74,86,99,115,138,159
6-hr:, 42,50,61,71,85,98,112,128,152,172
12-hr:, 51,60,73,83,97,109,122,135,154,174
24-hr:, 61,72,86,97,112,123,135,148,164,176
2-day:, 73,86,103,115,133,147,161,176,196,210
3-day:, 79,93,111,124,143,158,173,188,209,225
4-day:, 85,100,119,133,153,169,185,201,222,239
7-day:, 101,119,140,157,180,197,215,233,258,277
10-day:, 116,137,160,178,203,222,242,262,288,311
20-day:, 161,189,216,238,266,288,309,329,356,376
30-day:, 200,233,263,286,316,337,358,379,405,423
45-day:, 253,294,328,354,387,411,433,454,481,500
60-day:, 305,353,392,421,457,483,507,529,557,576

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,8,9,10,12,13,14,15,16,17
10-min:, 11,13,15,17,19,21,22,24,26,27
15-min:, 13,16,19,21,24,26,28,30,33,34
30-min:, 18,22,27,31,36,39,43,47,52,55
60-min:, 23,27,34,40,47,53,59,66,74,81
2-hr:, 26,31,39,45,55,62,71,79,91,100
3-hr:, 28,34,42,49,58,67,75,84,96,106
6-hr:, 34,41,50,58,69,78,87,96,109,118
12-hr:, 43,50,61,69,80,89,97,106,117,126
24-hr:, 53,63,75,85,97,107,117,126,138,146
2-day:, 64,75,89,100,115,126,137,148,162,171
3-day:, 69,81,96,108,124,136,147,158,173,183
4-day:, 74,88,104,116,133,145,157,169,184,195
7-day:, 88,104,122,136,155,169,182,196,213,225
10-day:, 103,120,141,156,177,192,208,222,241,256
20-day:, 143,168,192,211,235,253,270,285,304,318
30-day:, 180,209,236,256,282,301,317,333,352,365
45-day:, 230,266,297,320,349,369,387,404,423,436
60-day:, 278,322,357,383,415,437,457,474,495,508

Date/time (GMT):  Thu Feb 29 23:16:58 2024
pyRunTime:  0.022643327713012695
