Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 40.77114873 Degree
Longitude: -77.06884739 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,12,14,16,17,18,20,22,23
10-min:, 14,16,19,21,24,26,28,30,32,34
15-min:, 17,20,24,26,29,32,34,37,40,43
30-min:, 22,27,33,36,42,46,50,54,60,64
60-min:, 27,33,41,46,54,60,66,73,82,90
2-hr:, 32,39,48,56,67,76,87,99,117,133
3-hr:, 35,42,52,61,73,84,97,111,133,153
6-hr:, 44,53,66,76,92,105,121,139,167,192
12-hr:, 55,66,82,95,115,133,154,177,215,249
24-hr:, 65,78,97,113,139,164,192,227,282,335
2-day:, 76,92,113,133,163,192,225,265,330,391
3-day:, 81,97,119,139,170,199,232,273,338,399
4-day:, 85,102,125,145,176,206,240,280,346,407
7-day:, 98,117,143,165,199,230,267,309,377,439
10-day:, 113,135,162,186,222,254,290,333,399,459
20-day:, 156,184,216,242,282,316,355,398,464,522
30-day:, 196,230,265,294,336,373,413,458,524,580
45-day:, 246,288,326,358,404,442,484,529,595,650
60-day:, 295,343,385,421,472,514,560,609,680,739

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,12,14,15,17,19,20,22,24,26
10-min:, 15,18,21,24,26,29,31,33,36,38
15-min:, 19,22,26,29,33,35,38,41,45,48
30-min:, 25,30,36,41,46,51,55,60,66,72
60-min:, 30,37,45,52,60,67,74,81,92,101
2-hr:, 36,44,54,62,74,85,97,110,131,150
3-hr:, 39,47,59,68,82,94,109,124,150,173
6-hr:, 49,60,74,86,103,118,136,156,188,217
12-hr:, 61,74,91,106,128,148,171,198,241,280
24-hr:, 71,85,106,124,151,177,207,243,302,357
2-day:, 84,101,125,146,179,210,246,288,359,425
3-day:, 89,107,131,152,186,217,253,296,367,432
4-day:, 94,112,137,159,193,224,261,304,374,439
7-day:, 107,127,155,178,215,248,287,332,404,470
10-day:, 122,145,175,200,238,272,311,356,427,491
20-day:, 167,197,230,258,300,336,376,422,492,553
30-day:, 209,245,282,312,358,396,439,486,556,617
45-day:, 261,304,344,378,426,467,511,558,629,688
60-day:, 311,362,406,444,497,542,589,641,717,780

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,9,11,12,14,15,16,17,19,20
10-min:, 12,15,17,19,21,23,24,26,28,30
15-min:, 15,18,21,23,26,28,30,32,35,37
30-min:, 20,24,29,33,37,41,44,47,52,56
60-min:, 25,30,37,42,48,54,59,64,72,78
2-hr:, 29,35,43,49,59,67,76,85,100,113
3-hr:, 31,38,47,54,65,74,85,96,114,129
6-hr:, 39,48,59,68,81,93,106,120,142,161
12-hr:, 49,59,73,85,102,117,134,153,182,208
24-hr:, 60,72,89,104,127,148,172,201,246,287
2-day:, 70,84,104,121,147,172,200,232,285,333
3-day:, 74,89,109,127,154,179,207,240,293,341
4-day:, 78,93,114,132,160,186,215,248,301,350
7-day:, 91,109,132,152,183,210,242,277,333,383
10-day:, 106,126,151,173,205,233,265,301,357,406
20-day:, 147,173,202,227,263,294,328,366,422,471
30-day:, 185,217,250,277,316,349,385,424,482,530
45-day:, 233,273,309,339,381,417,454,495,553,601
60-day:, 280,326,366,399,447,486,527,572,635,687

Date/time (GMT):  Thu Feb 29 23:17:00 2024
pyRunTime:  0.011248111724853516
