Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 38.1163542 Degree
Longitude: -75.75118623 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,15,17,18,20,21,23,24
10-min:, 15,18,21,23,26,29,31,33,36,38
15-min:, 19,22,26,30,33,36,39,42,45,48
30-min:, 25,31,37,43,49,55,60,65,72,77
60-min:, 32,39,48,56,66,74,83,91,103,113
2-hr:, 38,46,57,67,81,92,103,115,131,145
3-hr:, 42,50,63,75,90,104,117,132,152,170
6-hr:, 51,61,76,91,110,128,146,166,194,219
12-hr:, 59,71,90,107,133,156,181,208,249,286
24-hr:, 67,82,106,127,159,188,219,255,309,357
2-day:, 78,95,124,149,186,218,254,295,357,410
3-day:, 83,101,130,155,193,226,263,304,365,418
4-day:, 87,106,136,162,201,234,271,312,373,426
7-day:, 100,121,153,180,221,255,293,335,396,448
10-day:, 113,136,170,197,237,271,307,345,402,451
20-day:, 152,180,218,248,291,326,361,398,450,490
30-day:, 188,222,265,299,345,381,418,456,507,546
45-day:, 235,278,325,361,409,446,481,515,560,593
60-day:, 280,329,381,419,468,504,539,571,612,640

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,12,14,16,18,20,22,23,25,27
10-min:, 16,20,23,26,29,32,34,37,40,43
15-min:, 20,25,29,33,37,40,44,47,51,54
30-min:, 28,34,41,47,55,61,67,73,80,87
60-min:, 35,43,53,61,73,82,92,102,115,127
2-hr:, 42,51,63,75,89,102,115,129,147,164
3-hr:, 46,56,71,83,100,115,130,147,170,191
6-hr:, 57,68,85,101,123,143,164,186,220,250
12-hr:, 67,80,101,121,149,175,204,236,284,328
24-hr:, 74,91,118,141,176,206,241,279,337,388
2-day:, 86,105,137,163,204,238,278,322,388,446
3-day:, 91,111,143,171,212,247,287,331,397,455
4-day:, 96,116,149,178,219,255,295,339,406,464
7-day:, 110,132,167,197,240,277,318,363,429,486
10-day:, 123,148,184,214,257,293,331,372,434,487
20-day:, 163,194,234,267,313,349,387,427,482,527
30-day:, 200,237,283,319,368,407,446,487,542,584
45-day:, 250,295,345,384,434,473,510,547,595,631
60-day:, 296,348,403,443,495,533,569,604,648,679

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,12,13,15,16,17,18,20,21
10-min:, 13,16,19,21,24,26,28,29,31,33
15-min:, 17,20,24,27,30,33,35,37,39,41
30-min:, 23,28,34,39,44,49,53,58,63,67
60-min:, 29,35,43,50,59,66,74,81,90,98
2-hr:, 34,41,51,60,72,81,91,101,114,124
3-hr:, 37,45,57,67,80,91,103,114,130,144
6-hr:, 45,55,68,81,97,112,127,143,165,183
12-hr:, 53,63,80,95,116,135,155,177,207,234
24-hr:, 61,74,97,116,144,168,195,225,268,306
2-day:, 72,87,113,135,168,196,227,261,311,353
3-day:, 76,92,119,142,175,204,235,269,320,362
4-day:, 80,97,125,148,182,212,243,278,328,370
7-day:, 92,112,141,166,202,232,265,300,351,392
10-day:, 105,126,157,182,218,248,279,312,360,402
20-day:, 141,168,203,231,270,301,333,365,410,444
30-day:, 176,208,248,279,321,354,387,421,464,498
45-day:, 221,261,306,340,384,417,449,480,520,549
60-day:, 264,311,359,395,441,474,505,535,571,596

Date/time (GMT):  Thu Feb 29 23:17:02 2024
pyRunTime:  0.009725093841552734
