Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 39.97162671 Degree
Longitude: -79.02670354 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,9,11,13,15,17,18,20,23,25
10-min:, 12,14,17,20,23,25,28,30,34,36
15-min:, 15,18,21,24,28,31,34,37,42,46
30-min:, 20,24,29,34,40,44,49,55,62,68
60-min:, 24,29,37,43,51,58,66,74,86,96
2-hr:, 28,34,43,51,62,71,82,93,110,125
3-hr:, 30,36,46,54,66,76,87,100,118,135
6-hr:, 37,45,56,65,79,91,105,119,142,161
12-hr:, 45,54,67,78,95,110,126,144,172,196
24-hr:, 52,63,78,92,112,130,150,173,208,238
2-day:, 61,73,91,106,129,149,170,195,232,263
3-day:, 66,79,97,112,135,155,176,199,233,265
4-day:, 71,84,103,119,141,160,181,203,234,266
7-day:, 84,100,121,138,162,181,202,223,252,277
10-day:, 99,117,139,156,180,199,219,238,265,289
20-day:, 140,164,190,210,236,257,277,297,322,341
30-day:, 177,206,236,259,289,311,333,354,381,400
45-day:, 227,264,299,325,359,384,407,430,458,477
60-day:, 274,318,357,386,423,450,474,498,526,545

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,10,12,14,16,18,20,22,25,28
10-min:, 13,16,19,22,25,28,30,33,37,40
15-min:, 16,20,24,27,31,34,38,41,46,50
30-min:, 22,26,33,37,44,49,55,60,69,75
60-min:, 27,32,41,48,57,65,73,82,95,106
2-hr:, 31,37,48,56,68,78,90,102,121,137
3-hr:, 33,40,51,60,73,84,96,109,130,147
6-hr:, 42,50,62,73,88,101,116,132,156,176
12-hr:, 51,61,75,88,106,122,140,160,191,217
24-hr:, 57,68,85,99,122,141,163,187,225,258
2-day:, 67,80,99,115,140,161,185,212,253,289
3-day:, 71,85,105,121,146,167,190,216,254,290
4-day:, 76,91,111,128,152,173,195,219,255,292
7-day:, 90,107,129,147,173,193,215,239,272,301
10-day:, 105,124,147,166,192,212,233,254,284,312
20-day:, 147,173,200,221,249,271,293,314,343,365
30-day:, 186,218,248,273,304,328,352,375,405,427
45-day:, 238,278,314,342,377,404,429,454,485,508
60-day:, 287,334,374,404,443,472,499,524,556,578

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,8,10,11,13,15,16,18,20,22
10-min:, 11,13,16,18,20,22,24,26,29,31
15-min:, 13,16,19,22,25,28,30,33,36,39
30-min:, 18,21,26,30,35,39,44,48,54,59
60-min:, 22,26,33,38,46,52,58,65,75,83
2-hr:, 25,30,39,45,55,63,72,81,95,107
3-hr:, 27,33,41,48,59,67,77,87,102,115
6-hr:, 33,40,50,58,70,81,92,104,122,137
12-hr:, 40,48,60,70,84,97,110,125,147,166
24-hr:, 48,58,72,84,102,117,134,152,179,202
2-day:, 57,68,84,98,118,135,153,173,201,225
3-day:, 61,73,90,104,124,141,158,177,204,226
4-day:, 66,78,96,110,130,147,164,182,206,227
7-day:, 79,94,113,129,151,168,185,202,226,246
10-day:, 93,110,130,147,169,186,203,219,241,261
20-day:, 133,156,180,199,224,242,260,277,298,314
30-day:, 168,196,224,246,273,294,313,331,354,370
45-day:, 216,252,285,309,341,363,385,405,429,445
60-day:, 261,304,341,368,403,427,450,470,495,512

Date/time (GMT):  Thu Feb 29 23:17:04 2024
pyRunTime:  0.07030439376831055
