Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 36.72231125 Degree
Longitude: -77.10642712 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 11,12,14,16,18,20,21,23,25,26
10-min:, 17,20,23,26,29,32,34,36,39,42
15-min:, 21,25,29,33,37,40,43,46,49,52
30-min:, 29,34,41,47,54,60,66,71,78,84
60-min:, 36,43,53,62,72,82,91,100,112,123
2-hr:, 42,51,63,75,90,103,116,130,149,167
3-hr:, 45,55,68,81,97,113,128,145,169,190
6-hr:, 54,65,81,97,117,136,156,177,208,236
12-hr:, 64,77,96,115,141,165,190,218,259,296
24-hr:, 73,89,114,136,167,194,223,255,303,343
2-day:, 85,102,131,155,191,221,254,291,345,391
3-day:, 90,109,139,164,200,231,264,300,353,399
4-day:, 95,115,146,172,209,240,273,309,361,407
7-day:, 112,135,169,197,237,269,304,342,395,439
10-day:, 128,153,189,219,260,294,330,368,422,465
20-day:, 174,207,251,287,337,378,420,464,526,575
30-day:, 214,255,305,344,398,441,484,528,588,635
45-day:, 267,316,374,421,485,535,587,640,712,769
60-day:, 320,377,442,492,560,613,665,718,788,842

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 12,14,16,18,20,22,24,25,28,29
10-min:, 19,22,26,29,32,35,38,40,44,46
15-min:, 24,28,32,36,41,45,48,51,55,58
30-min:, 32,38,46,53,61,67,73,79,87,94
60-min:, 40,48,59,69,81,91,101,111,125,138
2-hr:, 48,57,71,84,100,114,129,145,167,186
3-hr:, 51,62,76,91,110,126,144,162,189,213
6-hr:, 61,74,91,109,132,153,174,198,233,264
12-hr:, 72,87,108,130,158,185,212,243,289,330
24-hr:, 80,98,126,149,183,213,245,280,332,378
2-day:, 93,113,144,170,209,242,279,320,381,433
3-day:, 99,119,152,179,218,251,288,328,388,441
4-day:, 104,126,160,187,227,261,297,337,396,449
7-day:, 121,146,183,213,257,292,331,373,432,482
10-day:, 138,166,204,236,280,317,357,398,458,508
20-day:, 187,223,270,308,362,406,452,500,569,626
30-day:, 229,272,326,368,425,471,518,567,634,688
45-day:, 284,336,398,448,515,570,626,684,765,829
60-day:, 339,399,468,521,593,650,706,764,842,902

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,14,16,18,19,20,22,23
10-min:, 15,18,21,23,26,28,30,32,34,36
15-min:, 19,22,26,29,33,35,38,40,43,45
30-min:, 26,31,37,42,48,53,58,63,68,73
60-min:, 32,39,47,55,65,72,80,88,98,107
2-hr:, 38,46,56,67,79,90,101,113,129,143
3-hr:, 41,49,60,72,86,99,112,125,144,161
6-hr:, 48,58,72,85,103,119,135,153,177,198
12-hr:, 57,68,85,102,123,143,164,186,218,246
24-hr:, 67,81,104,123,151,174,198,225,262,294
2-day:, 78,94,120,142,173,199,227,257,300,335
3-day:, 83,100,128,150,182,208,236,266,309,344
4-day:, 88,107,135,158,191,218,246,275,318,354
7-day:, 103,125,156,181,217,245,275,306,350,384
10-day:, 119,143,176,203,240,270,301,333,377,412
20-day:, 162,194,235,267,312,348,385,422,473,512
30-day:, 201,239,286,323,372,410,448,486,537,575
45-day:, 252,297,352,395,453,499,544,590,651,697
60-day:, 302,357,417,465,527,575,622,668,727,772

Date/time (GMT):  Thu Feb 29 23:17:07 2024
pyRunTime:  0.02025890350341797
