Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 38.18574362 Degree
Longitude: -77.6554001 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,14,16,17,19,20,22,23
10-min:, 14,17,20,23,26,28,30,32,34,36
15-min:, 18,22,26,29,32,35,38,40,43,45
30-min:, 25,30,36,42,48,53,58,63,69,73
60-min:, 31,37,46,54,64,72,80,88,99,107
2-hr:, 36,44,55,65,77,88,99,110,125,138
3-hr:, 39,48,60,70,84,95,107,120,137,151
6-hr:, 48,58,72,86,103,118,134,151,176,197
12-hr:, 59,71,89,105,128,149,171,196,231,263
24-hr:, 67,82,105,125,156,182,212,246,297,342
2-day:, 79,95,122,145,178,207,239,275,328,373
3-day:, 84,101,129,153,189,219,252,290,345,392
4-day:, 89,107,136,162,199,231,266,304,362,411
7-day:, 102,123,155,182,222,256,293,334,394,445
10-day:, 117,140,174,202,243,277,313,352,408,454
20-day:, 156,186,225,256,299,334,369,406,457,496
30-day:, 192,227,270,303,349,385,421,457,506,544
45-day:, 242,285,333,370,418,454,490,524,568,601
60-day:, 286,336,388,427,478,515,551,585,628,658

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,12,14,16,18,19,21,22,24,25
10-min:, 16,19,22,25,28,31,33,35,38,40
15-min:, 20,24,28,32,36,39,42,44,48,50
30-min:, 27,33,40,46,53,58,64,69,76,81
60-min:, 34,41,51,60,70,79,88,97,109,119
2-hr:, 41,49,61,72,86,98,110,122,140,154
3-hr:, 45,54,67,79,94,107,121,135,154,171
6-hr:, 55,66,83,97,117,134,152,172,199,223
12-hr:, 67,81,101,120,145,169,193,221,261,297
24-hr:, 75,91,117,139,172,201,233,269,325,373
2-day:, 87,105,135,159,196,227,262,300,358,408
3-day:, 92,111,142,168,207,240,276,316,377,428
4-day:, 97,118,150,177,218,252,290,332,395,449
7-day:, 112,135,170,199,242,279,319,363,429,485
10-day:, 127,152,189,220,264,300,339,382,443,493
20-day:, 168,200,241,274,320,357,395,435,490,534
30-day:, 205,243,288,323,372,410,448,487,540,582
45-day:, 257,303,354,393,443,482,519,556,604,640
60-day:, 302,355,410,451,504,544,581,618,664,698

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,11,13,14,16,17,18,19,20
10-min:, 13,16,18,20,23,25,26,28,30,31
15-min:, 16,20,23,26,29,31,33,35,38,39
30-min:, 22,27,33,37,43,47,51,55,60,64
60-min:, 28,34,42,49,57,64,71,77,86,93
2-hr:, 33,39,49,58,68,77,86,96,108,118
3-hr:, 35,42,53,62,74,83,93,103,117,127
6-hr:, 43,52,64,75,90,103,116,129,148,163
12-hr:, 52,63,78,93,112,129,147,165,192,215
24-hr:, 62,75,96,113,140,163,188,216,257,291
2-day:, 72,87,112,132,161,186,213,243,285,320
3-day:, 77,93,118,140,171,197,225,256,301,338
4-day:, 81,98,125,147,180,208,238,270,317,355
7-day:, 94,114,143,167,202,232,264,298,347,387
10-day:, 108,129,161,186,223,252,284,317,363,401
20-day:, 146,174,210,238,278,309,340,372,415,448
30-day:, 180,213,253,284,326,358,390,422,464,496
45-day:, 227,268,313,348,392,425,457,488,527,555
60-day:, 270,318,367,404,451,485,518,549,586,613

Date/time (GMT):  Thu Feb 29 23:17:09 2024
pyRunTime:  0.009842157363891602
