Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 38.30058422 Degree
Longitude: -76.6062928 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,15,17,18,20,21,23,24
10-min:, 15,18,21,24,27,29,31,33,36,38
15-min:, 18,22,27,30,34,36,39,42,45,47
30-min:, 25,31,38,43,50,55,60,65,72,77
60-min:, 32,39,49,56,66,74,83,91,103,112
2-hr:, 38,47,59,69,82,93,104,116,132,145
3-hr:, 42,51,65,75,91,103,116,130,150,166
6-hr:, 51,62,79,92,112,128,146,166,194,218
12-hr:, 61,74,94,111,138,160,186,214,256,293
24-hr:, 70,86,111,133,167,196,229,267,324,374
2-day:, 81,98,127,152,190,223,260,301,364,418
3-day:, 86,104,134,160,199,233,271,313,376,431
4-day:, 91,110,141,168,209,243,282,325,389,444
7-day:, 105,126,160,189,231,267,307,351,416,471
10-day:, 119,143,178,207,250,285,323,364,425,477
20-day:, 159,189,228,260,305,341,379,418,472,515
30-day:, 197,234,279,314,363,401,440,480,534,576
45-day:, 247,292,342,380,430,469,506,543,590,626
60-day:, 295,347,401,442,494,532,568,602,646,677

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,12,15,16,18,20,22,23,25,27
10-min:, 16,20,23,26,29,32,34,37,40,43
15-min:, 20,25,29,33,37,40,44,47,50,53
30-min:, 28,34,42,48,55,61,67,73,80,87
60-min:, 35,43,54,62,73,83,92,102,115,126
2-hr:, 43,52,66,77,92,104,117,130,149,165
3-hr:, 47,57,72,84,101,115,130,147,170,189
6-hr:, 58,70,88,103,125,144,165,187,221,249
12-hr:, 69,84,107,126,155,182,211,243,294,338
24-hr:, 80,97,126,151,188,221,258,300,365,421
2-day:, 91,111,144,172,214,251,292,338,409,471
3-day:, 96,117,151,179,223,260,301,348,419,480
4-day:, 101,122,157,187,231,269,311,358,428,489
7-day:, 115,139,176,207,253,292,335,383,454,514
10-day:, 130,156,194,226,272,310,351,395,462,519
20-day:, 171,203,246,281,328,367,407,449,508,556
30-day:, 211,250,298,336,388,429,471,514,572,618
45-day:, 263,310,364,405,458,499,538,578,630,669
60-day:, 312,367,425,468,523,563,602,639,686,721

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,12,13,15,16,17,18,20,21
10-min:, 13,16,19,21,24,26,28,29,31,33
15-min:, 17,20,24,27,30,33,35,37,39,41
30-min:, 23,28,34,39,45,49,53,57,63,66
60-min:, 29,35,44,51,60,67,74,81,90,97
2-hr:, 35,42,53,62,74,83,92,102,114,125
3-hr:, 37,45,57,67,80,90,101,112,128,139
6-hr:, 46,56,70,82,99,112,127,142,164,181
12-hr:, 54,66,84,98,120,139,159,180,212,238
24-hr:, 63,76,99,118,146,171,198,227,271,309
2-day:, 72,87,113,134,167,194,224,257,306,346
3-day:, 77,93,121,143,177,206,237,272,322,364
4-day:, 82,100,128,152,187,217,250,286,338,382
7-day:, 96,116,147,173,210,242,276,313,366,411
10-day:, 110,132,164,191,229,260,294,329,380,423
20-day:, 148,176,213,242,283,315,348,383,429,465
30-day:, 184,218,260,293,337,372,407,442,489,525
45-day:, 232,274,321,357,403,438,472,505,547,578
60-day:, 278,327,378,416,464,499,532,563,602,629

Date/time (GMT):  Thu Feb 29 23:17:11 2024
pyRunTime:  0.024479389190673828
