Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 38.41790493 Degree
Longitude: -77.45929294 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,14,16,18,19,20,22,23
10-min:, 14,17,21,23,26,28,30,32,35,37
15-min:, 18,22,26,29,33,36,38,41,44,46
30-min:, 25,30,37,42,49,54,59,63,70,75
60-min:, 31,38,47,55,65,73,81,89,100,109
2-hr:, 36,44,56,65,78,88,99,111,127,140
3-hr:, 39,47,60,70,84,96,108,121,139,154
6-hr:, 48,58,73,85,103,119,135,153,178,200
12-hr:, 58,70,88,104,128,148,171,196,234,266
24-hr:, 65,79,101,121,152,178,209,243,295,341
2-day:, 76,92,118,141,175,204,237,274,329,377
3-day:, 80,97,125,148,184,215,249,287,344,393
4-day:, 85,103,132,156,193,225,261,300,359,409
7-day:, 99,119,150,177,217,251,289,330,392,444
10-day:, 113,136,169,197,238,272,308,347,404,452
20-day:, 152,181,219,250,292,327,362,400,451,492
30-day:, 187,221,263,296,342,379,416,454,505,545
45-day:, 235,277,324,360,407,444,479,513,558,591
60-day:, 278,327,378,416,466,502,537,570,612,642

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,12,14,16,18,19,21,23,25,26
10-min:, 16,19,23,25,29,31,33,36,39,41
15-min:, 20,24,29,32,36,39,42,45,49,52
30-min:, 27,33,41,46,54,59,65,70,78,84
60-min:, 34,42,52,61,71,80,89,98,112,122
2-hr:, 40,49,62,72,86,98,110,123,142,157
3-hr:, 44,53,67,79,94,107,121,136,157,174
6-hr:, 54,65,82,96,117,133,152,172,202,226
12-hr:, 66,79,100,118,144,167,193,221,264,301
24-hr:, 73,88,114,135,169,198,231,268,324,374
2-day:, 84,102,131,156,193,225,261,301,362,414
3-day:, 89,108,138,164,203,237,274,315,378,432
4-day:, 94,114,146,173,213,248,287,330,394,449
7-day:, 109,131,165,194,238,274,315,360,427,485
10-day:, 123,148,185,215,259,295,335,378,439,491
20-day:, 164,195,236,269,314,351,390,430,485,530
30-day:, 200,237,281,317,366,405,444,485,541,585
45-day:, 250,295,345,383,433,471,509,546,594,630
60-day:, 295,346,400,441,492,531,568,604,649,681

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,12,13,15,16,17,18,19,20
10-min:, 13,16,19,21,23,25,27,28,30,32
15-min:, 16,20,23,26,29,32,34,36,38,40
30-min:, 22,27,33,38,43,48,52,56,61,65
60-min:, 28,34,43,49,58,65,71,78,87,95
2-hr:, 32,39,50,58,69,78,87,96,109,119
3-hr:, 35,42,53,62,74,84,94,104,119,130
6-hr:, 43,52,65,76,91,104,117,131,151,167
12-hr:, 51,62,78,92,112,129,147,166,194,218
24-hr:, 59,71,92,110,136,159,184,212,254,290
2-day:, 69,83,107,127,157,182,210,240,284,321
3-day:, 73,89,113,134,165,192,221,252,298,337
4-day:, 77,94,120,142,174,202,231,264,312,352
7-day:, 90,109,137,161,197,226,258,293,343,385
10-day:, 104,125,155,181,217,247,278,311,359,397
20-day:, 141,168,203,231,270,300,332,364,407,441
30-day:, 174,206,245,276,318,351,384,418,462,496
45-day:, 220,260,304,337,381,414,446,477,516,545
60-day:, 263,309,357,393,439,472,504,534,571,597

Date/time (GMT):  Thu Feb 29 23:17:13 2024
pyRunTime:  0.05264019966125488
