Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 38.1637841 Degree
Longitude: -79.06112587 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,9,10,12,14,15,16,17,18,19
10-min:, 12,14,17,19,22,24,25,27,29,31
15-min:, 15,17,21,24,27,30,32,34,37,38
30-min:, 20,24,30,35,40,45,49,53,58,62
60-min:, 25,30,39,45,54,61,67,74,83,91
2-hr:, 30,36,46,54,64,73,82,91,103,112
3-hr:, 32,38,49,57,68,78,87,97,110,121
6-hr:, 40,48,60,70,84,96,109,122,141,156
12-hr:, 49,59,73,86,105,121,139,158,185,209
24-hr:, 60,73,92,108,131,150,170,192,223,249
2-day:, 70,84,106,124,149,170,192,215,247,274
3-day:, 75,90,113,132,159,180,203,227,261,288
4-day:, 79,96,120,140,168,191,215,240,275,303
7-day:, 91,110,136,157,186,210,234,259,293,320
10-day:, 105,126,154,175,204,227,250,273,304,328
20-day:, 140,167,200,226,261,288,315,342,378,404
30-day:, 174,205,241,268,304,331,356,381,413,436
45-day:, 218,257,297,327,366,394,420,445,476,498
60-day:, 261,306,349,381,420,449,475,499,527,547

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,12,13,15,16,18,19,21,22
10-min:, 13,16,19,21,24,26,28,30,33,34
15-min:, 16,19,24,27,30,33,36,38,41,43
30-min:, 22,27,34,39,45,50,54,59,65,70
60-min:, 28,34,43,50,60,67,75,83,93,102
2-hr:, 33,40,51,60,71,81,91,101,115,126
3-hr:, 36,43,54,64,76,86,97,109,124,137
6-hr:, 45,53,67,78,94,107,121,137,159,177
12-hr:, 56,67,83,98,118,137,157,179,212,241
24-hr:, 66,80,100,117,142,163,185,209,243,272
2-day:, 76,92,116,135,162,185,208,234,270,299
3-day:, 81,98,123,143,172,196,221,247,284,314
4-day:, 86,104,130,152,182,207,233,260,298,328
7-day:, 98,118,147,170,201,227,253,280,317,346
10-day:, 113,135,165,188,219,244,269,294,327,353
20-day:, 150,178,213,241,278,307,336,365,404,434
30-day:, 184,217,255,283,321,350,377,404,439,465
45-day:, 230,271,313,345,385,415,443,470,503,527
60-day:, 274,321,366,399,441,471,499,525,555,576

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,8,9,11,12,13,14,15,16,17
10-min:, 10,13,15,17,19,21,22,24,25,26
15-min:, 13,16,19,21,24,26,28,30,31,33
30-min:, 18,22,27,31,36,40,43,46,50,53
60-min:, 22,27,35,41,48,54,59,65,72,77
2-hr:, 27,32,41,48,57,65,72,79,88,95
3-hr:, 29,35,44,51,61,69,77,85,95,102
6-hr:, 36,43,54,63,75,85,95,106,119,130
12-hr:, 44,53,66,77,93,106,119,134,153,169
24-hr:, 55,67,84,98,119,135,152,170,195,215
2-day:, 64,78,98,114,136,154,172,192,218,239
3-day:, 69,83,104,121,145,164,183,204,232,253
4-day:, 73,88,111,129,154,174,195,216,245,268
7-day:, 85,102,126,145,172,192,213,235,264,285
10-day:, 98,117,143,163,189,210,230,250,276,296
20-day:, 132,157,188,212,244,268,292,316,346,369
30-day:, 165,194,228,253,286,311,334,356,384,404
45-day:, 207,244,282,310,346,372,396,418,446,464
60-day:, 249,291,332,362,399,426,450,472,498,515

Date/time (GMT):  Thu Feb 29 23:17:15 2024
pyRunTime:  0.018546104431152344
