Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 10 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Northeastern States
Location name (ESRI Maps): None
Station Name: None
Latitude: 42.2689144 Degree
Longitude: -77.3829924 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,9,11,13,15,17,19,22,25,27
10-min:, 10,12,16,18,22,25,28,31,35,39
15-min:, 12,14,18,21,26,29,32,36,41,45
30-min:, 17,20,25,30,36,40,45,50,58,63
60-min:, 22,26,33,38,46,52,58,64,74,81
2-hr:, 26,31,40,47,57,65,72,81,94,104
3-hr:, 29,35,45,53,64,73,82,92,107,119
6-hr:, 35,42,54,64,78,88,98,111,131,149
12-hr:, 43,52,66,77,93,104,117,133,159,182
24-hr:, 51,61,78,92,111,124,140,159,191,219
2-day:, 57,70,91,108,131,149,168,191,228,259
3-day:, 63,76,99,118,144,163,184,209,249,283
4-day:, 67,82,106,125,153,173,194,221,263,299
7-day:, 81,96,122,142,171,192,215,243,287,324
10-day:, 94,110,136,157,187,208,232,260,303,339
20-day:, 134,151,179,202,234,258,283,310,347,376
30-day:, 168,186,216,241,275,301,327,353,386,411
45-day:, 210,230,263,290,327,356,384,410,441,462
60-day:, 246,267,303,332,372,404,433,460,491,510

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,14,17,21,24,28,32,38,42
10-min:, 13,16,20,24,30,34,39,45,53,60
15-min:, 16,19,23,28,35,40,46,53,63,70
30-min:, 22,26,33,39,48,56,64,74,87,98
60-min:, 28,33,42,49,62,71,82,94,112,126
2-hr:, 33,40,51,61,77,89,103,118,141,160
3-hr:, 37,44,57,68,86,99,116,133,160,182
6-hr:, 44,53,69,81,103,119,139,160,195,224
12-hr:, 54,65,82,97,123,141,166,189,234,272
24-hr:, 63,76,97,115,145,168,197,225,278,324
2-day:, 71,86,112,134,171,198,233,267,328,380
3-day:, 77,94,122,146,187,216,254,291,357,413
4-day:, 83,100,130,155,197,228,267,306,375,434
7-day:, 99,118,149,175,219,252,293,334,406,467
10-day:, 114,134,165,192,238,271,313,355,426,486
20-day:, 162,183,217,246,294,330,373,418,483,534
30-day:, 202,224,260,291,342,381,425,473,534,580
45-day:, 251,275,315,349,405,447,494,546,606,648
60-day:, 293,319,362,398,458,504,554,610,671,713

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 6,7,8,10,11,13,14,15,16,17
10-min:, 8,9,12,14,16,18,19,21,23,24
15-min:, 9,11,14,16,19,21,23,24,27,29
30-min:, 13,16,20,23,27,29,32,34,37,40
60-min:, 17,20,25,29,34,38,41,43,48,51
2-hr:, 20,24,31,36,43,47,51,55,61,66
3-hr:, 22,27,35,41,48,53,58,62,70,76
6-hr:, 28,33,42,50,58,65,71,75,86,95
12-hr:, 34,41,51,60,70,78,85,90,104,116
24-hr:, 40,48,61,72,84,93,103,109,125,141
2-day:, 46,56,72,85,100,112,123,131,150,167
3-day:, 50,61,79,93,110,123,135,144,164,183
4-day:, 54,65,84,99,117,130,143,152,174,193
7-day:, 65,77,97,113,132,145,159,168,190,210
10-day:, 76,89,109,125,144,158,171,180,201,220
20-day:, 109,123,145,162,181,195,207,215,232,245
30-day:, 137,151,175,194,213,228,238,246,259,268
45-day:, 172,188,213,234,254,270,279,287,296,302
60-day:, 201,218,246,268,289,306,315,323,330,334

Date/time (GMT):  Thu Feb 29 23:17:17 2024
pyRunTime:  0.025550365447998047
