Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 41.44634738 Degree
Longitude: -76.51246591 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,12,13,14,15,15,16,17,17
10-min:, 13,16,18,20,21,22,23,24,25,25
15-min:, 16,19,22,24,26,28,29,30,31,32
30-min:, 21,26,30,33,37,39,42,43,46,48
60-min:, 26,31,38,42,48,52,55,59,63,67
2-hr:, 30,36,44,50,58,64,71,78,87,94
3-hr:, 32,39,48,54,64,71,79,87,99,109
6-hr:, 40,48,59,67,79,88,98,108,122,134
12-hr:, 50,60,73,83,98,110,123,137,157,174
24-hr:, 60,72,88,101,120,136,153,172,200,223
2-day:, 71,85,103,119,141,160,180,202,235,263
3-day:, 75,89,109,125,147,166,187,209,242,270
4-day:, 79,94,114,130,154,173,194,216,249,277
7-day:, 94,112,132,149,173,192,213,234,265,291
10-day:, 108,127,150,169,195,216,237,260,293,320
20-day:, 147,172,199,221,251,274,299,324,358,386
30-day:, 182,213,243,267,300,325,350,376,411,438
45-day:, 230,268,303,330,365,392,419,445,479,505
60-day:, 278,323,362,393,433,463,493,521,559,588

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,14,15,16,17,18,19,19
10-min:, 14,17,20,21,23,24,26,26,28,28
15-min:, 18,21,24,26,29,30,32,33,34,35
30-min:, 23,28,33,37,41,43,46,48,51,53
60-min:, 29,35,42,47,53,57,61,65,70,74
2-hr:, 33,40,49,55,64,71,78,86,96,105
3-hr:, 36,44,53,61,71,80,88,98,112,123
6-hr:, 46,55,67,76,89,99,110,122,139,153
12-hr:, 56,67,82,93,110,124,138,154,177,197
24-hr:, 66,79,96,111,131,148,166,186,216,240
2-day:, 78,93,114,131,155,175,198,222,258,288
3-day:, 82,98,120,137,162,182,204,229,264,295
4-day:, 87,104,125,143,168,189,211,236,271,302
7-day:, 102,121,144,162,188,209,231,254,288,316
10-day:, 117,138,163,183,210,233,256,281,317,346
20-day:, 156,184,212,235,267,292,318,345,382,413
30-day:, 194,227,259,284,318,345,372,400,437,466
45-day:, 243,284,320,349,386,415,442,470,507,535
60-day:, 293,340,382,414,456,488,519,549,590,620

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,9,10,11,12,13,14,14,15,15
10-min:, 12,14,16,18,19,20,21,21,22,22
15-min:, 15,17,20,22,24,25,26,26,27,28
30-min:, 19,23,27,30,33,35,37,39,40,42
60-min:, 23,29,34,38,43,47,50,52,56,59
2-hr:, 27,33,40,45,52,57,63,68,75,81
3-hr:, 29,35,43,49,57,63,69,76,85,92
6-hr:, 36,43,53,60,69,77,85,93,104,112
12-hr:, 45,54,65,75,87,97,108,118,133,145
24-hr:, 55,66,81,93,110,124,139,155,177,196
2-day:, 65,77,94,108,128,144,162,180,207,230
3-day:, 69,82,100,114,134,151,169,188,215,237
4-day:, 73,87,105,120,141,157,176,195,222,245
7-day:, 87,103,123,138,160,177,194,213,239,261
10-day:, 100,119,140,157,180,199,218,238,266,289
20-day:, 138,162,187,207,234,256,278,300,330,354
30-day:, 172,201,229,252,282,305,328,351,382,405
45-day:, 218,254,287,312,345,370,394,418,449,472
60-day:, 264,307,344,374,411,439,466,492,526,552

Date/time (GMT):  Thu Feb 29 23:17:24 2024
pyRunTime:  0.0380558967590332
