Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 37.11782639 Degree
Longitude: -76.88446978 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,12,14,16,18,20,21,23,24,26
10-min:, 16,19,22,25,28,31,34,36,39,41
15-min:, 21,24,28,32,36,39,42,45,49,52
30-min:, 28,34,40,47,53,59,65,70,77,83
60-min:, 35,42,52,61,71,80,89,99,111,122
2-hr:, 42,50,62,74,89,102,115,129,148,165
3-hr:, 45,54,67,80,97,112,127,144,167,188
6-hr:, 54,64,80,96,117,136,155,177,208,235
12-hr:, 63,76,95,115,141,165,191,219,260,298
24-hr:, 74,90,116,138,170,198,229,263,314,358
2-day:, 85,103,133,158,195,227,262,302,360,410
3-day:, 90,110,140,166,203,236,271,310,368,418
4-day:, 95,116,147,174,212,244,279,318,375,426
7-day:, 111,134,169,197,238,272,309,349,406,453
10-day:, 127,153,189,219,262,297,334,374,431,477
20-day:, 172,205,249,284,334,373,415,458,518,566
30-day:, 213,253,303,342,395,436,479,522,580,625
45-day:, 266,314,372,417,480,529,578,629,697,750
60-day:, 317,374,437,486,552,602,652,701,767,816

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 11,14,16,18,20,22,23,25,27,29
10-min:, 18,22,25,28,32,35,37,40,43,46
15-min:, 23,27,32,36,40,44,47,50,54,57
30-min:, 31,38,45,52,59,66,72,78,86,93
60-min:, 39,47,58,67,79,89,99,110,124,136
2-hr:, 46,56,69,82,98,113,127,143,164,183
3-hr:, 50,60,75,89,108,124,141,160,186,210
6-hr:, 61,73,90,108,131,152,174,197,232,263
12-hr:, 73,87,109,131,160,187,216,247,294,336
24-hr:, 82,99,128,152,188,219,253,290,347,395
2-day:, 95,115,147,175,216,251,290,335,400,458
3-day:, 100,121,155,183,224,260,299,342,407,465
4-day:, 105,128,162,191,233,268,307,349,414,472
7-day:, 122,147,184,215,260,297,338,382,446,500
10-day:, 139,166,206,238,284,323,364,408,471,524
20-day:, 186,221,268,306,359,402,448,495,561,616
30-day:, 228,271,324,366,422,467,513,560,624,675
45-day:, 283,334,396,444,510,563,616,671,747,807
60-day:, 336,397,464,516,585,639,692,746,818,874

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,14,16,17,19,20,21,23
10-min:, 15,18,20,23,25,28,30,32,34,36
15-min:, 19,22,26,29,32,35,38,40,43,45
30-min:, 25,30,36,42,48,53,57,62,68,72
60-min:, 32,38,47,54,64,72,79,87,97,106
2-hr:, 37,45,56,66,79,90,101,113,128,142
3-hr:, 40,48,60,71,86,98,111,125,144,161
6-hr:, 48,58,72,85,103,119,135,153,177,198
12-hr:, 56,68,84,101,123,143,164,186,218,246
24-hr:, 67,82,106,125,154,178,204,232,272,306
2-day:, 78,94,121,143,176,203,232,264,311,349
3-day:, 83,100,128,151,184,211,241,273,319,358
4-day:, 87,106,135,158,192,220,249,281,327,367
7-day:, 102,123,155,180,217,246,277,311,357,394
10-day:, 118,141,175,202,240,271,303,336,383,420
20-day:, 161,191,232,264,308,344,380,416,466,505
30-day:, 200,237,283,319,368,406,443,480,530,567
45-day:, 250,296,349,391,449,492,536,580,638,681
60-day:, 299,353,413,459,519,564,609,652,708,749

Date/time (GMT):  Thu Feb 29 23:17:28 2024
pyRunTime:  0.009740352630615234
