Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 41.82139813 Degree
Longitude: -75.8008126 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,9,11,12,13,14,15,17,18,19
10-min:, 12,14,16,18,20,22,23,25,26,28
15-min:, 14,17,20,22,25,27,29,31,33,35
30-min:, 19,23,28,31,35,39,42,45,49,52
60-min:, 23,28,35,39,46,51,56,61,68,73
2-hr:, 27,33,41,47,55,62,70,78,89,98
3-hr:, 29,35,44,50,60,68,76,85,99,110
6-hr:, 37,44,55,63,74,84,94,106,122,136
12-hr:, 46,55,68,78,93,106,119,134,157,176
24-hr:, 56,67,83,95,113,128,145,163,189,211
2-day:, 66,79,96,111,132,150,169,190,222,248
3-day:, 70,84,102,117,138,156,176,197,229,256
4-day:, 74,88,107,122,144,163,183,204,236,263
7-day:, 89,105,125,141,164,183,202,224,255,281
10-day:, 102,121,143,161,186,206,227,250,283,310
20-day:, 140,164,190,211,240,263,287,311,346,374
30-day:, 174,204,233,256,287,312,337,362,397,425
45-day:, 223,260,294,320,355,381,407,434,468,495
60-day:, 271,315,353,383,422,452,482,511,549,578

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,12,13,15,16,17,18,20,21
10-min:, 13,15,18,20,22,24,26,27,29,31
15-min:, 16,19,22,25,28,30,32,34,36,38
30-min:, 21,25,30,34,39,42,46,49,54,57
60-min:, 26,31,38,44,50,56,61,67,74,80
2-hr:, 30,36,45,51,61,68,76,85,98,108
3-hr:, 32,39,48,55,66,74,84,94,108,121
6-hr:, 41,49,60,69,81,92,103,115,133,149
12-hr:, 51,61,74,85,102,115,130,147,171,193
24-hr:, 61,73,89,103,122,138,155,174,202,226
2-day:, 71,85,104,119,142,161,181,204,237,266
3-day:, 75,90,109,125,148,167,188,211,245,273
4-day:, 80,95,115,131,154,174,195,218,252,281
7-day:, 95,112,134,151,175,195,216,238,272,299
10-day:, 109,129,152,171,197,219,241,265,300,329
20-day:, 148,174,201,223,253,277,302,329,366,396
30-day:, 184,215,245,269,302,328,355,382,419,448
45-day:, 235,273,308,336,373,401,428,456,493,521
60-day:, 283,330,369,401,442,474,504,535,575,607

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,8,10,11,12,13,14,15,16,17
10-min:, 11,13,15,16,18,19,21,22,23,24
15-min:, 13,15,18,20,22,24,26,27,29,30
30-min:, 17,21,25,28,32,34,37,40,43,45
60-min:, 21,25,31,36,41,45,50,54,59,64
2-hr:, 25,30,37,42,50,56,62,69,78,85
3-hr:, 27,32,40,46,54,61,68,76,86,95
6-hr:, 34,41,50,57,67,76,84,93,106,117
12-hr:, 43,51,62,71,85,95,107,119,136,150
24-hr:, 52,63,77,88,104,118,132,147,169,187
2-day:, 62,74,90,103,122,138,154,172,198,220
3-day:, 65,78,95,109,128,144,161,180,206,228
4-day:, 69,83,100,114,134,151,168,187,214,236
7-day:, 83,99,117,132,153,170,188,206,233,255
10-day:, 97,114,134,151,174,192,211,231,260,282
20-day:, 132,155,180,199,226,247,269,291,322,346
30-day:, 166,194,221,243,272,295,318,341,372,396
45-day:, 213,248,280,305,337,362,386,410,441,465
60-day:, 259,301,337,366,403,431,458,484,519,545

Date/time (GMT):  Thu Feb 29 23:17:30 2024
pyRunTime:  0.06564116477966309
