Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 41.13891592 Degree
Longitude: -74.69118243 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,12,13,15,17,19,21,24,26
10-min:, 13,15,18,21,24,26,29,31,35,38
15-min:, 16,19,23,26,30,33,36,39,44,48
30-min:, 21,26,32,36,42,47,53,58,66,73
60-min:, 26,32,40,46,55,63,71,80,93,104
2-hr:, 32,38,49,57,69,79,90,103,121,138
3-hr:, 35,43,54,62,75,86,98,111,132,149
6-hr:, 46,55,68,80,96,111,127,146,174,199
12-hr:, 57,69,86,101,123,143,166,191,231,267
24-hr:, 67,80,100,117,142,165,190,218,262,301
2-day:, 79,95,118,137,166,192,220,252,301,343
3-day:, 82,99,123,143,173,199,228,261,310,354
4-day:, 86,104,128,149,180,207,237,270,320,364
7-day:, 102,122,149,173,207,237,270,307,363,411
10-day:, 118,140,170,194,230,260,293,329,382,427
20-day:, 158,187,221,249,288,320,355,391,443,486
30-day:, 198,233,270,300,341,374,408,444,494,534
45-day:, 252,295,337,370,414,449,484,520,568,606
60-day:, 303,354,402,439,488,526,564,603,654,694

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,15,17,19,21,23,27,29
10-min:, 14,17,21,23,27,29,32,35,40,43
15-min:, 18,21,26,29,33,37,40,44,50,54
30-min:, 24,29,35,40,47,53,59,65,75,83
60-min:, 29,35,45,52,62,70,79,89,104,118
2-hr:, 35,43,54,63,76,87,99,114,135,154
3-hr:, 39,47,59,69,83,95,109,124,147,168
6-hr:, 51,61,75,88,106,122,140,161,193,221
12-hr:, 64,77,96,112,137,158,183,212,257,298
24-hr:, 73,87,108,126,154,177,204,234,281,322
2-day:, 85,102,127,148,179,206,235,270,321,366
3-day:, 89,107,132,154,186,213,244,278,331,377
4-day:, 93,111,138,160,193,221,252,287,341,387
7-day:, 109,131,160,185,222,253,288,327,386,437
10-day:, 126,150,181,207,245,277,311,349,406,454
20-day:, 168,198,234,264,305,339,375,414,470,516
30-day:, 209,246,285,316,360,395,431,469,522,565
45-day:, 266,312,356,390,437,474,510,548,600,640
60-day:, 320,373,423,462,514,554,594,634,689,732

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,9,11,12,14,15,16,18,20,22
10-min:, 12,14,17,19,21,23,25,27,30,32
15-min:, 14,17,20,23,26,29,31,34,38,40
30-min:, 19,23,28,32,37,42,46,50,56,61
60-min:, 23,28,36,41,49,55,62,69,79,87
2-hr:, 28,35,44,51,61,69,79,89,104,116
3-hr:, 32,39,48,56,67,76,86,97,113,126
6-hr:, 42,50,62,72,87,99,112,127,149,168
12-hr:, 52,62,78,91,110,126,144,165,195,221
24-hr:, 62,75,93,108,131,150,172,196,232,263
2-day:, 73,88,109,127,153,176,200,227,268,303
3-day:, 77,92,115,133,160,183,208,236,277,313
4-day:, 81,97,120,139,167,190,216,245,287,323
7-day:, 95,114,140,161,192,219,247,279,326,366
10-day:, 110,132,159,182,214,241,270,302,347,384
20-day:, 149,176,208,234,270,299,330,362,407,444
30-day:, 187,220,255,283,321,351,382,414,458,493
45-day:, 239,280,320,351,392,425,457,489,532,565
60-day:, 288,336,381,416,462,498,533,568,614,650

Date/time (GMT):  Thu Feb 29 23:17:34 2024
pyRunTime:  0.01927924156188965
