Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 36.92434826 Degree
Longitude: -77.25788472 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,12,14,16,18,19,21,22,24,25
10-min:, 16,19,22,25,28,31,33,35,38,40
15-min:, 20,24,28,32,36,39,41,44,47,50
30-min:, 28,33,40,46,53,58,64,69,75,81
60-min:, 35,42,51,60,70,79,87,96,108,118
2-hr:, 41,49,61,73,87,99,112,125,143,159
3-hr:, 44,53,66,78,94,108,123,138,160,180
6-hr:, 53,63,79,94,114,132,151,171,200,226
12-hr:, 62,75,94,112,138,161,185,212,251,286
24-hr:, 72,88,113,134,165,191,219,249,294,331
2-day:, 84,101,130,153,187,215,246,279,327,368
3-day:, 89,108,137,161,196,225,256,290,338,379
4-day:, 94,114,145,170,206,235,266,300,349,390
7-day:, 110,133,166,193,231,262,295,330,380,420
10-day:, 126,151,187,215,254,286,319,354,403,442
20-day:, 171,204,247,282,329,366,405,445,499,543
30-day:, 212,252,300,337,387,425,464,503,556,596
45-day:, 265,313,368,411,468,512,556,600,659,705
60-day:, 316,372,434,480,542,588,634,679,739,783

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 11,13,16,17,20,21,23,25,26,28
10-min:, 18,21,25,28,31,34,36,39,42,44
15-min:, 23,27,31,35,40,43,46,49,53,56
30-min:, 31,37,45,51,59,65,71,76,84,90
60-min:, 39,47,57,67,78,88,97,107,120,132
2-hr:, 46,55,69,81,97,111,124,139,160,178
3-hr:, 50,60,74,88,106,121,138,155,180,201
6-hr:, 60,72,89,106,128,148,169,191,224,252
12-hr:, 71,85,106,127,155,180,207,236,280,319
24-hr:, 80,97,125,148,181,210,241,274,323,365
2-day:, 92,112,142,168,205,236,270,307,361,406
3-day:, 98,118,150,176,214,246,280,317,372,418
4-day:, 103,125,158,185,224,256,290,328,382,429
7-day:, 120,144,181,210,251,285,321,360,415,461
10-day:, 137,164,202,232,275,309,346,384,438,482
20-day:, 184,220,266,303,353,394,436,479,540,589
30-day:, 227,269,321,360,413,455,497,539,598,643
45-day:, 281,332,391,437,497,545,592,640,706,757
60-day:, 335,394,459,508,574,623,672,721,787,836

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,12,14,16,17,18,19,21,22
10-min:, 15,17,20,22,25,27,29,31,33,34
15-min:, 18,22,25,28,32,34,37,39,41,43
30-min:, 25,30,36,41,47,52,56,60,66,70
60-min:, 31,38,46,53,62,70,77,85,94,102
2-hr:, 37,44,55,65,77,87,98,109,124,136
3-hr:, 39,47,59,69,83,95,107,120,137,152
6-hr:, 47,56,70,83,100,115,130,147,169,189
12-hr:, 55,67,83,99,121,140,160,181,211,237
24-hr:, 66,80,103,122,149,171,195,220,256,286
2-day:, 77,93,119,140,170,195,220,248,287,319
3-day:, 82,99,126,148,179,204,231,259,299,331
4-day:, 87,106,134,156,188,214,241,269,310,343
7-day:, 102,123,153,178,212,239,268,298,339,372
10-day:, 117,141,173,199,235,263,292,321,362,394
20-day:, 159,190,230,262,304,337,371,405,452,488
30-day:, 199,236,280,315,360,395,430,464,509,543
45-day:, 249,294,346,385,438,478,517,556,607,645
60-day:, 298,352,409,453,509,552,593,633,685,723

Date/time (GMT):  Thu Feb 29 23:17:36 2024
pyRunTime:  0.009186029434204102
