Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 38.76618159 Degree
Longitude: -76.10882561 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,14,16,18,19,20,22,23
10-min:, 14,17,21,23,26,28,30,32,35,37
15-min:, 18,22,26,29,33,35,38,40,44,46
30-min:, 25,30,37,42,48,53,58,63,69,74
60-min:, 31,37,47,55,64,72,80,88,100,108
2-hr:, 37,45,57,66,79,89,100,111,127,140
3-hr:, 40,49,62,72,87,99,112,126,145,161
6-hr:, 50,61,77,90,109,125,143,162,191,215
12-hr:, 60,73,93,110,136,158,184,212,255,293
24-hr:, 70,85,110,132,166,196,229,266,323,373
2-day:, 80,98,127,152,190,223,261,302,366,421
3-day:, 85,103,134,160,198,232,270,312,375,430
4-day:, 90,109,140,167,207,241,279,322,385,439
7-day:, 104,126,159,187,229,265,305,348,412,467
10-day:, 118,142,176,205,247,282,319,359,419,472
20-day:, 157,187,227,259,303,339,376,415,469,511
30-day:, 195,232,276,311,360,398,436,475,529,570
45-day:, 245,290,340,378,428,466,503,539,586,621
60-day:, 294,346,400,440,492,530,566,600,643,674

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,12,14,16,18,19,21,23,25,26
10-min:, 16,19,23,25,29,31,33,36,39,41
15-min:, 20,24,29,32,36,39,42,45,49,52
30-min:, 27,33,41,46,54,59,65,70,78,84
60-min:, 34,41,52,60,71,80,89,99,112,123
2-hr:, 41,50,63,73,87,99,111,124,143,158
3-hr:, 44,54,69,80,96,109,124,139,162,181
6-hr:, 55,67,85,99,120,139,159,181,215,244
12-hr:, 68,82,104,123,152,178,207,240,291,336
24-hr:, 77,94,122,147,183,215,250,291,353,407
2-day:, 89,108,141,168,209,245,285,331,400,460
3-day:, 94,114,148,176,218,255,296,342,411,471
4-day:, 99,120,155,184,227,265,306,352,422,482
7-day:, 114,137,174,204,250,289,331,378,448,507
10-day:, 127,153,191,222,267,304,344,388,452,511
20-day:, 169,201,243,277,325,363,403,445,503,550
30-day:, 209,247,295,332,383,423,465,506,564,609
45-day:, 260,307,360,400,452,493,532,571,621,659
60-day:, 309,364,421,464,518,558,597,633,680,714

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,12,13,15,16,17,18,19,20
10-min:, 13,16,19,21,23,25,27,28,30,32
15-min:, 16,20,23,26,29,32,34,36,38,40
30-min:, 22,27,33,38,43,48,52,56,61,64
60-min:, 28,34,43,49,58,65,71,78,87,94
2-hr:, 33,41,51,60,71,80,89,98,110,120
3-hr:, 36,44,56,65,78,88,99,110,125,137
6-hr:, 45,55,69,81,97,111,125,141,162,180
12-hr:, 54,66,83,98,120,138,158,180,212,238
24-hr:, 64,77,100,120,149,174,202,233,279,318
2-day:, 73,89,115,137,171,199,231,265,316,360
3-day:, 78,94,122,145,179,208,240,275,327,370
4-day:, 82,100,128,152,187,217,250,285,338,381
7-day:, 96,116,146,172,209,241,275,311,364,407
10-day:, 109,131,163,190,227,258,291,325,375,420
20-day:, 147,175,212,241,281,314,347,381,427,463
30-day:, 183,217,258,291,335,370,404,439,485,521
45-day:, 232,274,321,357,403,438,472,505,546,577
60-day:, 278,327,378,416,465,500,533,564,603,630

Date/time (GMT):  Thu Feb 29 23:17:38 2024
pyRunTime:  0.10118246078491211
