Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 37.12020918 Degree
Longitude: -81.56290841 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,8,10,11,13,15,16,18,20,21
10-min:, 11,14,16,18,21,23,26,28,31,34
15-min:, 14,17,20,23,27,29,32,35,39,42
30-min:, 20,23,29,33,39,44,50,55,62,69
60-min:, 25,29,37,43,53,60,68,77,90,100
2-hr:, 28,34,42,50,61,71,82,93,111,126
3-hr:, 30,36,45,53,65,75,86,99,117,133
6-hr:, 36,43,54,63,76,87,99,112,131,147
12-hr:, 44,52,63,73,86,97,109,121,138,152
24-hr:, 54,64,77,87,101,113,125,137,154,166
2-day:, 65,77,91,103,119,132,144,157,174,187
3-day:, 70,83,98,110,127,139,152,165,182,194
4-day:, 75,89,105,118,135,147,160,173,189,201
7-day:, 89,105,124,137,155,168,180,193,209,221
10-day:, 104,122,142,157,176,190,204,217,233,247
20-day:, 144,169,194,213,237,254,271,287,307,321
30-day:, 179,209,237,258,283,302,320,336,355,369
45-day:, 227,265,297,322,352,373,393,412,434,449
60-day:, 275,320,357,383,415,438,458,476,497,511

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,11,13,15,17,19,20,23,25
10-min:, 13,15,18,21,24,27,29,32,37,40
15-min:, 16,19,23,26,30,34,37,41,46,50
30-min:, 22,27,33,38,45,51,57,64,73,81
60-min:, 28,33,42,49,60,69,78,89,105,119
2-hr:, 32,38,48,56,69,81,93,108,131,150
3-hr:, 34,41,51,60,73,85,99,114,138,160
6-hr:, 41,49,60,70,85,98,112,128,153,174
12-hr:, 49,58,70,81,96,109,122,137,158,176
24-hr:, 57,68,82,93,108,121,133,147,165,179
2-day:, 69,82,98,110,128,141,155,169,189,204
3-day:, 75,88,105,118,135,149,163,177,196,210
4-day:, 80,94,112,125,143,157,171,185,203,217
7-day:, 95,112,131,145,164,178,192,205,224,237
10-day:, 109,129,150,165,186,201,216,231,249,264
20-day:, 152,178,204,224,250,269,287,305,327,343
30-day:, 189,220,249,271,299,319,338,355,378,393
45-day:, 238,277,312,337,369,392,414,434,459,476
60-day:, 288,335,373,401,435,459,480,500,523,539

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 6,8,9,10,12,13,14,15,16,17
10-min:, 10,12,14,16,18,20,22,23,25,27
15-min:, 13,15,18,20,23,25,27,29,32,34
30-min:, 18,21,26,29,34,38,42,46,51,55
60-min:, 22,26,33,38,46,52,58,64,73,80
2-hr:, 25,30,38,44,53,61,69,78,90,100
3-hr:, 27,32,40,47,57,65,73,83,95,106
6-hr:, 33,39,49,56,67,76,86,95,109,119
12-hr:, 40,47,58,66,77,86,96,105,118,128
24-hr:, 50,60,72,81,94,105,115,125,139,149
2-day:, 61,72,86,96,111,122,133,144,158,169
3-day:, 66,78,92,104,118,130,141,152,166,176
4-day:, 71,84,99,111,126,138,149,160,173,183
7-day:, 84,99,116,129,145,157,168,179,192,202
10-day:, 98,116,134,148,166,179,191,203,217,228
20-day:, 136,160,183,201,224,240,255,269,286,297
30-day:, 170,199,225,245,269,286,302,316,333,345
45-day:, 217,252,284,307,335,355,373,389,409,421
60-day:, 263,305,340,365,396,417,435,451,470,483

Date/time (GMT):  Thu Feb 29 23:17:43 2024
pyRunTime:  0.0076961517333984375
