Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 10 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Northeastern States
Location name (ESRI Maps): None
Station Name: None
Latitude: 42.16852837 Degree
Longitude: -76.30835812 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,9,12,14,17,19,22,25,29,32
10-min:, 11,13,17,20,24,27,31,35,40,45
15-min:, 13,15,20,24,29,32,36,41,48,53
30-min:, 17,21,26,31,38,43,48,54,63,70
60-min:, 21,26,33,39,47,53,60,68,79,88
2-hr:, 26,31,39,46,55,62,69,79,94,108
3-hr:, 30,35,44,51,61,68,76,87,106,123
6-hr:, 36,43,54,63,75,84,94,108,133,155
12-hr:, 44,53,67,79,96,108,122,140,170,197
24-hr:, 51,63,81,97,118,134,151,173,208,239
2-day:, 59,72,94,112,137,155,175,200,240,274
3-day:, 65,79,102,121,148,167,189,216,259,296
4-day:, 70,85,109,129,157,177,199,227,272,311
7-day:, 85,100,126,147,176,198,221,251,297,337
10-day:, 99,115,142,164,194,216,240,270,315,353
20-day:, 144,162,190,214,247,272,298,326,366,397
30-day:, 181,200,232,258,294,322,349,377,414,442
45-day:, 228,249,285,314,355,386,417,446,483,509
60-day:, 266,290,330,362,407,442,476,508,547,575

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,12,15,18,23,27,32,37,44,50
10-min:, 14,17,22,26,33,38,45,52,63,71
15-min:, 16,20,26,31,39,45,53,61,74,84
30-min:, 22,27,34,41,52,60,70,81,98,111
60-min:, 27,33,43,51,65,75,88,101,121,139
2-hr:, 34,40,50,59,75,87,102,117,145,170
3-hr:, 38,45,56,66,83,96,113,129,163,193
6-hr:, 46,55,69,80,102,118,140,160,204,243
12-hr:, 55,66,85,101,130,151,179,206,260,307
24-hr:, 64,78,102,123,159,185,220,254,317,372
2-day:, 73,90,117,141,182,213,252,292,364,426
3-day:, 80,98,127,152,197,229,272,314,392,459
4-day:, 87,105,135,161,208,242,286,331,412,482
7-day:, 104,124,156,183,233,269,316,363,448,520
10-day:, 122,142,175,203,254,291,340,390,474,544
20-day:, 175,197,233,264,320,361,413,468,548,611
30-day:, 220,243,283,317,378,423,478,539,618,678
45-day:, 275,301,346,384,453,505,566,636,719,780
60-day:, 321,350,399,442,518,577,644,722,813,878

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 6,7,9,11,13,14,15,16,18,20
10-min:, 8,10,13,15,18,20,22,23,26,29
15-min:, 10,12,15,18,21,24,26,27,31,34
30-min:, 13,16,20,24,28,31,34,36,41,45
60-min:, 16,20,25,30,35,39,43,45,51,55
2-hr:, 21,24,30,35,41,46,50,53,61,69
3-hr:, 23,27,34,39,46,51,56,59,69,78
6-hr:, 29,34,42,49,57,63,69,73,86,99
12-hr:, 35,42,53,62,73,81,90,95,111,126
24-hr:, 41,50,64,76,91,101,111,118,137,153
2-day:, 47,58,75,89,105,117,129,137,158,177
3-day:, 52,64,82,97,114,127,140,148,171,191
4-day:, 57,68,88,103,121,134,148,157,180,201
7-day:, 69,81,102,118,137,151,165,173,197,218
10-day:, 81,94,115,132,151,165,178,187,209,229
20-day:, 118,132,155,174,193,208,220,228,245,258
30-day:, 149,165,190,210,230,245,256,264,278,288
45-day:, 188,205,234,256,278,295,306,314,325,333
60-day:, 220,240,271,296,320,339,350,358,369,376

Date/time (GMT):  Thu Feb 29 23:17:45 2024
pyRunTime:  0.07311034202575684
