Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 41.77256304 Degree
Longitude: -77.25442096 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,8,10,11,13,14,16,17,19,21
10-min:, 10,12,15,17,19,21,23,25,28,31
15-min:, 13,15,18,21,24,26,29,32,35,38
30-min:, 17,20,25,29,34,38,42,46,52,57
60-min:, 21,25,32,37,44,50,56,63,72,80
2-hr:, 24,29,36,43,52,60,69,79,94,108
3-hr:, 26,32,40,46,56,65,75,86,104,119
6-hr:, 33,40,49,57,69,80,92,105,126,145
12-hr:, 41,49,60,70,85,98,114,131,159,183
24-hr:, 50,59,73,85,103,120,139,161,196,229
2-day:, 57,69,84,98,120,140,163,191,235,276
3-day:, 61,72,89,103,125,146,170,198,244,286
4-day:, 64,76,93,108,131,152,177,206,253,297
7-day:, 76,90,107,122,145,165,189,216,260,300
10-day:, 86,101,120,136,160,182,207,236,280,321
20-day:, 118,138,160,178,206,229,256,285,328,365
30-day:, 146,170,194,214,243,268,295,324,367,403
45-day:, 187,217,245,268,300,327,355,385,427,462
60-day:, 226,262,293,319,356,386,418,451,499,537

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,9,11,12,14,16,18,19,22,24
10-min:, 12,14,17,19,22,24,26,29,32,35
15-min:, 15,17,21,24,27,30,33,36,40,43
30-min:, 19,23,29,33,38,43,47,52,59,65
60-min:, 24,29,36,42,50,56,63,71,82,91
2-hr:, 27,33,41,48,58,67,76,88,105,120
3-hr:, 30,36,45,52,63,72,83,95,115,132
6-hr:, 38,45,56,64,78,89,102,117,141,161
12-hr:, 47,56,69,79,96,110,127,146,177,204
24-hr:, 55,66,81,94,114,132,152,177,215,250
2-day:, 65,77,95,110,134,156,182,212,261,307
3-day:, 68,81,99,114,139,161,187,219,269,315
4-day:, 71,84,103,118,144,166,193,225,276,324
7-day:, 83,98,117,133,157,180,205,235,283,327
10-day:, 94,110,130,147,173,197,224,255,303,347
20-day:, 127,148,172,191,221,246,274,306,353,394
30-day:, 156,182,207,228,259,286,314,346,393,433
45-day:, 198,231,260,284,318,346,376,408,455,493
60-day:, 240,278,311,339,377,409,443,479,530,572

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 6,7,9,10,11,12,14,15,16,18
10-min:, 9,11,13,15,17,19,20,22,24,26
15-min:, 11,14,16,18,21,23,25,27,30,32
30-min:, 15,18,22,26,30,33,37,40,45,49
60-min:, 18,22,28,33,39,44,49,54,62,68
2-hr:, 21,26,32,38,46,53,60,68,81,92
3-hr:, 24,28,35,41,50,57,65,75,89,101
6-hr:, 30,36,44,51,61,70,80,91,108,123
12-hr:, 37,44,54,63,75,86,99,113,135,154
24-hr:, 45,54,66,77,93,107,123,141,169,194
2-day:, 52,62,76,88,107,124,143,165,200,231
3-day:, 55,66,81,93,113,130,150,173,209,242
4-day:, 59,70,85,98,118,137,157,181,219,253
7-day:, 70,83,98,112,132,150,170,193,228,260
10-day:, 80,94,111,125,147,166,188,212,249,281
20-day:, 110,129,149,166,191,212,235,261,298,329
30-day:, 137,160,182,201,228,250,274,299,336,367
45-day:, 176,205,231,253,282,307,332,359,397,427
60-day:, 213,247,276,301,335,363,391,421,463,496

Date/time (GMT):  Thu Feb 29 23:17:47 2024
pyRunTime:  0.01160120964050293
