Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 10 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Northeastern States
Location name (ESRI Maps): None
Station Name: None
Latitude: 42.44945765 Degree
Longitude: -76.47229843 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,9,12,14,17,20,22,25,29,33
10-min:, 11,13,17,20,24,28,31,35,41,46
15-min:, 12,15,20,24,29,33,37,42,49,54
30-min:, 17,21,27,32,39,44,50,57,66,74
60-min:, 21,26,34,41,50,56,63,72,84,94
2-hr:, 27,32,41,48,58,65,73,82,97,109
3-hr:, 30,36,45,53,64,72,80,91,107,121
6-hr:, 36,44,55,65,78,88,98,112,132,150
12-hr:, 43,53,68,81,98,111,125,143,170,193
24-hr:, 51,62,81,97,119,135,152,174,207,235
2-day:, 59,72,93,111,135,153,172,196,233,265
3-day:, 64,78,100,119,145,164,184,210,249,283
4-day:, 69,83,106,126,152,172,194,220,260,295
7-day:, 82,97,122,143,171,192,215,242,283,318
10-day:, 96,111,137,158,187,209,232,260,300,334
20-day:, 137,154,182,205,236,260,285,311,348,377
30-day:, 171,190,219,244,278,304,330,356,390,416
45-day:, 214,234,267,294,331,360,389,415,448,471
60-day:, 250,271,307,336,377,409,439,467,501,524

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,15,18,23,26,31,36,43,49
10-min:, 13,16,21,25,32,37,44,50,61,70
15-min:, 15,19,24,29,37,44,51,59,72,82
30-min:, 21,25,33,40,51,59,70,81,98,112
60-min:, 26,32,42,50,65,75,88,102,124,142
2-hr:, 33,39,50,59,75,87,102,117,142,164
3-hr:, 37,44,55,65,82,95,111,128,157,181
6-hr:, 44,53,67,79,100,116,136,156,192,223
12-hr:, 52,63,82,98,126,146,172,199,245,285
24-hr:, 60,74,97,117,151,176,208,240,297,345
2-day:, 69,85,110,132,170,198,234,270,333,387
3-day:, 75,92,119,141,182,211,249,287,354,411
4-day:, 81,98,125,149,191,221,261,300,369,428
7-day:, 96,114,143,168,212,245,286,328,399,459
10-day:, 111,129,160,186,231,265,307,351,422,480
20-day:, 158,178,211,239,288,324,369,417,485,537
30-day:, 197,218,253,284,336,376,422,475,541,591
45-day:, 245,268,307,340,398,442,493,550,618,667
60-day:, 285,310,352,388,451,500,554,617,689,739

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 6,7,10,11,13,15,16,17,19,21
10-min:, 9,10,13,16,19,21,23,24,27,29
15-min:, 10,12,16,19,22,24,27,28,32,34
30-min:, 14,17,22,26,30,33,36,38,43,47
60-min:, 17,21,27,32,38,42,46,49,54,59
2-hr:, 22,26,33,38,45,49,53,56,63,69
3-hr:, 25,29,37,43,49,54,59,62,70,77
6-hr:, 30,36,45,52,61,67,73,77,87,96
12-hr:, 36,44,56,66,77,85,93,98,112,123
24-hr:, 42,52,67,80,94,104,114,120,136,151
2-day:, 49,60,77,91,107,119,129,136,154,171
3-day:, 54,65,84,99,115,127,139,146,165,182
4-day:, 58,70,89,104,122,134,146,153,173,191
7-day:, 70,82,103,119,137,150,162,169,189,206
10-day:, 81,94,115,132,151,164,175,182,201,217
20-day:, 117,131,154,172,191,204,214,220,234,245
30-day:, 147,162,187,206,225,239,247,253,263,271
45-day:, 184,201,228,250,269,283,291,295,303,308
60-day:, 216,234,263,286,306,322,329,333,339,342

Date/time (GMT):  Thu Feb 29 23:17:49 2024
pyRunTime:  0.012525081634521484
