Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 39.46811972 Degree
Longitude: -80.88772677 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,12,14,16,17,19,20,22,23
10-min:, 13,16,19,21,24,26,28,30,32,34
15-min:, 16,19,23,26,30,32,35,37,40,43
30-min:, 21,26,32,36,42,46,50,54,60,64
60-min:, 26,32,40,46,54,61,67,74,83,90
2-hr:, 30,37,46,53,63,71,79,87,98,107
3-hr:, 32,39,49,57,67,76,85,94,106,116
6-hr:, 39,46,58,67,79,90,100,112,127,140
12-hr:, 46,55,67,78,92,104,117,130,149,165
24-hr:, 54,65,78,90,105,118,131,145,165,180
2-day:, 64,76,91,103,120,134,148,162,181,197
3-day:, 69,81,97,110,127,140,154,168,187,201
4-day:, 73,87,103,116,133,147,160,174,192,206
7-day:, 89,105,123,138,156,170,184,197,215,228
10-day:, 103,121,141,156,175,190,204,217,234,247
20-day:, 146,171,196,215,238,256,272,287,306,319
30-day:, 185,216,244,265,292,311,328,345,364,378
45-day:, 237,276,309,334,364,385,404,421,442,456
60-day:, 287,333,370,397,430,452,473,491,513,527

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,14,15,17,19,21,22,24,26
10-min:, 15,18,21,24,27,29,31,33,36,38
15-min:, 18,22,26,29,33,36,39,41,45,47
30-min:, 24,29,35,40,47,51,56,60,66,71
60-min:, 29,36,45,51,61,68,75,82,91,99
2-hr:, 34,41,52,60,71,79,88,97,109,119
3-hr:, 36,44,55,63,75,84,94,104,117,128
6-hr:, 43,52,64,74,88,99,111,123,140,154
12-hr:, 51,61,75,86,102,115,128,143,163,180
24-hr:, 58,70,85,97,113,127,141,155,176,192
2-day:, 68,81,98,111,129,143,158,173,193,209
3-day:, 73,87,104,117,135,149,164,179,198,214
4-day:, 78,92,110,123,142,156,170,185,204,218
7-day:, 95,112,131,146,165,180,194,209,227,241
10-day:, 109,128,149,165,185,200,215,229,247,260
20-day:, 154,180,206,226,250,268,285,301,321,335
30-day:, 193,226,255,278,305,325,343,360,381,396
45-day:, 248,288,323,348,379,401,421,440,461,476
60-day:, 299,347,385,413,447,471,493,512,534,549

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,9,11,12,14,15,17,18,19,20
10-min:, 12,14,17,19,21,23,25,27,28,30
15-min:, 15,17,21,23,27,29,31,33,35,37
30-min:, 19,23,29,33,37,41,45,48,53,56
60-min:, 23,29,36,41,49,54,60,65,73,78
2-hr:, 27,33,41,48,56,63,70,76,86,93
3-hr:, 29,35,44,50,60,67,74,82,92,100
6-hr:, 35,42,52,60,71,80,89,98,111,121
12-hr:, 41,50,61,70,83,93,104,115,131,143
24-hr:, 50,60,73,83,97,109,121,133,150,163
2-day:, 59,70,85,96,111,124,136,149,166,179
3-day:, 64,76,91,102,118,130,143,155,172,184
4-day:, 69,81,97,109,125,137,149,161,178,190
7-day:, 84,99,116,129,146,159,172,184,200,211
10-day:, 97,115,133,147,165,178,191,204,219,230
20-day:, 139,163,187,204,226,243,258,272,289,301
30-day:, 176,206,233,253,278,296,313,328,346,359
45-day:, 227,265,296,320,348,368,386,403,422,435
60-day:, 275,319,355,381,412,434,453,471,491,504

Date/time (GMT):  Thu Feb 29 23:17:53 2024
pyRunTime:  0.009306907653808594
