Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 10 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Northeastern States
Location name (ESRI Maps): None
Station Name: None
Latitude: 41.89027881 Degree
Longitude: -74.26252104 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,10,13,15,19,21,24,26,30,33
10-min:, 12,15,19,22,26,30,33,37,43,47
15-min:, 14,17,22,26,31,35,39,44,50,55
30-min:, 19,23,30,35,42,48,53,59,68,75
60-min:, 24,29,37,44,53,60,67,75,86,94
2-hr:, 32,39,50,59,71,80,90,102,119,133
3-hr:, 37,45,58,69,84,95,107,121,143,161
6-hr:, 48,59,76,91,111,125,141,161,192,218
12-hr:, 61,75,98,117,143,162,183,209,250,284
24-hr:, 75,92,121,145,177,202,228,260,310,352
2-day:, 89,110,143,171,209,238,269,306,363,412
3-day:, 98,120,156,185,226,256,288,328,387,438
4-day:, 105,128,165,195,237,269,302,342,403,455
7-day:, 125,149,188,221,266,299,335,377,439,491
10-day:, 143,168,210,244,291,326,364,406,469,520
20-day:, 200,228,275,313,366,406,447,492,553,602
30-day:, 249,279,329,371,428,472,517,562,623,670
45-day:, 310,343,398,444,507,556,604,651,712,756
60-day:, 361,397,457,506,573,627,678,726,787,830

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 11,13,17,20,25,29,34,38,45,51
10-min:, 16,19,24,29,36,41,48,55,64,72
15-min:, 19,22,29,34,42,49,56,64,76,85
30-min:, 25,30,39,46,57,66,76,87,102,115
60-min:, 32,38,49,58,73,83,96,110,129,145
2-hr:, 42,50,65,77,97,111,129,148,178,203
3-hr:, 48,59,76,90,114,132,153,175,213,244
6-hr:, 62,76,98,117,150,173,203,232,284,328
12-hr:, 78,96,125,150,192,222,261,299,367,424
24-hr:, 95,117,154,185,236,274,322,368,451,522
2-day:, 112,138,180,217,277,321,376,430,525,605
3-day:, 123,150,195,233,297,343,401,458,557,641
4-day:, 131,160,206,246,311,359,418,477,578,663
7-day:, 154,184,234,276,345,396,459,522,625,711
10-day:, 177,208,260,304,376,429,494,560,665,750
20-day:, 245,280,338,387,467,527,597,671,778,861
30-day:, 304,341,404,457,543,609,683,764,872,954
45-day:, 376,418,486,544,639,711,791,880,990,1072
60-day:, 437,482,555,618,719,797,883,978,1092,1173

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 6,8,10,12,14,15,16,18,19,21
10-min:, 9,11,14,16,19,21,23,25,28,30
15-min:, 11,13,16,19,23,25,27,29,32,35
30-min:, 15,18,22,26,31,34,37,40,44,47
60-min:, 19,22,28,33,39,43,47,50,55,60
2-hr:, 25,30,38,44,52,58,64,68,77,84
3-hr:, 29,35,45,53,62,69,76,81,93,102
6-hr:, 37,45,59,69,83,92,102,109,125,139
12-hr:, 48,58,76,90,108,120,133,142,163,182
24-hr:, 59,72,95,113,134,150,166,177,203,226
2-day:, 70,87,113,134,159,178,196,209,239,265
3-day:, 78,95,123,146,172,192,211,225,255,282
4-day:, 84,102,131,154,182,202,221,235,266,294
7-day:, 100,119,150,175,204,226,246,260,291,318
10-day:, 115,136,168,195,225,247,267,281,311,337
20-day:, 163,186,222,252,284,308,328,342,369,391
30-day:, 203,228,268,300,334,359,378,393,417,436
45-day:, 254,282,326,361,396,424,442,457,478,494
60-day:, 298,327,375,412,450,478,497,511,530,543

Date/time (GMT):  Thu Feb 29 23:17:55 2024
pyRunTime:  0.029498815536499023
