Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 38.89250152 Degree
Longitude: -80.23686804 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,9,11,13,15,16,17,18,20,21
10-min:, 12,15,18,20,22,24,26,28,30,32
15-min:, 15,18,22,25,28,30,33,35,38,40
30-min:, 20,25,30,35,40,44,48,52,57,61
60-min:, 25,31,38,44,53,59,65,72,80,87
2-hr:, 30,36,45,53,63,71,79,87,99,109
3-hr:, 32,39,49,56,67,76,85,95,108,119
6-hr:, 39,47,58,68,81,92,103,115,132,146
12-hr:, 47,56,69,80,95,108,122,137,158,176
24-hr:, 56,67,81,93,109,122,136,150,170,185
2-day:, 67,79,95,107,125,139,153,168,188,204
3-day:, 72,86,102,116,133,148,162,177,196,212
4-day:, 78,93,110,124,142,157,171,185,205,220
7-day:, 96,113,133,148,168,183,197,212,231,245
10-day:, 112,132,153,169,190,206,221,235,254,267
20-day:, 160,187,214,235,260,278,296,312,332,347
30-day:, 204,238,270,293,321,342,361,379,400,415
45-day:, 263,306,342,369,402,425,446,465,487,503
60-day:, 319,371,411,441,477,502,525,545,568,584

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,10,12,14,16,17,19,20,22,23
10-min:, 14,16,20,22,25,27,29,31,33,35
15-min:, 17,20,24,27,31,33,36,38,41,44
30-min:, 23,27,34,38,44,48,53,57,63,67
60-min:, 28,34,42,49,58,64,71,78,88,95
2-hr:, 33,40,50,58,69,78,86,96,109,119
3-hr:, 36,43,54,63,74,84,94,104,119,131
6-hr:, 43,52,65,75,89,100,113,126,144,160
12-hr:, 52,62,76,88,105,119,134,150,173,193
24-hr:, 61,73,88,100,117,131,146,161,181,198
2-day:, 71,85,102,115,133,148,164,179,200,217
3-day:, 78,92,110,124,143,158,173,188,209,226
4-day:, 84,99,118,132,152,167,182,198,218,234
7-day:, 102,120,141,157,177,193,209,224,244,259
10-day:, 118,139,162,179,201,217,233,248,268,282
20-day:, 168,197,225,247,273,292,310,328,349,364
30-day:, 214,250,283,307,337,359,378,397,419,435
45-day:, 275,320,358,386,420,444,466,486,510,527
60-day:, 333,386,429,460,497,523,547,568,593,610

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,9,10,12,13,14,15,16,18,19
10-min:, 11,13,16,18,20,22,23,25,27,28
15-min:, 14,17,20,22,25,27,29,31,33,35
30-min:, 19,22,28,31,36,40,43,46,51,54
60-min:, 23,28,35,40,47,53,58,64,71,76
2-hr:, 27,33,41,48,56,63,70,78,87,95
3-hr:, 29,35,44,51,60,68,76,84,95,103
6-hr:, 36,43,53,61,73,82,92,102,115,127
12-hr:, 43,51,63,72,86,97,108,120,137,151
24-hr:, 52,62,75,86,100,112,124,137,154,168
2-day:, 62,73,88,100,116,128,141,154,172,186
3-day:, 68,80,96,108,124,137,150,163,181,194
4-day:, 73,87,103,116,133,146,159,172,189,203
7-day:, 91,107,125,139,158,172,185,198,215,228
10-day:, 106,125,145,160,180,194,208,221,238,250
20-day:, 152,178,204,223,247,264,280,295,314,327
30-day:, 194,227,257,279,306,325,343,359,379,393
45-day:, 251,292,327,353,383,405,425,443,464,478
60-day:, 306,355,394,423,457,481,502,521,543,557

Date/time (GMT):  Thu Feb 29 23:18:00 2024
pyRunTime:  0.0458526611328125
