Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 36.73285734 Degree
Longitude: -76.04566934 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 11,12,13,16,18,20,21,23,25,27
10-min:, 17,19,22,25,28,31,34,36,39,42
15-min:, 21,25,27,32,36,40,43,46,49,53
30-min:, 29,34,39,46,53,60,66,71,78,85
60-min:, 36,42,50,60,71,81,90,100,112,125
2-hr:, 43,51,60,74,88,103,117,132,151,170
3-hr:, 46,54,65,80,97,114,131,149,172,197
6-hr:, 56,66,79,98,118,140,161,185,215,248
12-hr:, 66,78,93,116,142,170,197,227,268,311
24-hr:, 77,93,120,143,177,207,239,275,328,374
2-day:, 89,107,138,164,204,238,276,319,383,439
3-day:, 94,113,145,172,212,246,283,325,386,442
4-day:, 99,120,152,180,220,254,290,330,389,445
7-day:, 116,139,175,205,248,284,323,365,426,476
10-day:, 130,156,193,224,268,305,344,386,446,496
20-day:, 176,210,255,292,344,387,431,478,544,598
30-day:, 217,258,310,351,408,454,500,548,613,664
45-day:, 268,317,377,427,496,551,608,668,750,815
60-day:, 320,378,445,498,570,626,683,740,817,876

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 12,14,15,17,20,22,24,25,27,30
10-min:, 19,22,24,28,31,35,38,40,43,47
15-min:, 23,27,30,35,40,44,47,51,55,59
30-min:, 32,38,43,51,59,66,73,79,87,95
60-min:, 40,47,55,67,78,90,100,111,125,138
2-hr:, 47,56,66,82,98,114,129,146,167,188
3-hr:, 51,61,72,90,108,127,145,165,191,219
6-hr:, 63,74,88,109,132,156,180,205,239,275
12-hr:, 75,88,105,131,160,191,221,254,300,348
24-hr:, 84,103,132,157,194,226,261,300,359,411
2-day:, 98,118,152,181,223,260,302,349,422,484
3-day:, 103,125,159,188,232,268,309,355,425,488
4-day:, 108,131,167,196,240,277,317,361,428,491
7-day:, 126,152,191,223,269,308,351,397,466,523
10-day:, 140,168,208,241,289,329,371,417,485,542
20-day:, 189,225,274,313,369,415,463,515,588,649
30-day:, 232,276,331,376,436,485,536,588,661,719
45-day:, 286,338,403,456,529,589,650,715,806,879
60-day:, 340,401,473,529,606,666,728,790,876,943

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,11,12,14,16,18,19,20,22,23
10-min:, 15,18,19,23,25,28,30,32,34,37
15-min:, 19,22,25,29,32,36,38,41,43,46
30-min:, 26,31,35,42,48,54,59,63,69,75
60-min:, 33,38,45,54,63,73,81,89,99,109
2-hr:, 39,45,54,66,79,92,103,116,131,147
3-hr:, 41,49,58,72,86,101,115,130,149,169
6-hr:, 50,59,70,87,105,123,141,160,184,210
12-hr:, 59,69,83,103,125,148,171,195,226,259
24-hr:, 70,85,110,131,161,186,213,242,284,319
2-day:, 81,98,126,150,184,214,245,279,330,371
3-day:, 86,104,133,157,192,221,253,286,335,377
4-day:, 91,110,140,165,200,229,260,292,339,383
7-day:, 107,129,162,188,227,258,290,325,374,413
10-day:, 121,145,179,207,247,279,312,347,396,436
20-day:, 165,196,238,271,318,356,394,434,487,529
30-day:, 204,242,291,329,381,421,462,502,557,599
45-day:, 251,297,354,399,462,512,562,612,680,733
60-day:, 302,356,419,468,534,585,635,685,749,797

Date/time (GMT):  Thu Feb 29 23:18:04 2024
pyRunTime:  0.02365732192993164
