Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 40.85951349 Degree
Longitude: -74.9955636 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,12,13,15,17,18,20,23,25
10-min:, 13,16,19,21,24,26,29,31,35,38
15-min:, 16,20,24,26,30,33,36,40,44,48
30-min:, 22,27,33,38,44,49,55,61,69,76
60-min:, 28,34,42,49,59,67,75,85,99,111
2-hr:, 34,41,52,60,73,84,96,109,130,149
3-hr:, 38,46,57,66,80,92,105,120,142,162
6-hr:, 49,59,73,85,103,118,136,156,188,216
12-hr:, 61,74,92,107,131,152,177,205,248,288
24-hr:, 71,85,106,124,151,174,199,227,269,306
2-day:, 83,100,125,146,177,202,230,261,307,346
3-day:, 87,105,131,153,184,210,239,271,318,358
4-day:, 92,110,137,159,191,218,248,281,329,370
7-day:, 108,129,159,184,220,251,284,321,375,421
10-day:, 125,149,181,207,244,275,307,343,393,436
20-day:, 168,199,236,266,307,340,375,410,460,501
30-day:, 209,247,287,318,361,394,428,463,510,547
45-day:, 266,312,357,392,438,473,507,541,585,619
60-day:, 319,373,425,464,514,552,589,626,673,708

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,15,17,19,20,22,25,28
10-min:, 15,18,21,23,27,29,32,35,39,43
15-min:, 18,22,26,29,34,37,40,44,50,54
30-min:, 25,30,37,42,49,55,61,68,78,86
60-min:, 31,38,47,55,65,74,84,94,111,125
2-hr:, 37,45,57,67,80,93,106,122,146,167
3-hr:, 42,51,63,74,89,102,116,133,159,182
6-hr:, 54,65,81,94,113,131,151,173,209,242
12-hr:, 68,82,102,119,145,168,195,227,276,322
24-hr:, 77,93,116,135,163,188,215,245,290,329
2-day:, 91,109,137,159,192,219,249,282,332,374
3-day:, 95,114,142,165,198,227,257,291,342,385
4-day:, 99,119,147,171,205,234,266,300,352,397
7-day:, 116,139,171,197,235,268,303,342,400,449
10-day:, 133,159,193,220,260,292,327,365,419,464
20-day:, 178,211,251,282,325,360,397,435,489,533
30-day:, 221,260,303,336,381,416,452,488,539,579
45-day:, 280,329,376,413,461,498,534,570,618,654
60-day:, 335,392,446,488,540,581,620,658,708,746

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,9,11,12,13,15,16,17,19,21
10-min:, 12,14,17,19,21,23,25,27,30,32
15-min:, 15,18,21,24,27,29,32,34,38,40
30-min:, 20,24,30,34,39,43,48,52,59,64
60-min:, 25,30,38,44,52,59,66,73,84,93
2-hr:, 30,37,46,54,65,74,84,95,111,125
3-hr:, 34,41,52,60,72,81,92,104,122,137
6-hr:, 44,54,66,77,92,105,119,135,160,181
12-hr:, 55,67,83,97,117,134,154,176,209,238
24-hr:, 65,79,98,114,138,158,180,203,238,267
2-day:, 77,93,116,135,162,184,209,235,272,304
3-day:, 81,98,122,141,169,193,218,245,284,317
4-day:, 85,103,128,148,177,201,227,255,296,330
7-day:, 101,121,148,171,204,232,261,292,338,375
10-day:, 117,139,169,193,227,255,284,314,357,393
20-day:, 158,188,223,250,288,318,349,381,424,459
30-day:, 198,233,271,301,340,371,401,432,474,506
45-day:, 253,297,340,373,416,448,480,510,550,580
60-day:, 304,355,404,441,489,525,559,592,634,666

Date/time (GMT):  Thu Feb 29 23:18:06 2024
pyRunTime:  0.009251832962036133
