Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 41.81368759 Degree
Longitude: -79.27407714 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,9,11,13,15,16,18,19,21,23
10-min:, 12,15,18,20,23,25,27,29,31,33
15-min:, 15,18,22,25,28,31,33,36,39,41
30-min:, 20,24,30,34,40,44,48,52,58,62
60-min:, 24,30,37,43,51,58,64,71,80,87
2-hr:, 28,34,43,50,60,67,75,83,94,103
3-hr:, 31,37,47,54,65,73,82,91,104,114
6-hr:, 37,45,56,65,77,87,98,110,126,139
12-hr:, 44,53,65,76,90,102,115,129,148,164
24-hr:, 52,62,76,88,104,117,131,145,166,182
2-day:, 61,73,88,101,118,132,147,162,183,200
3-day:, 66,78,94,107,125,139,154,170,191,207
4-day:, 71,84,100,113,132,147,162,177,198,215
7-day:, 86,101,119,134,154,169,185,201,222,238
10-day:, 100,117,137,153,174,190,207,223,245,261
20-day:, 140,164,189,209,235,255,275,294,318,336
30-day:, 176,206,235,259,289,311,333,354,381,401
45-day:, 229,267,301,328,362,387,410,432,459,479
60-day:, 278,324,362,392,429,457,482,505,533,553

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,10,13,14,16,18,19,21,23,25
10-min:, 14,16,19,22,25,27,29,31,34,36
15-min:, 17,20,24,27,31,34,36,39,43,45
30-min:, 22,27,33,37,44,48,53,57,63,67
60-min:, 27,33,41,48,56,63,70,77,87,95
2-hr:, 31,38,47,55,65,73,82,90,102,112
3-hr:, 34,41,51,59,71,80,89,99,112,123
6-hr:, 41,49,61,71,85,95,107,119,136,150
12-hr:, 49,58,72,82,98,111,124,139,159,176
24-hr:, 57,68,83,95,112,126,141,156,178,195
2-day:, 66,79,95,108,127,142,157,173,195,212
3-day:, 71,84,101,115,133,149,164,180,203,220
4-day:, 75,89,107,121,140,156,171,188,210,228
7-day:, 91,108,127,143,164,180,197,213,236,253
10-day:, 106,125,146,163,185,202,219,236,259,276
20-day:, 149,174,201,221,249,270,290,310,336,355
30-day:, 186,218,249,273,304,328,351,373,402,423
45-day:, 242,282,318,346,382,408,433,456,485,506
60-day:, 293,341,381,412,451,480,506,531,561,582

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,9,10,12,13,15,16,17,19,20
10-min:, 11,13,16,18,20,22,24,26,28,29
15-min:, 14,16,20,22,25,27,30,32,34,36
30-min:, 18,22,27,31,36,39,43,46,51,54
60-min:, 22,27,34,39,46,52,57,63,70,76
2-hr:, 26,31,39,46,54,61,68,74,84,91
3-hr:, 28,34,43,49,59,66,74,81,92,100
6-hr:, 34,41,51,59,70,79,88,98,111,121
12-hr:, 41,49,60,69,82,93,104,115,131,144
24-hr:, 48,58,71,81,95,107,119,132,149,163
2-day:, 57,68,82,94,110,122,135,149,167,181
3-day:, 62,73,88,100,116,129,143,156,175,189
4-day:, 66,79,94,106,123,136,150,164,183,197
7-day:, 80,94,111,125,143,157,171,185,204,218
10-day:, 94,110,129,144,163,178,193,208,227,241
20-day:, 132,155,178,197,221,239,257,274,296,312
30-day:, 167,195,223,245,273,294,314,333,358,375
45-day:, 217,253,285,310,342,365,387,407,432,449
60-day:, 265,308,345,373,408,433,456,478,504,521

Date/time (GMT):  Thu Feb 29 23:18:08 2024
pyRunTime:  0.02432394027709961
