Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 39.60680917 Degree
Longitude: -77.81714716 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,12,14,16,18,20,22,24,26
10-min:, 13,16,19,21,25,27,30,32,36,39
15-min:, 16,19,23,26,30,34,37,40,45,49
30-min:, 21,26,32,37,43,48,53,59,67,73
60-min:, 26,31,40,47,56,64,72,80,93,103
2-hr:, 30,37,47,55,67,77,88,99,117,132
3-hr:, 33,40,50,59,71,82,93,106,125,142
6-hr:, 41,49,61,72,87,100,114,129,152,172
12-hr:, 50,60,75,88,106,122,141,161,191,217
24-hr:, 59,71,88,103,124,141,160,181,211,236
2-day:, 68,82,102,118,142,163,185,209,245,274
3-day:, 73,87,108,125,150,172,195,219,255,285
4-day:, 77,93,114,132,158,180,204,230,266,297
7-day:, 90,108,131,150,177,199,222,246,280,307
10-day:, 103,122,147,167,195,217,241,265,299,325
20-day:, 139,164,192,214,242,264,286,308,337,358
30-day:, 172,201,231,254,285,307,330,351,379,399
45-day:, 216,252,286,312,343,366,388,408,433,450
60-day:, 259,302,339,366,400,423,445,465,489,506

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,14,15,18,20,22,24,27,29
10-min:, 15,18,21,24,27,30,33,36,40,43
15-min:, 18,21,26,29,34,37,41,45,50,54
30-min:, 24,29,36,41,48,53,59,65,74,81
60-min:, 29,35,45,52,62,71,80,89,103,114
2-hr:, 34,42,53,62,75,86,98,111,130,146
3-hr:, 37,45,57,66,80,92,104,118,139,157
6-hr:, 46,56,70,81,97,112,127,144,169,191
12-hr:, 57,68,84,98,118,136,155,177,210,238
24-hr:, 65,78,97,112,135,154,174,196,229,256
2-day:, 75,90,112,130,156,178,202,228,266,299
3-day:, 80,96,119,138,165,188,213,240,279,312
4-day:, 85,102,126,146,174,198,224,251,292,325
7-day:, 98,117,143,164,193,217,242,268,306,336
10-day:, 112,133,159,181,211,235,261,287,324,353
20-day:, 150,176,206,229,259,283,307,330,361,385
30-day:, 183,214,246,270,302,327,351,374,404,426
45-day:, 228,266,302,328,362,386,409,430,457,476
60-day:, 273,318,357,386,421,446,469,490,516,534

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,9,11,12,14,16,17,19,21,23
10-min:, 12,14,17,19,22,24,26,28,31,33
15-min:, 14,17,21,23,27,29,32,35,39,41
30-min:, 19,23,28,32,38,42,47,51,58,62
60-min:, 23,28,36,41,49,56,63,70,80,88
2-hr:, 27,33,42,49,59,67,76,86,100,112
3-hr:, 29,35,44,52,63,71,81,92,107,119
6-hr:, 37,44,55,64,76,87,99,111,130,145
12-hr:, 45,54,67,78,94,107,122,138,162,182
24-hr:, 54,65,80,93,112,127,143,161,185,205
2-day:, 62,75,92,107,128,146,165,185,214,237
3-day:, 66,80,98,114,136,154,174,194,224,248
4-day:, 71,84,104,120,143,162,182,203,233,258
7-day:, 83,99,120,138,162,181,201,221,249,271
10-day:, 95,113,136,154,179,199,220,240,268,290
20-day:, 131,154,180,200,226,246,266,285,310,328
30-day:, 162,190,218,240,268,289,309,328,352,370
45-day:, 204,239,271,295,324,346,366,384,407,422
60-day:, 246,287,322,347,378,400,421,439,461,476

Date/time (GMT):  Thu Feb 29 23:18:12 2024
pyRunTime:  0.04304099082946777
