Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 40.19184046 Degree
Longitude: -80.24577048 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,12,13,15,17,18,20,22,23
10-min:, 12,15,18,20,23,25,27,29,32,33
15-min:, 15,18,22,25,29,31,34,36,40,42
30-min:, 20,25,30,35,40,45,49,53,59,63
60-min:, 25,30,38,44,52,59,65,72,81,88
2-hr:, 28,35,43,50,60,68,76,84,95,104
3-hr:, 30,36,46,53,64,72,81,90,102,112
6-hr:, 36,43,54,63,75,85,95,106,122,135
12-hr:, 43,51,63,73,87,98,111,124,143,158
24-hr:, 51,60,74,85,101,113,127,141,161,177
2-day:, 59,71,86,98,115,129,143,158,178,194
3-day:, 64,76,91,103,121,135,149,164,184,200
4-day:, 68,81,96,109,127,141,155,170,190,206
7-day:, 81,96,113,127,146,161,176,191,211,226
10-day:, 94,110,129,144,164,179,195,210,230,245
20-day:, 132,154,178,197,221,240,258,276,299,316
30-day:, 166,193,221,243,271,292,313,333,358,376
45-day:, 212,247,279,304,335,358,380,400,425,443
60-day:, 255,297,332,360,394,418,441,463,488,506

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,15,17,18,20,22,24,25
10-min:, 14,17,20,23,26,28,30,32,35,37
15-min:, 17,20,25,28,32,35,37,40,44,46
30-min:, 23,27,34,38,45,49,54,58,65,69
60-min:, 28,33,42,49,58,65,72,79,89,97
2-hr:, 31,38,48,56,66,74,83,92,104,114
3-hr:, 34,41,51,59,71,80,89,99,112,123
6-hr:, 40,48,60,69,82,93,104,116,133,146
12-hr:, 47,56,69,79,94,107,120,133,153,169
24-hr:, 55,66,81,93,110,123,138,153,174,192
2-day:, 65,77,94,107,125,140,155,171,193,211
3-day:, 69,82,98,112,130,145,161,176,198,216
4-day:, 73,86,103,117,136,151,166,182,203,221
7-day:, 86,102,120,135,155,170,186,202,223,239
10-day:, 100,117,137,153,174,190,206,222,243,259
20-day:, 139,163,188,208,234,253,272,291,315,333
30-day:, 175,205,234,256,286,308,330,351,378,397
45-day:, 222,259,293,319,351,375,398,420,447,466
60-day:, 267,311,348,377,412,438,462,485,512,531

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,9,10,12,14,15,16,17,19,20
10-min:, 11,14,16,18,21,23,24,26,28,29
15-min:, 14,17,20,22,26,28,30,32,35,37
30-min:, 18,22,27,31,36,40,43,47,52,55
60-min:, 22,27,34,40,47,52,58,64,71,77
2-hr:, 26,31,39,45,54,60,67,74,83,91
3-hr:, 27,33,41,48,57,64,72,79,90,98
6-hr:, 33,39,49,57,67,76,85,94,107,117
12-hr:, 39,46,57,66,78,89,99,110,125,138
24-hr:, 47,56,68,78,92,103,115,127,144,157
2-day:, 55,65,79,90,105,117,130,143,160,174
3-day:, 59,70,84,96,112,124,137,150,168,181
4-day:, 64,75,90,102,118,131,144,157,175,188
7-day:, 77,91,107,120,137,151,164,177,195,208
10-day:, 89,105,122,136,154,169,182,196,214,228
20-day:, 125,146,169,186,209,226,243,259,280,295
30-day:, 157,184,210,230,257,276,295,314,336,353
45-day:, 202,236,266,290,319,341,361,380,403,419
60-day:, 244,283,317,343,375,399,420,440,463,480

Date/time (GMT):  Thu Feb 29 23:18:14 2024
pyRunTime:  0.009879112243652344
