Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 36.72341535 Degree
Longitude: -81.95666391 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,9,10,12,13,15,16,17,19,21
10-min:, 12,14,16,18,21,23,25,27,30,32
15-min:, 15,18,21,23,27,29,32,34,38,41
30-min:, 20,24,29,34,39,44,49,54,60,66
60-min:, 25,30,38,44,53,60,67,75,87,96
2-hr:, 29,34,43,50,60,69,79,90,106,119
3-hr:, 31,37,45,53,64,73,83,94,111,124
6-hr:, 37,44,53,62,74,84,94,106,122,136
12-hr:, 45,53,64,73,86,96,107,118,134,147
24-hr:, 55,65,78,88,101,112,123,134,148,159
2-day:, 66,77,92,103,119,132,145,158,175,188
3-day:, 71,84,99,112,129,142,155,169,187,201
4-day:, 77,91,107,120,138,152,166,180,199,213
7-day:, 92,109,128,144,164,181,196,212,233,249
10-day:, 107,126,147,164,187,204,221,239,262,280
20-day:, 150,176,202,222,247,267,285,303,326,342
30-day:, 188,218,246,267,295,315,334,351,373,389
45-day:, 240,278,309,333,363,385,405,423,445,460
60-day:, 290,336,372,399,433,457,479,498,521,537

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,11,13,15,16,18,19,21,23
10-min:, 13,16,18,20,23,26,28,31,34,37
15-min:, 17,20,23,26,30,33,35,39,43,46
30-min:, 23,27,33,37,44,49,54,60,68,74
60-min:, 28,34,42,49,58,66,75,84,97,109
2-hr:, 32,38,47,55,67,77,88,100,119,135
3-hr:, 34,41,50,58,71,81,93,105,125,141
6-hr:, 41,49,59,68,81,92,104,117,137,153
12-hr:, 49,58,70,80,94,105,117,130,148,163
24-hr:, 59,70,84,94,109,120,132,144,161,174
2-day:, 71,84,99,112,129,143,158,172,193,209
3-day:, 77,91,108,121,140,154,169,185,206,223
4-day:, 83,98,116,130,150,165,181,197,220,237
7-day:, 100,118,139,156,179,196,214,232,257,277
10-day:, 116,136,159,177,202,221,240,260,287,309
20-day:, 160,187,214,236,263,284,305,325,352,371
30-day:, 198,230,260,282,311,333,354,374,400,418
45-day:, 252,292,326,351,383,406,428,449,474,492
60-day:, 304,352,391,419,455,481,505,527,554,572

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,8,9,10,12,13,14,15,16,17
10-min:, 11,13,15,17,19,20,22,24,26,27
15-min:, 13,16,19,21,24,26,28,30,32,34
30-min:, 18,22,27,30,35,39,43,46,51,55
60-min:, 23,27,34,39,47,53,59,65,73,80
2-hr:, 26,31,38,45,54,61,69,78,89,99
3-hr:, 28,33,41,48,57,65,73,81,94,103
6-hr:, 34,40,49,56,67,75,84,93,106,115
12-hr:, 42,49,59,67,78,87,96,106,118,128
24-hr:, 51,60,72,81,93,103,112,122,133,142
2-day:, 61,72,85,96,110,121,132,143,156,167
3-day:, 66,78,93,104,119,130,142,153,168,178
4-day:, 71,84,100,112,127,140,152,164,179,190
7-day:, 86,101,119,133,152,166,179,193,210,223
10-day:, 101,118,138,153,174,189,204,218,237,252
20-day:, 142,166,190,209,232,249,266,281,300,313
30-day:, 178,207,234,253,279,297,314,329,348,360
45-day:, 228,264,294,317,344,364,382,398,417,429
60-day:, 276,320,354,380,411,433,453,470,490,503

Date/time (GMT):  Thu Feb 29 23:18:16 2024
pyRunTime:  0.01418447494506836
