Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 41.64938475 Degree
Longitude: -75.29956506 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,9,11,12,14,15,16,17,19,21
10-min:, 12,15,17,19,21,22,24,26,28,30
15-min:, 15,18,21,23,26,28,30,32,35,38
30-min:, 20,24,28,32,36,40,43,47,52,57
60-min:, 24,29,36,41,47,52,58,64,73,80
2-hr:, 29,34,42,49,58,66,75,85,100,113
3-hr:, 31,38,46,53,64,73,84,96,114,130
6-hr:, 40,48,59,68,81,93,106,121,145,166
12-hr:, 50,60,74,86,103,119,137,157,189,218
24-hr:, 61,73,90,105,128,149,174,203,250,292
2-day:, 71,85,105,123,150,175,203,237,292,342
3-day:, 75,90,110,128,157,183,214,250,309,363
4-day:, 79,94,115,134,164,191,224,263,326,384
7-day:, 94,112,136,157,191,222,258,300,368,431
10-day:, 109,130,156,179,214,246,283,325,393,454
20-day:, 147,174,203,229,267,301,339,382,448,506
30-day:, 184,216,249,277,318,353,393,437,503,559
45-day:, 236,276,312,343,388,426,468,514,581,637
60-day:, 285,332,373,407,458,501,548,598,672,733

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,10,12,13,15,16,18,19,21,23
10-min:, 13,16,19,21,23,25,27,29,32,34
15-min:, 16,20,23,25,28,31,33,36,39,42
30-min:, 22,26,31,35,40,44,48,52,58,63
60-min:, 27,32,39,45,52,58,64,71,81,89
2-hr:, 32,38,47,54,64,73,83,94,111,126
3-hr:, 35,42,51,59,70,81,93,106,127,146
6-hr:, 44,53,64,74,89,102,117,134,160,184
12-hr:, 56,67,82,95,114,131,151,174,210,244
24-hr:, 69,83,102,119,145,168,196,227,279,326
2-day:, 80,96,119,138,168,195,227,264,323,379
3-day:, 83,100,123,143,174,202,235,275,338,397
4-day:, 87,104,127,147,179,209,244,285,353,415
7-day:, 103,123,150,173,209,242,280,325,398,464
10-day:, 119,142,170,194,232,266,305,350,422,486
20-day:, 160,189,220,248,288,324,365,411,482,544
30-day:, 198,232,266,296,339,377,419,466,536,597
45-day:, 252,294,332,365,412,453,497,545,617,678
60-day:, 303,353,396,433,486,531,580,633,711,777

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,8,10,11,12,13,14,15,17,18
10-min:, 11,13,15,17,19,20,22,23,25,26
15-min:, 14,16,19,21,23,25,27,29,31,33
30-min:, 18,22,26,29,33,36,39,42,46,49
60-min:, 22,26,32,37,42,47,52,57,64,69
2-hr:, 26,31,38,44,52,59,66,74,86,96
3-hr:, 29,34,42,48,58,66,74,84,99,111
6-hr:, 36,44,53,61,73,83,94,106,124,140
12-hr:, 46,55,67,77,93,106,120,136,161,183
24-hr:, 54,65,80,93,113,130,150,173,209,241
2-day:, 64,76,94,109,132,153,176,203,245,283
3-day:, 68,81,100,116,140,163,188,218,264,307
4-day:, 72,86,106,122,149,172,200,232,284,330
7-day:, 86,102,124,143,173,200,230,266,322,372
10-day:, 100,119,143,164,195,223,255,291,347,397
20-day:, 137,162,189,212,246,276,310,347,403,452
30-day:, 172,202,233,258,296,328,363,402,459,507
45-day:, 223,260,294,322,364,399,436,477,537,585
60-day:, 269,313,352,384,431,470,512,557,622,677

Date/time (GMT):  Thu Feb 29 23:18:18 2024
pyRunTime:  0.01209402084350586
