Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 38.14734428 Degree
Longitude: -82.42469251 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,15,17,18,20,21,23,25
10-min:, 14,17,20,22,25,28,30,32,34,36
15-min:, 17,21,25,28,31,34,37,39,43,45
30-min:, 23,28,34,38,44,49,53,57,63,67
60-min:, 28,34,42,49,57,64,71,78,87,94
2-hr:, 32,38,48,55,66,74,82,90,102,111
3-hr:, 34,40,50,58,69,78,87,96,109,119
6-hr:, 40,47,59,67,80,90,101,112,127,140
12-hr:, 46,55,67,78,92,104,116,129,147,161
24-hr:, 56,67,81,92,108,121,135,149,168,183
2-day:, 68,80,96,109,127,141,155,170,190,205
3-day:, 73,87,104,117,135,149,163,178,197,213
4-day:, 79,93,111,124,143,157,172,186,205,220
7-day:, 94,111,131,145,165,179,194,208,226,239
10-day:, 109,128,149,164,184,199,214,228,245,258
20-day:, 151,177,203,222,245,263,279,295,314,327
30-day:, 188,220,249,270,296,315,333,349,368,382
45-day:, 239,279,312,336,366,386,405,423,443,456
60-day:, 289,336,372,399,432,455,475,493,514,528

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,12,14,16,18,20,21,23,25,27
10-min:, 15,19,22,25,28,30,32,34,37,39
15-min:, 19,23,27,30,34,37,40,43,46,49
30-min:, 25,30,37,42,48,53,58,62,68,73
60-min:, 31,37,46,53,63,70,77,85,95,102
2-hr:, 35,42,53,61,72,80,89,98,110,120
3-hr:, 37,44,55,64,75,85,94,104,118,129
6-hr:, 43,52,64,73,87,98,109,121,137,149
12-hr:, 50,60,73,84,99,111,124,137,156,171
24-hr:, 60,72,87,99,116,129,143,158,178,194
2-day:, 72,86,103,116,135,150,165,180,201,217
3-day:, 78,93,111,125,144,159,174,189,210,226
4-day:, 84,100,118,133,152,168,183,198,218,234
7-day:, 100,119,139,154,175,190,205,220,240,254
10-day:, 115,136,157,174,195,211,226,241,260,273
20-day:, 159,186,213,233,258,276,294,310,330,344
30-day:, 198,231,261,283,311,331,349,366,386,401
45-day:, 251,292,326,352,382,404,424,442,463,478
60-day:, 302,351,389,417,451,475,496,515,538,552

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,12,13,15,16,18,19,21,22
10-min:, 13,15,18,20,23,25,27,28,30,32
15-min:, 16,19,23,25,28,31,33,35,38,40
30-min:, 21,25,31,35,40,44,48,52,56,60
60-min:, 26,31,39,45,52,58,64,70,78,84
2-hr:, 29,35,44,50,59,67,74,81,90,98
3-hr:, 31,37,46,53,63,70,78,86,96,105
6-hr:, 36,44,54,62,73,82,91,100,113,123
12-hr:, 43,51,63,72,85,95,105,116,131,143
24-hr:, 53,63,76,86,101,112,125,137,154,167
2-day:, 64,75,90,102,118,131,144,157,175,188
3-day:, 69,81,97,109,126,139,152,165,182,196
4-day:, 74,87,103,116,133,146,159,173,190,203
7-day:, 89,105,123,136,154,168,181,194,210,222
10-day:, 102,121,140,155,173,187,200,213,229,241
20-day:, 143,168,192,210,233,249,264,279,296,308
30-day:, 179,210,237,257,282,300,316,331,349,361
45-day:, 228,266,297,320,348,368,386,402,420,433
60-day:, 276,321,356,381,412,434,453,470,489,502

Date/time (GMT):  Thu Feb 29 23:18:20 2024
pyRunTime:  0.0431058406829834
