Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 38.0660854 Degree
Longitude: -78.90222699 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,9,11,12,14,15,16,18,19,20
10-min:, 12,15,17,20,22,24,26,28,30,31
15-min:, 15,18,22,25,28,31,33,35,37,39
30-min:, 21,25,31,36,42,46,50,54,60,63
60-min:, 26,32,40,47,56,63,69,76,85,93
2-hr:, 31,37,47,56,67,76,85,94,107,117
3-hr:, 33,40,51,60,72,82,92,102,116,127
6-hr:, 42,51,63,74,90,103,116,131,151,168
12-hr:, 53,63,78,93,113,130,150,170,200,226
24-hr:, 66,79,100,118,143,165,188,213,248,278
2-day:, 76,92,117,136,164,188,212,238,275,305
3-day:, 82,99,124,145,175,199,225,253,292,323
4-day:, 87,105,132,154,185,211,239,267,308,340
7-day:, 100,120,150,173,206,233,261,290,330,361
10-day:, 114,137,168,192,225,251,278,305,341,370
20-day:, 152,181,218,246,285,315,345,375,415,445
30-day:, 188,222,262,291,330,360,388,416,451,477
45-day:, 236,279,323,356,399,430,459,488,523,547
60-day:, 280,329,376,411,455,487,516,544,577,599

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,12,14,15,17,18,19,21,22
10-min:, 14,16,19,22,24,27,29,31,33,35
15-min:, 17,20,24,27,31,34,36,39,42,44
30-min:, 23,28,35,40,46,51,56,60,66,71
60-min:, 29,35,44,52,61,69,77,84,95,103
2-hr:, 34,42,53,62,74,84,94,105,120,132
3-hr:, 38,45,57,67,80,91,102,114,130,143
6-hr:, 47,57,71,83,100,115,130,146,170,189
12-hr:, 60,71,89,105,127,147,169,192,228,259
24-hr:, 73,88,111,130,158,182,207,234,274,307
2-day:, 85,102,129,150,181,206,233,262,303,336
3-day:, 90,109,137,160,192,219,247,277,320,354
4-day:, 95,115,145,169,203,231,261,292,336,372
7-day:, 109,131,163,188,224,253,283,315,359,393
10-day:, 124,148,181,207,243,271,300,330,369,401
20-day:, 164,195,234,264,306,338,371,404,448,482
30-day:, 201,237,279,311,352,384,415,445,484,512
45-day:, 251,296,343,378,423,457,488,519,557,584
60-day:, 296,347,397,434,480,513,545,574,610,634

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,8,10,11,12,14,14,15,16,17
10-min:, 11,13,16,18,20,22,23,24,26,27
15-min:, 14,16,20,22,25,27,29,31,32,34
30-min:, 19,23,28,32,37,41,45,48,52,54
60-min:, 23,29,36,42,50,56,61,67,74,79
2-hr:, 28,34,43,50,60,67,75,82,92,99
3-hr:, 30,36,46,54,64,72,80,88,99,107
6-hr:, 38,45,57,66,79,90,101,112,127,139
12-hr:, 47,56,70,82,99,114,128,144,166,184
24-hr:, 59,72,90,106,128,146,166,186,214,236
2-day:, 69,84,105,123,147,167,188,209,239,263
3-day:, 74,90,113,132,158,179,201,224,255,280
4-day:, 79,96,120,140,168,190,214,238,272,298
7-day:, 92,111,137,159,188,211,235,260,293,318
10-day:, 105,126,155,177,206,229,253,276,307,331
20-day:, 142,169,203,229,264,291,317,344,378,403
30-day:, 176,209,245,273,309,335,361,385,416,438
45-day:, 223,262,304,335,374,403,429,455,485,507
60-day:, 265,311,356,389,430,459,486,511,540,560

Date/time (GMT):  Thu Feb 29 23:18:22 2024
pyRunTime:  0.01039886474609375
