Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 38.49370949 Degree
Longitude: -80.4202023 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,9,11,12,14,15,16,18,19,20
10-min:, 12,15,18,20,22,24,26,27,29,30
15-min:, 15,18,22,25,28,30,32,34,36,38
30-min:, 21,25,31,35,40,44,48,51,56,59
60-min:, 26,31,39,45,53,59,65,71,79,85
2-hr:, 30,37,46,53,63,70,78,86,97,105
3-hr:, 33,39,49,57,67,75,84,93,105,115
6-hr:, 40,48,60,69,82,92,103,115,130,143
12-hr:, 48,57,70,81,96,108,121,136,155,172
24-hr:, 56,67,81,93,109,122,135,149,169,184
2-day:, 67,79,95,107,125,139,153,167,187,202
3-day:, 72,86,102,115,133,147,161,175,194,209
4-day:, 78,92,109,123,141,155,169,183,202,216
7-day:, 95,112,131,146,165,179,194,207,225,238
10-day:, 110,130,150,166,186,201,216,230,247,259
20-day:, 156,183,209,229,254,272,289,305,325,338
30-day:, 198,231,261,284,311,331,350,367,387,401
45-day:, 255,296,331,357,389,411,431,450,471,485
60-day:, 309,358,397,426,461,485,507,526,548,562

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,10,12,14,15,17,18,19,21,22
10-min:, 14,16,19,21,24,26,28,29,31,33
15-min:, 17,20,24,27,30,33,35,37,40,41
30-min:, 23,27,34,38,44,48,52,56,61,65
60-min:, 28,34,43,49,58,64,71,78,86,93
2-hr:, 33,40,50,58,68,77,85,93,105,114
3-hr:, 36,43,54,62,73,82,92,101,114,125
6-hr:, 44,53,66,76,90,101,113,125,142,157
12-hr:, 53,63,77,89,105,118,133,148,170,188
24-hr:, 62,73,89,101,118,133,147,162,184,200
2-day:, 72,86,102,116,135,150,165,181,202,218
3-day:, 78,92,110,124,143,158,174,189,210,226
4-day:, 84,99,118,132,152,167,182,197,218,233
7-day:, 101,120,140,155,176,192,207,222,241,254
10-day:, 117,138,159,176,197,213,229,244,262,275
20-day:, 165,193,221,241,268,287,305,322,343,358
30-day:, 209,244,275,299,328,349,368,386,407,422
45-day:, 266,310,347,374,407,430,452,471,493,508
60-day:, 323,374,416,446,482,507,529,550,573,588

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,9,10,11,13,14,15,16,17,18
10-min:, 11,13,16,18,20,21,23,24,26,27
15-min:, 14,17,20,22,25,27,29,30,32,33
30-min:, 19,23,28,32,36,40,43,46,50,52
60-min:, 23,28,36,41,48,53,58,64,70,75
2-hr:, 28,34,42,49,57,64,71,77,86,93
3-hr:, 30,36,45,52,61,68,76,83,93,101
6-hr:, 37,44,55,63,74,83,92,102,115,125
12-hr:, 44,52,64,73,87,97,108,120,136,148
24-hr:, 52,62,74,85,99,111,123,135,151,164
2-day:, 62,73,88,99,115,127,140,153,170,182
3-day:, 67,80,95,107,123,135,148,161,177,190
4-day:, 72,86,102,114,131,143,156,168,185,197
7-day:, 89,105,122,136,154,167,180,193,208,220
10-day:, 104,123,142,157,176,190,203,215,231,242
20-day:, 148,173,198,217,240,257,273,287,305,317
30-day:, 188,220,248,270,296,314,332,347,366,378
45-day:, 243,282,316,340,370,391,410,427,447,459
60-day:, 294,341,379,406,439,462,482,500,520,534

Date/time (GMT):  Thu Feb 29 23:18:25 2024
pyRunTime:  0.04257774353027344
