Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 10 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Northeastern States
Location name (ESRI Maps): None
Station Name: None
Latitude: 41.16277991 Degree
Longitude: -73.75741775 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,15,18,20,22,25,28,31
10-min:, 13,15,19,21,25,28,32,35,40,43
15-min:, 15,18,22,25,30,34,37,41,47,51
30-min:, 22,25,31,35,42,47,52,57,65,70
60-min:, 28,32,40,46,54,60,67,74,82,89
2-hr:, 37,42,51,59,70,78,86,94,106,115
3-hr:, 42,49,60,69,81,90,100,110,125,136
6-hr:, 53,62,77,89,106,119,132,147,168,185
12-hr:, 64,77,97,114,138,155,174,195,227,253
24-hr:, 75,91,117,139,170,192,216,245,288,324
2-day:, 84,104,135,161,196,223,251,286,338,383
3-day:, 92,112,146,174,213,241,272,310,367,415
4-day:, 98,120,156,185,226,256,288,327,387,438
7-day:, 117,141,180,212,257,290,325,367,431,485
10-day:, 135,160,202,236,283,318,356,399,463,517
20-day:, 190,218,265,303,356,396,438,483,545,594
30-day:, 236,267,317,359,416,460,504,549,609,655
45-day:, 295,328,383,428,490,539,586,633,691,734
60-day:, 344,379,438,486,553,605,656,703,762,804

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 12,13,17,19,24,27,31,35,41,45
10-min:, 16,19,24,27,34,38,44,50,58,64
15-min:, 19,22,28,32,40,45,51,58,68,76
30-min:, 27,32,39,45,55,63,72,81,94,104
60-min:, 35,41,50,58,71,81,92,104,120,132
2-hr:, 46,53,65,75,91,103,118,133,154,170
3-hr:, 53,61,75,87,106,120,137,154,180,200
6-hr:, 66,77,96,112,138,157,180,204,241,270
12-hr:, 79,95,121,142,178,205,237,270,323,367
24-hr:, 92,112,145,172,218,252,294,336,407,466
2-day:, 103,126,165,197,252,291,341,390,476,548
3-day:, 111,136,178,213,272,314,368,421,513,591
4-day:, 119,145,189,226,287,332,388,444,540,622
7-day:, 141,169,217,257,324,373,434,495,598,684
10-day:, 162,192,242,285,356,407,471,536,641,727
20-day:, 226,260,316,364,442,501,570,642,747,829
30-day:, 280,317,377,429,513,576,649,728,832,911
45-day:, 348,388,453,510,601,671,748,834,940,1017
60-day:, 404,447,517,577,675,750,832,924,1033,1110

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,8,10,12,13,15,16,17,18,19
10-min:, 10,12,14,17,19,21,22,24,26,27
15-min:, 12,14,17,19,22,24,26,28,30,32
30-min:, 17,19,24,27,31,34,37,39,42,44
60-min:, 22,25,31,35,40,44,47,50,53,56
2-hr:, 29,33,40,46,52,57,61,64,69,73
3-hr:, 33,38,47,53,61,66,71,75,81,86
6-hr:, 42,49,60,70,80,88,95,100,110,118
12-hr:, 51,61,77,90,105,116,126,133,149,162
24-hr:, 60,73,94,110,130,144,158,168,189,208
2-day:, 68,83,108,128,152,169,185,197,223,247
3-day:, 74,91,118,139,165,183,201,213,242,268
4-day:, 80,97,126,149,175,195,213,226,256,283
7-day:, 96,115,146,171,200,221,241,255,286,314
10-day:, 111,131,165,191,221,243,263,277,308,335
20-day:, 157,180,218,248,280,304,324,338,364,386
30-day:, 196,221,262,294,328,353,372,386,409,427
45-day:, 246,273,317,352,388,415,432,446,465,479
60-day:, 287,317,364,402,438,467,484,497,514,525

Date/time (GMT):  Thu Feb 29 23:18:27 2024
pyRunTime:  0.007539272308349609
